name,bs_timestamp,rs_timestamp,seq_number,stored,accelx,accely,accelz,breathing_signal,breathing_rate,activity
RESpeckT5,20140625153634.994,780254973,1,0,0.932373,0.170410,-0.214600,nan,nan,1.151930
RESpeckT5,20140625153635.238,780254973,2,0,0.974854,0.107910,-0.182129,nan,nan,1.151930
RESpeckT5,20140625153635.238,780254973,3,0,0.953613,-0.014648,-0.193359,nan,nan,1.151930
RESpeckT5,20140625153635.238,780254973,4,0,1.029541,0.129395,-0.250244,nan,nan,1.151930
RESpeckT5,20140625153635.274,780254973,5,0,0.915771,0.069580,-0.136963,nan,nan,1.151930
RESpeckT5,20140625153635.274,780254973,6,0,1.066406,0.097656,-0.242676,nan,nan,1.151930
RESpeckT5,20140625153635.274,780254973,7,0,0.909912,0.197510,-0.254150,nan,nan,1.151930
RESpeckT5,20140625153635.301,780254973,8,0,0.860596,0.062012,-0.373291,nan,nan,1.151930
RESpeckT5,20140625153635.301,780254973,9,0,0.859131,0.115234,-0.356201,nan,nan,1.151930
RESpeckT5,20140625153635.301,780254973,10,0,0.938721,-0.108154,-0.506836,nan,nan,1.151930
RESpeckT5,20140625153635.328,780254973,11,0,0.901855,0.021484,-0.591797,nan,nan,1.151930
RESpeckT5,20140625153635.328,780254973,12,0,0.912354,0.274902,-0.381836,nan,nan,1.151930
RESpeckT5,20140625153635.328,780254973,13,0,0.897705,-0.042725,-0.401855,nan,nan,1.151930
RESpeckT5,20140625153635.354,780254973,14,0,0.839844,0.226807,-0.510742,nan,nan,1.151930
RESpeckT5,20140625153635.354,780254973,15,0,0.895508,0.044678,-0.392578,nan,nan,1.151930
RESpeckT5,20140625153635.354,780254973,16,0,1.027100,0.045654,-0.348145,nan,nan,1.151930
RESpeckT5,20140625153635.380,780254973,17,0,1.105469,0.155762,-0.330322,nan,nan,1.151930
RESpeckT5,20140625153635.380,780254973,18,0,0.869629,-0.038086,-0.329102,nan,nan,1.151930
RESpeckT5,20140625153635.380,780254973,19,0,0.784668,-0.054688,-0.352295,nan,nan,1.151930
RESpeckT5,20140625153635.485,780254973,20,0,0.896484,-0.046143,-0.305176,nan,nan,1.151930
RESpeckT5,20140625153635.485,780254973,21,0,0.953857,-0.155273,-0.400391,nan,nan,1.151930
RESpeckT5,20140625153635.485,780254973,22,0,0.896240,0.088867,-0.407959,nan,nan,1.151930
RESpeckT5,20140625153635.522,780254973,23,0,0.951660,0.153320,-0.305908,nan,nan,1.151930
RESpeckT5,20140625153635.522,780254973,24,0,0.935791,-0.062012,-0.319824,nan,nan,1.151930
RESpeckT5,20140625153635.522,780254973,25,0,0.956787,0.101562,-0.279297,nan,nan,1.151930
RESpeckT5,20140625153635.549,780254973,26,0,0.966797,0.032471,-0.284668,nan,nan,1.151930
RESpeckT5,20140625153635.549,780254973,27,0,0.948975,-0.136719,-0.194336,nan,nan,1.151930
RESpeckT5,20140625153635.549,780254973,28,0,0.938965,-0.047119,-0.141357,nan,nan,1.151930
RESpeckT5,20140625153635.576,780254973,29,0,0.984131,-0.025146,-0.156494,nan,nan,1.151930
RESpeckT5,20140625153635.576,780254973,30,0,0.986816,-0.039551,-0.100342,nan,nan,1.151930
RESpeckT5,20140625153635.576,780254973,31,0,0.964600,-0.040771,-0.113281,nan,nan,1.151930
RESpeckT5,20140625153637.468,780255391,0,0,0.961670,-0.035156,-0.096436,nan,nan,1.151930
RESpeckT5,20140625153637.468,780255391,1,0,0.954346,-0.043213,-0.091553,nan,nan,0.329264
RESpeckT5,20140625153637.498,780255391,2,0,0.954346,-0.070801,-0.098145,nan,nan,0.329264
RESpeckT5,20140625153637.498,780255391,3,0,0.963379,-0.054932,-0.085449,nan,nan,0.329264
RESpeckT5,20140625153637.498,780255391,4,0,0.954834,-0.061279,-0.073486,nan,nan,0.329264
RESpeckT5,20140625153637.713,780255391,5,0,0.947998,-0.083008,-0.064453,nan,nan,0.329264
RESpeckT5,20140625153637.713,780255391,6,0,0.952148,-0.056152,-0.022705,nan,nan,0.329264
RESpeckT5,20140625153637.713,780255391,7,0,1.028320,-0.023682,-0.083008,nan,nan,0.329264
RESpeckT5,20140625153637.749,780255391,8,0,1.217529,-0.052246,-0.106689,nan,nan,0.329264
RESpeckT5,20140625153637.749,780255391,9,0,0.965576,-0.137451,-0.267822,nan,nan,0.329264
RESpeckT5,20140625153637.749,780255391,10,0,0.890625,0.008545,-0.258545,nan,nan,0.329264
RESpeckT5,20140625153637.775,780255391,11,0,0.910645,0.102051,-0.179199,nan,nan,0.329264
RESpeckT5,20140625153637.775,780255391,12,0,0.838867,0.065430,-0.206299,nan,nan,0.318594
