(6, 64972, 64695, 64809, array([-8096.,  -624.,  1744.]), array([ 9300.,   554., -2308.]), array([ 257.,  195., -278.]))
(6, 859, 167, 64809, array([-7952.,  -848.,  1632.]), array([ 9319.,   575., -2284.]), array([ 257.,  195., -278.]))
(6, 1808, 1175, 1821, array([-7968.,  -592.,  1728.]), array([ 9348.,   567., -2296.]), array([ 253.,  186., -283.]))
(6, 2757, 2183, 1821, array([-7824.,  -576.,  1840.]), array([ 9358.,   572., -2308.]), array([ 253.,  186., -283.]))
(6, 4180, 4199, 1821, array([-7824.,  -672.,  1712.]), array([ 9392.,   562., -2273.]), array([ 253.,  186., -283.]))
(6, 5129, 5207, 4367, array([-7984.,  -608.,  1744.]), array([ 9395.,   573., -2300.]), array([ 253.,  175., -283.]))
(6, 6078, 6215, 4367, array([-7888.,  -688.,  1776.]), array([ 9440.,   553., -2323.]), array([ 253.,  175., -283.]))
(6, 7502, 7223, 6913, array([-7984.,  -688.,  1760.]), array([ 9433.,   560., -2311.]), array([ 251.,  166., -288.]))
(6, 8451, 8231, 6913, array([-7872.,  -640.,  1824.]), array([ 9459.,   558., -2314.]), array([ 251.,  166., -288.]))
(6, 9875, 9239, 9459, array([-7984.,  -640.,  1680.]), array([ 9475.,   558., -2347.]), array([ 251.,  160., -295.]))
(6, 10823, 10247, 9459, array([-7840.,  -576.,  1856.]), array([ 9479.,   561., -2360.]), array([ 251.,  160., -295.]))
(6, 11772, 11255, 12004, array([-7952.,  -624.,  1728.]), array([ 9516.,   579., -2350.]), array([ 247.,  151., -295.]))
(6, 13196, 12263, 12004, array([-7888.,  -608.,  1792.]), array([ 9482.,   594., -2356.]), array([ 247.,  151., -295.]))
(6, 14149, 14279, 12004, array([-7952.,  -640.,  1744.]), array([ 9525.,   570., -2353.]), array([ 247.,  151., -295.]))
(6, 15098, 15287, 14550, array([-7952.,  -704.,  1824.]), array([ 9573.,   573., -2355.]), array([ 250.,  138., -295.]))
(6, 16521, 16295, 14550, array([-7936.,  -640.,  1776.]), array([ 9616.,   589., -2379.]), array([ 250.,  138., -295.]))
(6, 17471, 17303, 17096, array([-7936.,  -608.,  1872.]), array([ 9564.,   589., -2391.]), array([ 250.,  131., -296.]))
(6, 18420, 18311, 17096, array([-7824.,  -656.,  1888.]), array([ 9622.,   571., -2382.]), array([ 250.,  131., -296.]))
(6, 19844, 19319, 19643, array([-7872.,  -592.,  1920.]), array([ 9620.,   572., -2375.]), array([ 247.,  118., -302.]))
(6, 20793, 20327, 19643, array([-7904.,  -624.,  1824.]), array([ 9623.,   592., -2377.]), array([ 247.,  118., -302.]))
(6, 21742, 21335, 22189, array([-7952.,  -624.,  1872.]), array([ 9653.,   580., -2385.]), array([ 248.,  107., -299.]))
(6, 23166, 23351, 22189, array([-7920.,  -544.,  1840.]), array([ 9694.,   577., -2411.]), array([ 248.,  107., -299.]))
(6, 24115, 24359, 22189, array([-7872.,  -592.,  1808.]), array([ 9691.,   549., -2418.]), array([ 248.,  107., -299.]))
