(6, 63168, 62357, 60749, array([-8064.,  -432.,  2128.]), array([ 8550.,   619., -3840.]), array([ 285.,  346., -149.]))
(6, 64118, 64373, 63296, array([-8032.,  -464.,  2144.]), array([ 8527.,   616., -3857.]), array([ 284.,  343., -157.]))
(6, 65067, 65381, 63296, array([-8112.,  -592.,  2096.]), array([ 8589.,   621., -3850.]), array([ 284.,  343., -157.]))
(6, 955, 853, 305, array([-8048.,  -480.,  2240.]), array([ 8605.,   618., -3855.]), array([ 275.,  343., -164.]))
(6, 1904, 1861, 305, array([-8064.,  -528.,  2208.]), array([ 8549.,   632., -3877.]), array([ 275.,  343., -164.]))
(6, 3328, 2869, 2849, array([-8032.,  -448.,  2144.]), array([ 8544.,   610., -3907.]), array([ 273.,  341., -172.]))
(6, 4281, 3877, 2849, array([-8048.,  -384.,  2208.]), array([ 8540.,   627., -3907.]), array([ 273.,  341., -172.]))
(6, 5230, 4885, 5395, array([-8000.,  -448.,  2256.]), array([ 8587.,   630., -3880.]), array([ 275.,  337., -176.]))
(6, 6653, 5893, 5395, array([-8000.,  -448.,  2320.]), array([ 8599.,   609., -3879.]), array([ 275.,  337., -176.]))
(6, 7602, 6901, 5395, array([-8032.,  -528.,  2240.]), array([ 8586.,   619., -3863.]), array([ 275.,  337., -176.]))
(6, 8550, 8917, 7941, array([-8064.,  -544.,  2208.]), array([ 8563.,   607., -3852.]), array([ 265.,  334., -189.]))
(6, 9974, 9926, 7941, array([-7952.,  -496.,  2256.]), array([ 8594.,   607., -3865.]), array([ 265.,  334., -189.]))
(6, 10923, 10934, 10488, array([-7968.,  -592.,  2096.]), array([ 8600.,   613., -3891.]), array([ 264.,  334., -203.]))
(6, 12347, 11942, 10488, array([-8048.,  -528.,  2224.]), array([ 8608.,   649., -3874.]), array([ 264.,  334., -203.]))
(6, 13296, 12950, 13034, array([-8064.,  -512.,  2160.]), array([ 8592.,   625., -3878.]), array([ 264.,  331., -203.]))
(6, 14245, 13958, 13034, array([-8064.,  -496.,  2160.]), array([ 8585.,   627., -3903.]), array([ 264.,  331., -203.]))
(6, 15668, 14966, 15579, array([-8064.,  -432.,  2272.]), array([ 8599.,   620., -3894.]), array([ 256.,  327., -209.]))
(6, 16617, 15974, 15579, array([-8016.,  -528.,  2288.]), array([ 8628.,   625., -3875.]), array([ 256.,  327., -209.]))
(6, 17566, 16982, 15579, array([-8016.,  -480.,  2304.]), array([ 8590.,   636., -3893.]), array([ 256.,  327., -209.]))
(6, 18989, 18998, 18124, array([-7968.,  -624.,  2144.]), array([ 8615.,   618., -3875.]), array([ 254.,  321., -221.]))
(6, 19938, 20006, 18124, array([-7968.,  -688.,  2192.]), array([ 8633.,   613., -3852.]), array([ 254.,  321., -221.]))
(6, 20888, 21014, 20669, array([-8016.,  -640.,  2208.]), array([ 8628.,   617., -3885.]), array([ 251.,  319., -223.]))
