(6, 60023, 59945, 58230, array([-8032.,   752.,   544.]), array([ 9519., -1056.,   428.]), array([ 324.,  162., -223.]))
(6, 62395, 61961, 60775, array([-7968.,   624.,   512.]), array([ 9534., -1045.,   457.]), array([ 321.,  153., -228.]))
(6, 63349, 62969, 63321, array([-8064.,   640.,   560.]), array([ 9535., -1051.,   443.]), array([ 321.,  145., -228.]))
(6, 64772, 63977, 63321, array([-7984.,   624.,   640.]), array([ 9547., -1054.,   459.]), array([ 321.,  145., -228.]))
(6, 185, 64985, 329, array([-7968.,   640.,   736.]), array([ 9504., -1043.,   455.]), array([ 320.,  135., -236.]))
(6, 1134, 1466, 329, array([-7984.,   688.,   656.]), array([ 9474., -1029.,   443.]), array([ 320.,  135., -236.]))
(6, 2557, 2474, 329, array([-7904.,   704.,   576.]), array([ 9508., -1031.,   426.]), array([ 320.,  135., -236.]))
(6, 3511, 3482, 2873, array([-7936.,   640.,   640.]), array([ 9520., -1023.,   457.]), array([ 318.,  128., -239.]))
(6, 4460, 4490, 2873, array([-7920.,   624.,   576.]), array([ 9502., -1022.,   470.]), array([ 318.,  128., -239.]))
(6, 5883, 5498, 5418, array([-8064.,   608.,   624.]), array([ 9533., -1056.,   452.]), array([ 312.,  118., -247.]))
(6, 6832, 6506, 5418, array([-8000.,   624.,   640.]), array([ 9523., -1061.,   443.]), array([ 312.,  118., -247.]))
(6, 8255, 7514, 7962, array([-7968.,   672.,   704.]), array([ 9517., -1045.,   452.]), array([ 312.,  107., -247.]))
(6, 9204, 8522, 7962, array([-7984.,   656.,   640.]), array([ 9539., -1036.,   474.]), array([ 312.,  107., -247.]))
(6, 10153, 10538, 10507, array([-8000.,   624.,   624.]), array([ 9490., -1025.,   446.]), array([ 317.,   98., -251.]))
(6, 11576, 11546, 10507, array([-8000.,   704.,   656.]), array([ 9463., -1027.,   434.]), array([ 317.,   98., -251.]))
(6, 12525, 12554, 10507, array([-7952.,   784.,   640.]), array([ 9493., -1033.,   445.]), array([ 317.,   98., -251.]))
(6, 13474, 13562, 13052, array([-8032.,   736.,   592.]), array([ 9475., -1038.,   452.]), array([ 314.,   88., -255.]))
(6, 14898, 14570, 13052, array([-7952.,   704.,   736.]), array([ 9443., -1024.,   444.]), array([ 314.,   88., -255.]))
(6, 15847, 15578, 15597, array([-7920.,   736.,   720.]), array([ 9504., -1009.,   459.]), array([ 315.,   79., -255.]))
(6, 17271, 16586, 15597, array([-8144.,   672.,   576.]), array([ 9484., -1037.,   467.]), array([ 315.,   79., -255.]))
(6, 18220, 17594, 18142, array([-7984.,   624.,   736.]), array([ 9455., -1053.,   495.]), array([ 315.,   68., -256.]))
(6, 19169, 18602, 18142, array([-7888.,   608.,   752.]), array([ 9485., -1036.,   484.]), array([ 315.,   68., -256.]))
(6, 20592, 20618, 18142, array([-7984.,   656.,   672.]), array([ 9487., -1014.,   434.]), array([ 315.,   68., -256.]))
(6, 21541, 21626, 20687, array([-8032.,   688.,   720.]), array([ 9467., -1020.,   452.]), array([ 314.,   59., -258.]))
(6, 22491, 22634, 20687, array([-7952.,   688.,   704.]), array([ 9451., -1021.,   451.]), array([ 314.,   59., -258.]))
(6, 23914, 23642, 23231, array([-8000.,   736.,   736.]), array([ 9466., -1023.,   472.]), array([ 312.,   46., -260.]))
(6, 24863, 24650, 23231, array([-8064.,   720.,   656.]), array([ 9451., -1043.,   493.]), array([ 312.,   46., -260.]))
(6, 27236, 26666, 25777, array([-8032.,   576.,   800.]), array([ 9383., -1035.,   471.]), array([ 310.,   42., -261.]))
(6, 28185, 27674, 28321, array([-8048.,   640.,   704.]), array([ 9438., -1013.,   490.]), array([ 311.,   29., -256.]))
(6, 29609, 28682, 28321, array([-8000.,   720.,   736.]), array([ 9488., -1031.,   445.]), array([ 311.,   29., -256.]))
(6, 30558, 30698, 28321, array([-7952.,   752.,   864.]), array([ 9461., -1006.,   443.]), array([ 311.,   29., -256.]))
(6, 31507, 31706, 30866, array([-7936.,   736.,   832.]), array([ 9418., -1018.,   437.]), array([ 313.,   19., -260.]))
(6, 32931, 32714, 30866, array([-8016.,   736.,   800.]), array([ 9416., -1026.,   471.]), array([ 313.,   19., -260.]))
(6, 33880, 33722, 33412, array([-7984.,   736.,   800.]), array([ 9445., -1036.,   472.]), array([ 308.,    9., -261.]))
(6, 34829, 34730, 33412, array([-7968.,   768.,   720.]), array([ 9417., -1033.,   479.]), array([ 308.,    9., -261.]))
(6, 36253, 35738, 35957, array([-7952.,   688.,   768.]), array([ 9456., -1037.,   472.]), array([ 308.,    2., -261.]))
(6, 37202, 36746, 35957, array([-8000.,   656.,   752.]), array([ 9427., -1033.,   483.]), array([ 308.,    2., -261.]))
(6, 38626, 37754, 38502, array([-7968.,   640.,   880.]), array([ 9442., -1024.,   490.]), array([ 307.,  -10., -258.]))
(6, 39575, 39770, 38502, array([-7952.,   704.,   800.]), array([ 9431., -1046.,   447.]), array([ 307.,  -10., -258.]))
(6, 40524, 40778, 38502, array([-8016.,   768.,   720.]), array([ 9461., -1037.,   448.]), array([ 307.,  -10., -258.]))
