(6, 18309, 18386, 18291, array([-7552.,  -352.,  3696.]), array([ 6548.,   545., -5117.]), array([ 254.,  348., -228.]))
(6, 19737, 19394, 18291, array([-7568.,  -256.,  3760.]), array([ 6567.,   570., -5132.]), array([ 254.,  348., -228.]))
(6, 20690, 20402, 20836, array([-7584.,  -368.,  3824.]), array([ 6660.,   590., -5058.]), array([ 249.,  342., -235.]))
(6, 22114, 21410, 20836, array([-7568.,  -464.,  3792.]), array([ 6760.,   600., -4997.]), array([ 249.,  342., -235.]))
(6, 23062, 22418, 20836, array([-7600.,  -400.,  3808.]), array([ 6707.,   583., -5035.]), array([ 249.,  342., -235.]))
(6, 24016, 23426, 23383, array([-7568.,  -256.,  3872.]), array([ 6618.,   553., -5111.]), array([ 242.,  343., -239.]))
(6, 25440, 25442, 23383, array([-7584.,  -400.,  3888.]), array([ 6600.,   610., -5094.]), array([ 242.,  343., -239.]))
(6, 26389, 26450, 25927, array([-7568.,  -448.,  3888.]), array([ 6695.,   575., -5043.]), array([ 234.,  341., -248.]))
(6, 27343, 27458, 25927, array([-7648.,  -448.,  3888.]), array([ 6682.,   569., -5028.]), array([ 234.,  341., -248.]))
(6, 28767, 28466, 28472, array([-7616.,  -416.,  3872.]), array([ 6633.,   512., -5100.]), array([ 234.,  339., -248.]))
(6, 29716, 29474, 28472, array([-7680.,  -384.,  3904.]), array([ 6575.,   532., -5142.]), array([ 234.,  339., -248.]))
(6, 31140, 30482, 31017, array([-7664.,  -432.,  3856.]), array([ 6604.,   560., -5097.]), array([ 222.,  338., -254.]))
(6, 32089, 31490, 31017, array([-7616.,  -528.,  3872.]), array([ 6666.,   538., -5042.]), array([ 222.,  338., -254.]))
(6, 33038, 32498, 31017, array([-7600.,  -576.,  3824.]), array([ 6670.,   536., -4998.]), array([ 222.,  338., -254.]))
(6, 34461, 34514, 33562, array([-7568.,  -384.,  3824.]), array([ 6625.,   511., -5067.]), array([ 220.,  336., -266.]))
(6, 35420, 35522, 33562, array([-7536.,  -336.,  3824.]), array([ 6595.,   525., -5095.]), array([ 220.,  336., -266.]))
(6, 36369, 36530, 36107, array([-7424.,  -400.,  3808.]), array([ 6623.,   515., -5053.]), array([ 220.,  333., -266.]))
(6, 37792, 37538, 36107, array([-7488.,  -464.,  3760.]), array([ 6677.,   499., -5029.]), array([ 220.,  333., -266.]))
(6, 38741, 38546, 38653, array([-7536.,  -496.,  3792.]), array([ 6676.,   476., -5015.]), array([ 216.,  329., -270.]))
(6, 39690, 39554, 38653, array([-7488.,  -432.,  3808.]), array([ 6616.,   481., -5071.]), array([ 216.,  329., -270.]))
(6, 41113, 40562, 41197, array([-7472.,  -464.,  3776.]), array([ 6552.,   526., -5114.]), array([ 212.,  329., -274.]))
(6, 42062, 41570, 41197, array([-7440.,  -448.,  3728.]), array([ 6554.,   536., -5109.]), array([ 212.,  329., -274.]))
(6, 43485, 42578, 41197, array([-7488.,  -480.,  3808.]), array([ 6640.,   553., -5030.]), array([ 212.,  329., -274.]))
(6, 44434, 44594, 43742, array([-7488.,  -512.,  3776.]), array([ 6670.,   541., -4993.]), array([ 208.,  323., -279.]))
(6, 45383, 45602, 43742, array([-7472.,  -512.,  3808.]), array([ 6595.,   550., -5075.]), array([ 208.,  323., -279.]))
(6, 46807, 46610, 46286, array([-7472.,  -560.,  3824.]), array([ 6567.,   548., -5090.]), array([ 202.,  317., -286.]))
(6, 47755, 47618, 46286, array([-7488.,  -512.,  3824.]), array([ 6619.,   569., -5045.]), array([ 202.,  317., -286.]))
(6, 48704, 48626, 48831, array([-7552.,  -528.,  3920.]), array([ 6629.,   564., -4984.]), array([ 194.,  315., -289.]))
(6, 50127, 49634, 48831, array([-7584.,  -592.,  3968.]), array([ 6617.,   551., -5017.]), array([ 194.,  315., -289.]))
(6, 51077, 50642, 51376, array([-7600.,  -496.,  3936.]), array([ 6608.,   546., -5084.]), array([ 196.,  314., -291.]))
(6, 52501, 51650, 51376, array([-7488.,  -480.,  3824.]), array([ 6560.,   544., -5143.]), array([ 196.,  314., -291.]))
(6, 53450, 52658, 51376, array([-7536.,  -416.,  3952.]), array([ 6545.,   585., -5116.]), array([ 196.,  314., -291.]))
(6, 54399, 54674, 53920, array([-7552.,  -464.,  4016.]), array([ 6651.,   559., -4961.]), array([ 191.,  308., -297.]))
(6, 55823, 55682, 53920, array([-7552.,  -576.,  4016.]), array([ 6636.,   571., -4979.]), array([ 191.,  308., -297.]))
(6, 56772, 56690, 56465, array([-7520.,  -416.,  3952.]), array([ 6613.,   543., -5045.]), array([ 184.,  302., -301.]))
(6, 57720, 57698, 56465, array([-7472.,  -448.,  3968.]), array([ 6517.,   534., -5073.]), array([ 184.,  302., -301.]))
(6, 59144, 58706, 59011, array([-7472.,  -496.,  4000.]), array([ 6556.,   513., -5048.]), array([ 182.,  297., -305.]))
(6, 60093, 59714, 59011, array([-7536.,  -560.,  3984.]), array([ 6613.,   509., -4968.]), array([ 182.,  297., -305.]))
(6, 61043, 60722, 59011, array([-7520.,  -576.,  4016.]), array([ 6657.,   520., -4942.]), array([ 182.,  297., -305.]))
(6, 62467, 61730, 61557, array([-7440.,  -512.,  4016.]), array([ 6596.,   535., -4991.]), array([ 174.,  294., -311.]))
