(6, 46317, 46108, 44933, array([-7824.,    64.,  2192.]), array([ 7171.,   381., -2513.]), array([ 350.,  243.,   58.]))
(6, 47266, 47116, 47479, array([-7888.,    80.,  2224.]), array([ 7158.,   381., -2520.]), array([ 350.,  252.,   58.]))
(6, 48690, 48124, 47479, array([-7920.,   176.,  2256.]), array([ 7152.,   388., -2529.]), array([ 350.,  252.,   58.]))
(6, 49639, 49132, 47479, array([-7920.,   224.,  2272.]), array([ 7097.,   391., -2551.]), array([ 350.,  252.,   58.]))
(6, 50588, 50140, 50025, array([-7872.,   192.,  2192.]), array([ 7132.,   370., -2521.]), array([ 351.,  258.,   52.]))
(6, 52012, 51148, 50025, array([-7888.,    64.,  2192.]), array([ 7137.,   366., -2485.]), array([ 351.,  258.,   52.]))
(6, 52962, 53164, 52570, array([-7856.,   -16.,  2128.]), array([ 7155.,   375., -2485.]), array([ 349.,  263.,   53.]))
(6, 54386, 54172, 52570, array([-7920.,    32.,  2224.]), array([ 7155.,   361., -2504.]), array([ 349.,  263.,   53.]))
(6, 55335, 55180, 55116, array([-7936.,    96.,  2112.]), array([ 7143.,   384., -2522.]), array([ 345.,  268.,   50.]))
(6, 56284, 56188, 55116, array([-7968.,   208.,  2128.]), array([ 7071.,   393., -2533.]), array([ 345.,  268.,   50.]))
(6, 58657, 58205, 57662, array([-7920.,   -16.,  2176.]), array([ 7093.,   375., -2464.]), array([ 341.,  278.,   36.]))
(6, 59606, 59213, 57662, array([-7872.,    16.,  2208.]), array([ 7095.,   399., -2474.]), array([ 341.,  278.,   36.]))
(6, 61029, 60221, 60208, array([-8016.,   128.,  2256.]), array([ 7120.,   383., -2481.]), array([ 343.,  282.,   36.]))
(6, 61978, 62237, 60208, array([-7984.,   128.,  2208.]), array([ 7058.,   398., -2499.]), array([ 343.,  282.,   36.]))
(6, 63402, 63245, 62753, array([-7936.,    96.,  2192.]), array([ 7081.,   395., -2500.]), array([ 343.,  284.,   29.]))
(6, 64350, 64253, 62753, array([-7872.,    32.,  2352.]), array([ 7038.,   376., -2478.]), array([ 343.,  284.,   29.]))
(6, 65299, 65261, 65299, array([-7920.,    80.,  2400.]), array([ 7067.,   399., -2481.]), array([ 342.,  289.,   17.]))
(6, 1187, 733, 65299, array([-7920.,   -16.,  2208.]), array([ 7061.,   397., -2500.]), array([ 342.,  289.,   17.]))
(6, 2136, 1741, 2310, array([-8000.,    80.,  2256.]), array([ 7055.,   409., -2508.]), array([ 342.,  295.,   17.]))
(6, 3085, 2749, 2310, array([-7936.,    80.,  2144.]), array([ 7102.,   389., -2511.]), array([ 342.,  295.,   17.]))
(6, 4509, 3757, 2310, array([-7952.,   128.,  2160.]), array([ 7050.,   394., -2495.]), array([ 342.,  295.,   17.]))
(6, 5458, 4765, 4854, array([-7888.,   -32.,  2128.]), array([ 7068.,   364., -2458.]), array([ 336.,  299.,   12.]))
(6, 6407, 6781, 4854, array([-7968.,   -48.,  2128.]), array([ 7013.,   360., -2431.]), array([ 336.,  299.,   12.]))
(6, 7831, 7789, 7400, array([-7952.,   -16.,  2192.]), array([ 7013.,   382., -2466.]), array([ 334.,  303.,    1.]))
(6, 8781, 8797, 7400, array([-7936.,    96.,  2128.]), array([ 7012.,   375., -2524.]), array([ 334.,  303.,    1.]))
(6, 10205, 9805, 9946, array([-7856.,    48.,  2128.]), array([ 6995.,   362., -2501.]), array([ 334.,  303.,    1.]))
(6, 11154, 10813, 9946, array([-7936.,   -16.,  2080.]), array([ 7011.,   382., -2463.]), array([ 334.,  303.,    1.]))
(6, 12103, 11821, 12491, array([-7872.,   -32.,  2160.]), array([ 7029.,   398., -2441.]), array([ 332.,  313.,   -7.]))
(6, 13527, 12829, 12491, array([-7936.,   -16.,  2208.]), array([ 7059.,   384., -2480.]), array([ 332.,  313.,   -7.]))
(6, 14477, 13837, 12491, array([-8000.,    48.,  2256.]), array([ 7010.,   406., -2495.]), array([ 332.,  313.,   -7.]))
(6, 15426, 15853, 15037, array([-7952.,    96.,  2176.]), array([ 7021.,   380., -2462.]), array([ 330.,  313.,  -11.]))
(6, 16850, 16861, 15037, array([-7952.,   -48.,  2160.]), array([ 7018.,   370., -2426.]), array([ 330.,  313.,  -11.]))
(6, 17799, 17869, 17583, array([-7856.,  -160.,  2080.]), array([ 7019.,   387., -2395.]), array([ 330.,  316.,  -18.]))
(6, 19223, 18877, 17583, array([-7904.,  -128.,  2144.]), array([ 6979.,   410., -2428.]), array([ 330.,  316.,  -18.]))
(6, 20172, 19885, 20129, array([-7952.,   -64.,  2128.]), array([ 7030.,   390., -2480.]), array([ 327.,  321.,  -23.]))
(6, 21122, 20893, 20129, array([-7904.,    32.,  2112.]), array([ 7033.,   379., -2516.]), array([ 327.,  321.,  -23.]))
(6, 22546, 21901, 20129, array([-8032.,    64.,  2128.]), array([ 7020.,   390., -2495.]), array([ 327.,  321.,  -23.]))
(6, 23495, 22909, 22673, array([-8032.,   -96.,  2192.]), array([ 7041.,   382., -2442.]), array([ 326.,  324.,  -38.]))
(6, 24445, 23917, 22673, array([-7952.,  -240.,  2160.]), array([ 7018.,   392., -2456.]), array([ 326.,  324.,  -38.]))
(6, 25869, 25933, 25220, array([-7904.,  -144.,  2112.]), array([ 7057.,   354., -2504.]), array([ 324.,  325.,  -38.]))
(6, 26818, 26941, 25220, array([-7952.,   -16.,  2160.]), array([ 7056.,   355., -2469.]), array([ 324.,  325.,  -38.]))
(6, 28241, 27949, 27765, array([-7904.,    64.,  2144.]), array([ 7008.,   372., -2485.]), array([ 322.,  328.,  -50.]))
(6, 29191, 28957, 27765, array([-7872.,   -80.,  2080.]), array([ 7004.,   367., -2470.]), array([ 322.,  328.,  -50.]))
(6, 30140, 29965, 30312, array([-7904.,  -176.,  2192.]), array([ 7033.,   395., -2430.]), array([ 319.,  331.,  -50.]))
(6, 31563, 30973, 30312, array([-7872.,  -272.,  2192.]), array([ 7026.,   385., -2446.]), array([ 319.,  331.,  -50.]))
(6, 32513, 31981, 30312, array([-7904.,  -144.,  2160.]), array([ 7025.,   395., -2499.]), array([ 319.,  331.,  -50.]))
(6, 33462, 32989, 32858, array([-7856.,   -96.,  2048.]), array([ 7057.,   387., -2518.]), array([ 315.,  332.,  -54.]))
(6, 34886, 33997, 32858, array([-7856.,  -112.,  2096.]), array([ 7079.,   371., -2509.]), array([ 315.,  332.,  -54.]))
(6, 35834, 36013, 35403, array([-7936.,  -112.,  2128.]), array([ 7034.,   382., -2467.]), array([ 311.,  332.,  -66.]))
(6, 36783, 37021, 35403, array([-7904.,  -208.,  2176.]), array([ 7042.,   418., -2430.]), array([ 311.,  332.,  -66.]))
