(6, 35217, 34869, 34978, array([-8176.,  -288.,  2576.]), array([ 8843.,   677., -5240.]), array([ 274.,  343., -187.]))
(6, 36166, 35877, 34978, array([-8208.,  -336.,  2560.]), array([ 8852.,   695., -5222.]), array([ 274.,  343., -187.]))
(6, 37115, 36885, 37523, array([-8112.,  -288.,  2592.]), array([ 8774.,   694., -5249.]), array([ 272.,  345., -194.]))
(6, 38539, 37893, 37523, array([-8192.,  -352.,  2544.]), array([ 8797.,   649., -5232.]), array([ 272.,  345., -194.]))
(6, 39488, 38901, 37523, array([-8176.,  -384.,  2512.]), array([ 8844.,   643., -5190.]), array([ 272.,  345., -194.]))
(6, 40436, 39909, 40068, array([-8208.,  -512.,  2592.]), array([ 8840.,   656., -5180.]), array([ 269.,  340., -201.]))
(6, 41860, 41925, 40068, array([-8208.,  -384.,  2528.]), array([ 8783.,   601., -5275.]), array([ 269.,  340., -201.]))
(6, 42809, 42933, 42612, array([-8240.,  -400.,  2528.]), array([ 8806.,   574., -5242.]), array([ 264.,  339., -211.]))
(6, 44233, 43941, 42612, array([-8144.,  -384.,  2576.]), array([ 8830.,   567., -5204.]), array([ 264.,  339., -211.]))
(6, 45182, 44949, 45158, array([-8112.,  -368.,  2480.]), array([ 8845.,   561., -5217.]), array([ 258.,  340., -218.]))
(6, 46131, 45957, 45158, array([-8112.,  -432.,  2432.]), array([ 8821.,   552., -5235.]), array([ 258.,  340., -218.]))
(6, 47555, 46965, 45158, array([-8048.,  -400.,  2512.]), array([ 8832.,   540., -5228.]), array([ 258.,  340., -218.]))
(6, 48503, 47973, 47703, array([-8112.,  -416.,  2448.]), array([ 8872.,   545., -5193.]), array([ 256.,  333., -225.]))
(6, 49452, 48981, 47703, array([-8032.,  -480.,  2480.]), array([ 8872.,   561., -5189.]), array([ 256.,  333., -225.]))
(6, 50876, 50997, 50248, array([-8032.,  -416.,  2448.]), array([ 8804.,   548., -5240.]), array([ 249.,  333., -233.]))
(6, 51825, 52005, 50248, array([-8032.,  -480.,  2432.]), array([ 8827.,   563., -5242.]), array([ 249.,  333., -233.]))
(6, 53248, 53013, 52793, array([-7984.,  -480.,  2352.]), array([ 8839.,   588., -5221.]), array([ 240.,  327., -246.]))
(6, 54196, 54021, 52793, array([-8032.,  -416.,  2400.]), array([ 8847.,   602., -5273.]), array([ 240.,  327., -246.]))
(6, 55145, 55029, 55337, array([-7984.,  -432.,  2400.]), array([ 8764.,   610., -5317.]), array([ 240.,  323., -246.]))
(6, 56578, 56037, 55337, array([-8000.,  -464.,  2368.]), array([ 8781.,   649., -5290.]), array([ 240.,  323., -246.]))
(6, 57527, 57045, 55337, array([-8064.,  -480.,  2480.]), array([ 8829.,   657., -5209.]), array([ 240.,  323., -246.]))
(6, 58476, 58053, 57882, array([-8064.,  -480.,  2464.]), array([ 8848.,   672., -5203.]), array([ 236.,  321., -253.]))
