(6, 63919, 63372, 63157, array([-7888.,   -64.,  1584.]), array([ 6239.,   290.,  -565.]), array([ 304.,  -67., -234.]))
(6, 64868, 64380, 63157, array([-7888.,   -96.,  1552.]), array([ 6271.,   246.,  -498.]), array([ 304.,  -67., -234.]))
(6, 756, 860, 167, array([-8080.,  -352.,  1568.]), array([ 6289.,   240.,  -384.]), array([ 304.,  -71., -231.]))
(6, 1706, 1868, 167, array([-8000.,  -576.,  1504.]), array([ 6229.,   250.,  -426.]), array([ 304.,  -71., -231.]))
(6, 3130, 2876, 2715, array([-8048.,  -400.,  1424.]), array([ 6193.,   240.,  -518.]), array([ 305.,  -79., -222.]))
(6, 4079, 3884, 2715, array([-7888.,   -32.,  1520.]), array([ 6189.,   229.,  -610.]), array([ 305.,  -79., -222.]))
(6, 5028, 4892, 5261, array([-7888.,    16.,  1552.]), array([ 6110.,   257.,  -610.]), array([ 305.,  -83., -222.]))
(6, 6452, 5900, 5261, array([-7904.,   -80.,  1488.]), array([ 6152.,   234.,  -530.]), array([ 305.,  -83., -222.]))
(6, 7402, 6908, 5261, array([-7968.,  -256.,  1552.]), array([ 6188.,   232.,  -440.]), array([ 305.,  -83., -222.]))
(6, 8351, 7916, 7807, array([-8032.,  -544.,  1536.]), array([ 6206.,   235.,  -404.]), array([ 302.,  -92., -217.]))
(6, 9775, 8924, 7807, array([-8000.,  -544.,  1568.]), array([ 6169.,   265.,  -421.]), array([ 302.,  -92., -217.]))
(6, 10724, 10940, 10353, array([-7904.,  -224.,  1552.]), array([ 6097.,   252.,  -618.]), array([ 305.,  -93., -214.]))
(6, 12147, 11948, 10353, array([-7792.,   224.,  1648.]), array([ 6025.,   272.,  -607.]), array([ 305.,  -93., -214.]))
(6, 13096, 12956, 12900, array([-7728.,   176.,  1584.]), array([ 6025.,   271.,  -543.]), array([ 306.,  -96., -206.]))
(6, 14046, 13964, 12900, array([-7872.,   -16.,  1568.]), array([ 6023.,   254.,  -440.]), array([ 306.,  -96., -206.]))
(6, 15470, 14972, 15447, array([-7936.,  -448.,  1552.]), array([ 6042.,   225.,  -372.]), array([ 308., -101., -209.]))
(6, 16420, 15980, 15447, array([-8096.,  -608.,  1552.]), array([ 6086.,   240.,  -362.]), array([ 308., -101., -209.]))
(6, 17369, 16988, 15447, array([-7952.,  -592.,  1536.]), array([ 6023.,   253.,  -460.]), array([ 308., -101., -209.]))
(6, 18793, 17996, 17994, array([-7872.,    64.,  1616.]), array([ 5985.,   244.,  -575.]), array([ 304., -104., -199.]))
(6, 19742, 20012, 17994, array([-7808.,   352.,  1712.]), array([ 5902.,   288.,  -586.]), array([ 304., -104., -199.]))
(6, 20691, 21020, 20541, array([-7808.,   336.,  1648.]), array([ 5998.,   262.,  -455.]), array([ 309., -109., -199.]))
(6, 22115, 22028, 20541, array([-7920.,  -144.,  1536.]), array([ 6004.,   228.,  -346.]), array([ 309., -109., -199.]))
