(1, 53449, 53415, 53467, array([ -272., -2800., -6480.]), array([ 774.,   93.,  -24.]), array([ 232.,  202.,  506.]))
(1, 54398, 54423, 53467, array([ -160., -2864., -6512.]), array([ 655.,  106.,   21.]), array([ 232.,  202.,  506.]))
(1, 55346, 55431, 53467, array([ -176., -2928., -6448.]), array([ 572.,  105.,  100.]), array([ 232.,  202.,  506.]))
(1, 56770, 56439, 56013, array([  -32., -2960., -6368.]), array([ 432.,  101.,  147.]), array([ 232.,  203.,  506.]))
(1, 57719, 57447, 56013, array([  -96., -2992., -6352.]), array([ 269.,  113.,  170.]), array([ 232.,  203.,  506.]))
(1, 59142, 58455, 58560, array([ -128., -3040., -6336.]), array([ 178.,   97.,  187.]), array([ 232.,  204.,  503.]))
(1, 60090, 59464, 58560, array([  -96., -3072., -6240.]), array([  42.,   96.,  217.]), array([ 232.,  204.,  503.]))
(1, 61039, 60472, 61107, array([  -32., -2992., -6144.]), array([ -69.,   79.,  263.]), array([ 233.,  204.,  505.]))
(1, 62463, 62488, 61107, array([  -16., -3136., -6352.]), array([-140.,   66.,  340.]), array([ 233.,  204.,  505.]))
(1, 63412, 63496, 63654, array([    0., -3392., -6320.]), array([-176.,   73.,  415.]), array([ 233.,  202.,  504.]))
(1, 64361, 64505, 63654, array([  -16., -3520., -6240.]), array([-234.,   63.,  466.]), array([ 233.,  202.,  504.]))
(1, 247, 65513, 63654, array([   32., -3456., -6288.]), array([-251.,   71.,  524.]), array([ 233.,  202.,  504.]))
(1, 1196, 985, 664, array([   64., -3504., -6304.]), array([-286.,   63.,  549.]), array([ 232.,  202.,  504.]))
(1, 2145, 1993, 664, array([  176., -3616., -6384.]), array([-310.,   72.,  565.]), array([ 232.,  202.,  504.]))
(1, 3568, 3001, 3212, array([  208., -3856., -6288.]), array([-270.,   62.,  617.]), array([ 235.,  198.,  505.]))
(1, 4517, 4009, 3212, array([  176., -3952., -6176.]), array([-276.,  102.,  712.]), array([ 235.,  198.,  505.]))
(1, 5940, 5018, 5759, array([  192., -4144., -6144.]), array([-270.,   98.,  789.]), array([ 235.,  195.,  506.]))
(1, 6889, 7034, 5759, array([  144., -4320., -6208.]), array([ -136.,   182.,  1010.]), array([ 235.,  195.,  506.]))
(1, 7838, 8042, 5759, array([  208., -4480., -6144.]), array([  -49.,   199.,  1147.]), array([ 235.,  195.,  506.]))
(1, 9262, 9050, 8306, array([  272., -4816., -5968.]), array([   12.,   224.,  1271.]), array([ 237.,  195.,  504.]))
(1, 10210, 10058, 8306, array([  272., -5008., -5984.]), array([   44.,   284.,  1397.]), array([ 237.,  195.,  504.]))
(1, 11160, 11067, 10854, array([  304., -5264., -5920.]), array([   73.,   346.,  1510.]), array([ 238.,  195.,  505.]))
(1, 12583, 12075, 10854, array([  304., -5472., -5744.]), array([   99.,   384.,  1655.]), array([ 238.,  195.,  505.]))
(1, 13532, 13083, 13401, array([  288., -5552., -5552.]), array([  112.,   443.,  1766.]), array([ 235.,  190.,  507.]))
(1, 14955, 14091, 13401, array([  512., -5584., -5360.]), array([   15.,   482.,  1857.]), array([ 235.,  190.,  507.]))
(1, 15904, 16108, 15948, array([  624., -5664., -5328.]), array([ -140.,   561.,  2061.]), array([ 235.,  188.,  505.]))
(1, 16853, 17116, 15948, array([  576., -5792., -5328.]), array([ -194.,   620.,  2173.]), array([ 235.,  188.,  505.]))
