(1, 38457, 38441, 37922, array([ 7360.,  2256., -2688.]), array([ 1406.,  1517., -2308.]), array([-346.,    9.,  449.]))
(1, 39881, 39449, 37922, array([ 7488.,  2192., -2656.]), array([ 1328.,  1481., -2472.]), array([-346.,    9.,  449.]))
(1, 40831, 40457, 40469, array([ 7504.,  2272., -2688.]), array([ 1156.,  1470., -2639.]), array([-352.,    2.,  449.]))
(1, 41780, 41465, 40469, array([ 7568.,  2320., -2752.]), array([ 1059.,  1500., -2724.]), array([-352.,    2.,  449.]))
(1, 43203, 42473, 43017, array([ 7712.,  2512., -2704.]), array([ 1007.,  1457., -2813.]), array([-348.,    5.,  446.]))
(1, 44153, 44490, 43017, array([ 7776.,  2592., -2704.]), array([ 1123.,  1450., -2872.]), array([-348.,    5.,  446.]))
(1, 45101, 45498, 45563, array([ 7840.,  2672., -2688.]), array([ 1238.,  1457., -2898.]), array([-349.,    1.,  446.]))
(1, 46525, 46506, 45563, array([ 7856.,  2752., -2592.]), array([ 1393.,  1425., -2899.]), array([-349.,    1.,  446.]))
(1, 47474, 47514, 45563, array([ 7936.,  2832., -2576.]), array([ 1586.,  1379., -2919.]), array([-349.,    1.,  446.]))
(1, 48899, 48522, 48111, array([ 8016.,  2928., -2608.]), array([ 1791.,  1358., -2953.]), array([-352.,    1.,  446.]))
(1, 49848, 49530, 48111, array([ 8048.,  3024., -2624.]), array([ 2109.,  1290., -3001.]), array([-352.,    1.,  446.]))
(1, 50798, 50539, 50656, array([ 8032.,  3104., -2592.]), array([ 2403.,  1248., -3023.]), array([-352.,   -3.,  443.]))
(1, 52221, 51547, 50656, array([ 8032.,  3216., -2576.]), array([ 2786.,  1231., -3043.]), array([-352.,   -3.,  443.]))
(1, 53171, 52555, 53203, array([ 8016.,  3296., -2528.]), array([ 3188.,  1173., -3085.]), array([-351.,    0.,  442.]))
(1, 54595, 54571, 53203, array([ 7920.,  3344., -2480.]), array([ 4145.,  1093., -3181.]), array([-351.,    0.,  442.]))
(1, 55544, 55580, 53203, array([ 7872.,  3408., -2400.]), array([ 4629.,  1055., -3228.]), array([-351.,    0.,  442.]))
(1, 56493, 56588, 55749, array([ 7824.,  3408., -2480.]), array([ 5198.,  1051., -3268.]), array([-351.,    2.,  442.]))
(1, 57917, 57596, 55749, array([ 7712.,  3392., -2384.]), array([ 5709.,  1022., -3332.]), array([-351.,    2.,  442.]))
(1, 58866, 58604, 58296, array([ 7696.,  3296., -2288.]), array([ 6175.,  1037., -3391.]), array([-354.,    6.,  444.]))
(1, 59815, 59612, 58296, array([ 7680.,  3136., -2288.]), array([ 6624.,  1047., -3456.]), array([-354.,    6.,  444.]))
(1, 61239, 60620, 60843, array([ 7712.,  3008., -2336.]), array([ 6983.,  1054., -3530.]), array([-356.,   13.,  446.]))
(1, 62188, 61629, 60843, array([ 7760.,  2848., -2368.]), array([ 7234.,  1061., -3597.]), array([-356.,   13.,  446.]))
(1, 63612, 62637, 63388, array([ 7936.,  2800., -2432.]), array([ 7462.,  1065., -3671.]), array([-354.,   20.,  444.]))
(1, 64561, 64653, 63388, array([ 8000.,  2832., -2400.]), array([ 7770.,  1081., -3854.]), array([-354.,   20.,  444.]))
(1, 65511, 125, 63388, array([ 8016.,  2800., -2320.]), array([ 7893.,  1066., -3949.]), array([-354.,   20.,  444.]))
(1, 1398, 1133, 400, array([ 7952.,  2736., -2240.]), array([ 8010.,  1017., -4033.]), array([-356.,   29.,  449.]))
(1, 2347, 2142, 400, array([ 7888.,  2768., -2272.]), array([ 8119.,   956., -4163.]), array([-356.,   29.,  449.]))
(1, 3297, 3150, 2947, array([ 7808.,  2816., -2240.]), array([ 8153.,   981., -4285.]), array([-354.,   36.,  449.]))
(1, 4721, 4158, 2947, array([ 7840.,  2864., -2240.]), array([ 8268.,   961., -4369.]), array([-354.,   36.,  449.]))
(1, 5670, 5166, 5493, array([ 7840.,  2784., -2192.]), array([ 8373.,   928., -4437.]), array([-356.,   40.,  448.]))
(1, 6619, 6174, 5493, array([ 7936.,  2736., -2128.]), array([ 8506.,   937., -4538.]), array([-356.,   40.,  448.]))
(1, 8043, 8191, 8039, array([ 7952.,  2688., -2080.]), array([ 8770.,   902., -4710.]), array([-353.,   51.,  448.]))
(1, 8993, 9199, 8039, array([ 7952.,  2704., -2096.]), array([ 8873.,   856., -4789.]), array([-353.,   51.,  448.]))
(1, 10417, 10207, 8039, array([ 8016.,  2608., -2048.]), array([ 8972.,   822., -4895.]), array([-353.,   51.,  448.]))
(1, 11366, 11215, 10585, array([ 8048.,  2640., -2080.]), array([ 9077.,   810., -4981.]), array([-353.,   58.,  448.]))
(1, 12316, 12223, 10585, array([ 8080.,  2672., -2032.]), array([ 9113.,   774., -5076.]), array([-353.,   58.,  448.]))
(1, 13740, 13232, 13131, array([ 8144.,  2544., -2048.]), array([ 9198.,   707., -5163.]), array([-353.,   69.,  457.]))
(1, 14689, 14240, 13131, array([ 8144.,  2384., -2096.]), array([ 9289.,   674., -5214.]), array([-353.,   69.,  457.]))
(1, 15639, 15248, 15676, array([ 8160.,  2304., -2144.]), array([ 9367.,   630., -5272.]), array([-353.,   74.,  449.]))
(1, 17063, 16256, 15676, array([ 8240.,  2272., -2352.]), array([ 9403.,   583., -5335.]), array([-353.,   74.,  449.]))
(1, 18013, 18272, 18223, array([ 8320.,  2080., -2352.]), array([ 9510.,   504., -5473.]), array([-353.,   84.,  449.]))
(1, 19437, 19281, 18223, array([ 8336.,  1744., -2320.]), array([ 9510.,   491., -5523.]), array([-353.,   84.,  449.]))
(1, 20387, 20289, 18223, array([ 8304.,  1664., -2304.]), array([ 9376.,   398., -5567.]), array([-353.,   84.,  449.]))
(1, 21336, 21297, 20770, array([ 8288.,  1696., -2352.]), array([ 9228.,   335., -5605.]), array([-354.,   92.,  453.]))
(1, 22761, 22305, 20770, array([ 8256.,  1584., -2480.]), array([ 9058.,   278., -5669.]), array([-354.,   92.,  453.]))
(1, 23710, 23313, 23317, array([ 8304.,  1584., -2528.]), array([ 8918.,   206., -5702.]), array([-356.,   99.,  453.]))
(1, 24660, 24322, 23317, array([ 8368.,  1504., -2608.]), array([ 8798.,   212., -5729.]), array([-356.,   99.,  453.]))
(1, 26084, 25330, 25863, array([ 8448.,  1520., -2624.]), array([ 8614.,   175., -5753.]), array([-350.,  104.,  451.]))
(1, 27033, 26338, 25863, array([ 8480.,  1536., -2560.]), array([ 8476.,   133., -5786.]), array([-350.,  104.,  451.]))
(1, 27983, 28354, 28409, array([ 8416.,  1536., -2512.]), array([  8.31200000e+03,  -5.00000000e+00,  -5.82600000e+03]), array([-353.,  111.,  451.]))
(1, 29406, 29362, 28409, array([ 8352.,  1360., -2432.]), array([ 8256.,   -48., -5870.]), array([-353.,  111.,  451.]))
(1, 30355, 30371, 28409, array([ 8336.,  1232., -2400.]), array([ 8189.,   -78., -5929.]), array([-353.,  111.,  451.]))
(1, 31780, 31379, 30956, array([ 8416.,  1344., -2448.]), array([ 8136.,  -111., -5956.]), array([-356.,  118.,  451.]))
(1, 32729, 32387, 30956, array([ 8368.,  1488., -2464.]), array([ 8103.,  -123., -5941.]), array([-356.,  118.,  451.]))
(1, 33678, 33395, 33503, array([ 8416.,  1600., -2464.]), array([ 8061.,  -181., -5976.]), array([-354.,  123.,  451.]))
(1, 35102, 34403, 33503, array([ 8400.,  1536., -2304.]), array([ 8151.,  -214., -6005.]), array([-354.,  123.,  451.]))
(1, 36051, 35411, 36050, array([ 8384.,  1344., -2352.]), array([ 8207.,  -277., -6031.]), array([-352.,  129.,  450.]))
(1, 37001, 37428, 36050, array([ 8416.,  1312., -2336.]), array([ 8268.,  -333., -6001.]), array([-352.,  129.,  450.]))
(1, 38426, 38436, 36050, array([ 8368.,  1200., -2176.]), array([ 8232.,  -322., -6031.]), array([-352.,  129.,  450.]))
(1, 39375, 39444, 38595, array([ 8352.,  1120., -2240.]), array([ 8209.,  -387., -6045.]), array([-353.,  132.,  450.]))
(1, 40799, 40452, 38595, array([ 8288.,  1120., -2352.]), array([ 8145.,  -425., -6055.]), array([-353.,  132.,  450.]))
(1, 41748, 41461, 41142, array([ 8256.,  1120., -2400.]), array([ 8175.,  -487., -6026.]), array([-352.,  136.,  450.]))
(1, 42698, 42469, 41142, array([ 8304.,  1200., -2400.]), array([ 8208.,  -532., -6035.]), array([-352.,  136.,  450.]))
(1, 44122, 43477, 43688, array([ 8288.,  1056., -2256.]), array([ 8216.,  -526., -6035.]), array([-354.,  146.,  448.]))
(1, 45071, 44485, 43688, array([ 8288.,   832., -2112.]), array([ 8237.,  -564., -6007.]), array([-354.,  146.,  448.]))
(1, 46020, 45493, 46233, array([ 8208.,   816., -2096.]), array([ 8239.,  -587., -5988.]), array([-354.,  149.,  448.]))
(1, 47444, 47510, 46233, array([ 8160.,   640., -2096.]), array([ 8187.,  -608., -5883.]), array([-354.,  149.,  448.]))
(1, 48393, 48518, 46233, array([ 8096.,   608., -2096.]), array([ 8169.,  -633., -5875.]), array([-354.,  149.,  448.]))
(1, 49817, 49526, 48780, array([ 7952.,   688., -2240.]), array([ 8141.,  -667., -5790.]), array([-354.,  156.,  447.]))
(1, 50767, 50534, 48780, array([ 7888.,   832., -2224.]), array([ 8052.,  -673., -5705.]), array([-354.,  156.,  447.]))
(1, 51716, 51542, 51327, array([ 7744.,   864., -2256.]), array([ 7999.,  -666., -5691.]), array([-355.,  161.,  445.]))
(1, 53141, 52551, 51327, array([ 7792.,   896., -2256.]), array([ 7981.,  -662., -5676.]), array([-355.,  161.,  445.]))
(1, 54090, 53559, 53875, array([ 7808.,   912., -2272.]), array([ 7930.,  -638., -5612.]), array([-356.,  168.,  446.]))
(1, 55040, 54567, 53875, array([ 7856.,   768., -2128.]), array([ 7901.,  -658., -5565.]), array([-356.,  168.,  446.]))
(1, 56463, 55575, 56421, array([ 7952.,   496., -2096.]), array([ 7859.,  -654., -5535.]), array([-357.,  170.,  443.]))
