(1, 31623, 30673, 31415, array([ 2624.,  1184., -6816.]), array([ 809.,  403., -845.]), array([-165.,  132.,  564.]))
(1, 32572, 32689, 31415, array([ 2576.,  1168., -6832.]), array([ 785.,  434., -785.]), array([-165.,  132.,  564.]))
(1, 33521, 33698, 31415, array([ 2592.,  1136., -6800.]), array([ 777.,  416., -741.]), array([-165.,  132.,  564.]))
(1, 34945, 34706, 33961, array([ 2640.,  1024., -6736.]), array([ 693.,  416., -697.]), array([-167.,  133.,  562.]))
(1, 35894, 35714, 33961, array([ 2608.,   864., -6864.]), array([ 652.,  408., -676.]), array([-167.,  133.,  562.]))
(1, 36843, 36722, 36507, array([ 2672.,   848., -6896.]), array([ 543.,  370., -647.]), array([-165.,  130.,  562.]))
(1, 38267, 37730, 36507, array([ 2672.,   864., -6944.]), array([ 417.,  372., -586.]), array([-165.,  130.,  562.]))
(1, 39216, 38738, 39052, array([ 2720.,   800., -7024.]), array([ 359.,  338., -554.]), array([-165.,  133.,  565.]))
(1, 40640, 39746, 39052, array([ 2736.,   832., -6976.]), array([ 246.,  323., -492.]), array([-165.,  133.,  565.]))
(1, 41589, 41763, 41599, array([ 2800.,   832., -7008.]), array([  74.,  278., -369.]), array([-167.,  129.,  563.]))
(1, 42538, 42771, 41599, array([ 2720.,   848., -7008.]), array([   3.,  250., -296.]), array([-167.,  129.,  563.]))
(1, 43961, 43779, 41599, array([ 2656.,   896., -6960.]), array([ -25.,  209., -194.]), array([-167.,  129.,  563.]))
(1, 44910, 44787, 44145, array([ 2720.,   896., -6912.]), array([ -86.,  174., -105.]), array([-167.,  130.,  563.]))
(1, 45859, 45795, 44145, array([ 2736.,   960., -6976.]), array([ -49.,  179.,  -54.]), array([-167.,  130.,  563.]))
(1, 47283, 46803, 46689, array([ 2688.,  1056., -6928.]), array([  -2.,  148.,   -9.]), array([-169.,  133.,  566.]))
(1, 48232, 47811, 46689, array([ 2656.,  1008., -7008.]), array([ -32.,  111.,   52.]), array([-169.,  133.,  566.]))
(1, 49181, 48820, 49236, array([ 2608.,   976., -7088.]), array([ -45.,   81.,  148.]), array([-173.,  132.,  562.]))
(1, 50605, 49828, 49236, array([ 2656.,   944., -7008.]), array([ -81.,  110.,  168.]), array([-173.,  132.,  562.]))
(1, 51553, 51844, 51783, array([ 2656.,   992., -7040.]), array([-183.,   91.,  260.]), array([-166.,  129.,  562.]))
(1, 52977, 52852, 51783, array([ 2688.,   960., -7088.]), array([-209.,   74.,  300.]), array([-166.,  129.,  562.]))
(1, 53926, 53860, 51783, array([ 2672.,   976., -6992.]), array([-245.,   53.,  348.]), array([-166.,  129.,  562.]))
(1, 54875, 54868, 54329, array([ 2640.,  1024., -6928.]), array([-302.,   25.,  391.]), array([-165.,  129.,  563.]))
(1, 56299, 55877, 54329, array([ 2592.,  1088., -6864.]), array([-306.,   -6.,  426.]), array([-165.,  129.,  563.]))
(1, 57247, 56885, 56874, array([ 2608.,  1136., -6976.]), array([-247.,  -46.,  464.]), array([-166.,  128.,  563.]))
(1, 58197, 57893, 56874, array([ 2640.,  1168., -6976.]), array([-147.,  -39.,  547.]), array([-166.,  128.,  563.]))
(1, 59620, 58901, 59420, array([ 2544.,  1168., -6928.]), array([ -77.,  -30.,  620.]), array([-167.,  128.,  563.]))
(1, 60569, 59909, 59420, array([ 2528.,  1184., -6864.]), array([ -29.,  -45.,  613.]), array([-167.,  128.,  563.]))
(1, 61519, 61925, 61967, array([ 2480.,  1088., -6832.]), array([  63.,  -52.,  650.]), array([-167.,  130.,  564.]))
(1, 62943, 62934, 61967, array([ 2544.,   992., -6848.]), array([ -22.,  -53.,  683.]), array([-167.,  130.,  564.]))
(1, 63892, 63942, 61967, array([ 2592.,   928., -6800.]), array([-107.,  -54.,  707.]), array([-167.,  130.,  564.]))
(1, 65316, 64950, 64512, array([ 2640.,   944., -6864.]), array([-210.,  -56.,  758.]), array([-165.,  128.,  561.]))
(1, 729, 422, 64512, array([ 2720.,   944., -6912.]), array([-255.,  -67.,  798.]), array([-165.,  128.,  561.]))
(1, 1678, 1430, 1523, array([ 2704.,   912., -6864.]), array([-417.,  -31.,  828.]), array([-165.,  129.,  564.]))
(1, 3102, 2438, 1523, array([ 2704.,   896., -6880.]), array([-595.,  -65.,  871.]), array([-165.,  129.,  564.]))
