(1, 53636, 53684, 53804, array([ 6784., -1632., -4688.]), array([-4144.,  1876.,  5211.]), array([-182.,   73.,  541.]))
(1, 54585, 54692, 53804, array([ 6752., -1664., -4720.]), array([-4114.,  1861.,  5287.]), array([-182.,   73.,  541.]))
(1, 56009, 55700, 53804, array([ 6736., -1552., -4784.]), array([-4135.,  1838.,  5367.]), array([-182.,   73.,  541.]))
(1, 56958, 56708, 56350, array([ 6768., -1536., -4720.]), array([-4240.,  1795.,  5430.]), array([-182.,   64.,  540.]))
(1, 57907, 57716, 56350, array([ 6752., -1488., -4752.]), array([-4305.,  1743.,  5489.]), array([-182.,   64.,  540.]))
(1, 59331, 58725, 58895, array([ 6784., -1536., -4736.]), array([-4433.,  1741.,  5558.]), array([-191.,   60.,  540.]))
(1, 60280, 59733, 58895, array([ 6880., -1552., -4752.]), array([-4542.,  1702.,  5593.]), array([-191.,   60.,  540.]))
(1, 61703, 60741, 61440, array([ 6960., -1472., -4688.]), array([-4625.,  1663.,  5658.]), array([-191.,   56.,  540.]))
(1, 62652, 62757, 61440, array([ 6944., -1456., -4800.]), array([-4925.,  1586.,  5791.]), array([-191.,   56.,  540.]))
(1, 63602, 63766, 61440, array([ 6976., -1424., -4864.]), array([-5019.,  1561.,  5829.]), array([-191.,   56.,  540.]))
(1, 65025, 64774, 63985, array([ 6960., -1328., -4976.]), array([-5088.,  1516.,  5856.]), array([-194.,   47.,  536.]))
(1, 439, 246, 63985, array([ 7024., -1344., -5008.]), array([-5088.,  1460.,  5897.]), array([-194.,   47.,  536.]))
(1, 1387, 1254, 994, array([ 7040., -1232., -5024.]), array([-5167.,  1428.,  5965.]), array([-195.,   38.,  535.]))
(1, 2811, 2262, 994, array([ 7008., -1168., -5136.]), array([-5195.,  1374.,  6024.]), array([-195.,   38.,  535.]))
(1, 3760, 3271, 3539, array([ 7024., -1088., -5056.]), array([-5149.,  1322.,  6051.]), array([-199.,   36.,  536.]))
(1, 4710, 4279, 3539, array([ 7040.,  -960., -5040.]), array([-5077.,  1286.,  6048.]), array([-199.,   36.,  536.]))
(1, 6134, 6295, 6084, array([ 7120.,  -992., -4864.]), array([-4876.,  1193.,  6111.]), array([-201.,   31.,  532.]))
(1, 7083, 7303, 6084, array([ 7056.,  -976., -4688.]), array([-4762.,  1067.,  6148.]), array([-201.,   31.,  532.]))
(1, 8506, 8312, 6084, array([ 7184.,  -944., -4688.]), array([-4747.,  1015.,  6170.]), array([-201.,   31.,  532.]))
(1, 9456, 9320, 8631, array([ 7216.,  -976., -4576.]), array([-4722.,   986.,  6218.]), array([-206.,   25.,  528.]))
(1, 10405, 10328, 8631, array([ 7232.,  -928., -4512.]), array([-4699.,   973.,  6247.]), array([-206.,   25.,  528.]))
(1, 11829, 11336, 11178, array([ 7200.,  -976., -4528.]), array([-4766.,   951.,  6270.]), array([-211.,   19.,  528.]))
(1, 12778, 12344, 11178, array([ 7168., -1120., -4480.]), array([-4799.,   887.,  6326.]), array([-211.,   19.,  528.]))
(1, 13727, 13353, 13724, array([ 7184., -1216., -4416.]), array([-4911.,   875.,  6320.]), array([-212.,   15.,  528.]))
(1, 15151, 14361, 13724, array([ 7184., -1040., -4352.]), array([-5055.,   859.,  6344.]), array([-212.,   15.,  528.]))
(1, 16100, 16377, 16270, array([ 7200.,  -880., -4416.]), array([-5385.,   792.,  6419.]), array([-217.,   11.,  524.]))
(1, 17524, 17385, 16270, array([ 7152.,  -880., -4256.]), array([-5486.,   762.,  6444.]), array([-217.,   11.,  524.]))
(1, 18473, 18394, 16270, array([ 7152.,  -960., -4176.]), array([-5582.,   724.,  6443.]), array([-217.,   11.,  524.]))
(1, 19422, 19402, 18815, array([ 7152.,  -912., -4048.]), array([-5708.,   735.,  6469.]), array([-217.,    2.,  524.]))
(1, 20846, 20410, 18815, array([ 7184.,  -960., -4096.]), array([-5868.,   713.,  6500.]), array([-217.,    2.,  524.]))
(1, 21795, 21418, 21361, array([ 7088., -1216., -3856.]), array([-6051.,   693.,  6515.]), array([-225.,   -1.,  519.]))
(1, 22744, 22426, 21361, array([ 7088., -1024., -3968.]), array([-6204.,   672.,  6564.]), array([-225.,   -1.,  519.]))
(1, 24168, 23435, 23907, array([ 7120.,  -688., -3856.]), array([-6379.,   667.,  6618.]), array([-225.,  -14.,  519.]))
(1, 25117, 24443, 23907, array([ 7232.,  -640., -3872.]), array([-6483.,   613.,  6640.]), array([-225.,  -14.,  519.]))
(1, 26541, 26459, 26453, array([ 7328.,  -448., -3888.]), array([-6517.,   516.,  6674.]), array([-226.,  -17.,  519.]))
