(1, 8822, 8582, 8689, array([ 4048., -1248., -5872.]), array([ 1851.,   271.,  -198.]), array([ -71.,  177.,  561.]))
(1, 10246, 9591, 8689, array([ 4080., -1440., -5872.]), array([ 1712.,   304.,  -177.]), array([ -71.,  177.,  561.]))
(1, 11195, 10599, 11236, array([ 4048., -1504., -5888.]), array([ 1511.,   324.,  -147.]), array([ -69.,  177.,  558.]))
(1, 12619, 12615, 11236, array([ 4000., -1520., -5888.]), array([ 1146.,   354.,   -86.]), array([ -69.,  177.,  558.]))
(1, 13568, 13623, 11236, array([ 4016., -1536., -5936.]), array([ 1000.,   326.,   -27.]), array([ -69.,  177.,  558.]))
(1, 14517, 14632, 13783, array([ 4064., -1392., -5952.]), array([ 867.,  277.,  -16.]), array([ -69.,  179.,  558.]))
(1, 15942, 15640, 13783, array([ 4096., -1200., -6096.]), array([ 787.,  244.,  -52.]), array([ -69.,  179.,  558.]))
(1, 16891, 16648, 16330, array([ 4128., -1200., -6272.]), array([ 711.,  260.,  -49.]), array([ -73.,  182.,  556.]))
(1, 17840, 17656, 16330, array([ 4112., -1200., -6240.]), array([ 639.,  261.,  -32.]), array([ -73.,  182.,  556.]))
(1, 19264, 18664, 18877, array([ 4016., -1328., -6368.]), array([ 604.,  174.,  -33.]), array([ -72.,  182.,  560.]))
(1, 21637, 20681, 21424, array([ 3728., -1536., -6656.]), array([ 555.,  204.,  -70.]), array([ -72.,  183.,  555.]))
(1, 22586, 22697, 21424, array([ 3760., -1568., -6624.]), array([ 595.,  292., -103.]), array([ -72.,  183.,  555.]))
(1, 23535, 23705, 21424, array([ 3872., -1536., -6560.]), array([ 648.,  309., -136.]), array([ -72.,  183.,  555.]))
(1, 24960, 24713, 23969, array([ 3904., -1632., -6416.]), array([ 771.,  314., -157.]), array([ -70.,  182.,  556.]))
(1, 25909, 25722, 23969, array([ 3984., -1696., -6416.]), array([ 978.,  305., -154.]), array([ -70.,  182.,  556.]))
(1, 26858, 26730, 26515, array([ 4016., -1808., -6304.]), array([ 1085.,   285.,  -133.]), array([ -71.,  184.,  556.]))
(1, 28282, 27738, 26515, array([ 4128., -1856., -6320.]), array([ 1191.,   281.,   -79.]), array([ -71.,  184.,  556.]))
(1, 29231, 28746, 29062, array([ 4240., -1840., -6368.]), array([ 1285.,   254.,   -92.]), array([ -72.,  186.,  556.]))
(1, 30655, 29754, 29062, array([ 4336., -1968., -6464.]), array([ 1309.,   260.,   -78.]), array([ -72.,  186.,  556.]))
