(1, 55250, 54906, 53422, array([ 6784.,  -304., -3360.]), array([-692., -633.,  192.]), array([-306.,  127.,  476.]))
(1, 56199, 55914, 55968, array([ 6848.,  -336., -3344.]), array([-571., -583.,  225.]), array([-308.,  128.,  475.]))
(1, 57624, 56922, 55968, array([ 6848.,  -176., -3328.]), array([-472., -513.,  226.]), array([-308.,  128.,  475.]))
(1, 59523, 59947, 58514, array([ 6848.,  -256., -3168.]), array([ -85., -411.,  164.]), array([-302.,  127.,  478.]))
(1, 60947, 60955, 61060, array([ 6736.,  -240., -3296.]), array([  27., -343.,  154.]), array([-298.,  124.,  479.]))
(1, 61897, 61963, 61060, array([ 6816.,  -224., -3232.]), array([  97., -326.,  103.]), array([-298.,  124.,  479.]))
(1, 63322, 62971, 61060, array([ 6784.,  -288., -3280.]), array([ 188., -352.,  147.]), array([-298.,  124.,  479.]))
(1, 64272, 63980, 63605, array([ 6752.,  -304., -3312.]), array([ 302., -341.,  114.]), array([-302.,  124.,  479.]))
(1, 65222, 64988, 63605, array([ 6784.,  -304., -3312.]), array([ 302., -259.,  102.]), array([-302.,  124.,  479.]))
(1, 1110, 460, 615, array([ 6832.,  -256., -3280.]), array([ 359., -229.,  111.]), array([-299.,  127.,  476.]))
(1, 2059, 1468, 615, array([ 6768.,  -320., -3296.]), array([ 402., -228.,  104.]), array([-299.,  127.,  476.]))
(1, 3008, 2477, 3160, array([ 6800.,  -336., -3296.]), array([ 394., -210.,  100.]), array([-297.,  127.,  478.]))
(1, 4432, 4493, 3160, array([ 6768.,  -368., -3440.]), array([ 413., -198.,  122.]), array([-297.,  127.,  478.]))
(1, 6331, 6509, 5705, array([ 6800.,  -352., -3344.]), array([ 441., -194.,  159.]), array([-300.,  125.,  481.]))
(1, 7756, 7518, 5705, array([ 6720.,  -384., -3440.]), array([ 413., -184.,  165.]), array([-300.,  125.,  481.]))
(1, 8705, 8526, 8251, array([ 6704.,  -480., -3408.]), array([ 450., -211.,  173.]), array([-295.,  127.,  485.]))
(1, 10130, 9534, 8251, array([ 6672.,  -512., -3488.]), array([ 425., -197.,  192.]), array([-295.,  127.,  485.]))
(1, 11079, 10542, 10796, array([ 6688.,  -480., -3568.]), array([ 354., -199.,  209.]), array([-295.,  128.,  485.]))
(1, 12029, 11551, 10796, array([ 6704.,  -480., -3488.]), array([ 291., -205.,  198.]), array([-295.,  128.,  485.]))
(1, 13453, 12559, 13343, array([ 6704.,  -448., -3472.]), array([ 225., -197.,  180.]), array([-296.,  127.,  481.]))
(1, 14403, 14575, 13343, array([ 6608.,  -448., -3376.]), array([ 142., -189.,  195.]), array([-296.,  127.,  481.]))
(1, 15352, 15583, 13343, array([ 6576.,  -192., -2736.]), array([  86., -143.,  180.]), array([-296.,  127.,  481.]))
(1, 16777, 16592, 15890, array([ 6784.,   160., -2592.]), array([ 22., -42.,  19.]), array([-297.,  132.,  481.]))
(1, 17727, 17600, 15890, array([ 6864.,   272., -2528.]), array([  28.,  276., -119.]), array([-297.,  132.,  481.]))
(1, 19151, 18608, 18435, array([ 6736.,   160., -2416.]), array([ 335.,  487., -121.]), array([-296.,  130.,  481.]))
(1, 20100, 19616, 18435, array([ 6704.,   -64., -2544.]), array([ 687.,  547.,  -76.]), array([-296.,  130.,  481.]))
(1, 21050, 20625, 20982, array([ 6816.,  -384., -2896.]), array([ 975.,  620.,  -43.]), array([-296.,  132.,  482.]))
(1, 22475, 21633, 20982, array([ 6880.,  -864., -3264.]), array([ 1086.,   547.,     3.]), array([-296.,  132.,  482.]))
