(1, 56207, 56001, 54236, array([ 7936.,    96., -1424.]), array([-403.,  152.,    3.]), array([-423.,   72.,  399.]))
(1, 57156, 57009, 56782, array([ 7936.,   128., -1440.]), array([-377.,  155.,   12.]), array([-424.,   68.,  395.]))
(1, 58580, 58017, 56782, array([ 7872.,   192., -1392.]), array([-354.,  152.,    7.]), array([-424.,   68.,  395.]))
(1, 59529, 59025, 59329, array([ 7904.,   144., -1456.]), array([-328.,  126.,   20.]), array([-423.,   69.,  396.]))
(1, 60478, 60033, 59329, array([ 7904.,   160., -1456.]), array([-288.,  115.,   27.]), array([-423.,   69.,  396.]))
(1, 61902, 62049, 61876, array([ 7920.,   160., -1472.]), array([-219.,   85.,   55.]), array([-422.,   69.,  397.]))
(1, 62851, 63057, 61876, array([ 7920.,   176., -1440.]), array([-248.,  117.,   52.]), array([-422.,   69.,  397.]))
(1, 64275, 64066, 61876, array([ 7856.,   176., -1408.]), array([-212.,  102.,   40.]), array([-422.,   69.,  397.]))
(1, 65224, 65074, 64423, array([ 7856.,   192., -1408.]), array([-180.,   97.,   44.]), array([-422.,   67.,  397.]))
(1, 638, 546, 64423, array([ 7888.,   192., -1344.]), array([-130.,  130.,   45.]), array([-422.,   67.,  397.]))
(1, 2062, 1554, 1434, array([ 7872.,   144., -1328.]), array([ -58.,  134.,   49.]), array([-422.,   66.,  402.]))
(1, 3011, 2562, 1434, array([ 7904.,   160., -1328.]), array([ -67.,  149.,   48.]), array([-422.,   66.,  402.]))
(1, 3960, 3570, 3980, array([ 7920.,   112., -1344.]), array([ -71.,  131.,   20.]), array([-423.,   68.,  397.]))
(1, 5384, 4578, 3980, array([ 7904.,   128., -1344.]), array([ -65.,  136.,   34.]), array([-423.,   68.,  397.]))
(1, 6334, 6595, 6526, array([ 7808.,   144., -1312.]), array([ -75.,  134.,   63.]), array([-423.,   65.,  397.]))
(1, 7758, 7603, 6526, array([ 7840.,   128., -1312.]), array([ -90.,  126.,   43.]), array([-423.,   65.,  397.]))
(1, 8707, 8611, 6526, array([ 7776.,   128., -1296.]), array([ -88.,  135.,   53.]), array([-423.,   65.,  397.]))
(1, 9656, 9619, 9073, array([ 7856.,    96., -1312.]), array([ -67.,  166.,   28.]), array([-425.,   64.,  396.]))
(1, 11080, 10627, 9073, array([ 7872.,   144., -1392.]), array([ -50.,  165.,   24.]), array([-425.,   64.,  396.]))
(1, 12030, 11635, 11619, array([ 7824.,   112., -1408.]), array([ -59.,  148.,   27.]), array([-426.,   66.,  398.]))
(1, 12979, 12643, 11619, array([ 7792.,   144., -1392.]), array([ -58.,  174.,   10.]), array([-426.,   66.,  398.]))
(1, 14403, 13651, 14165, array([ 7792.,   256., -1296.]), array([ -68.,  142.,   19.]), array([-422.,   66.,  398.]))
(1, 15352, 14660, 14165, array([ 7824.,   128., -1296.]), array([ -37.,  136.,   -2.]), array([-422.,   66.,  398.]))
(1, 16301, 16676, 16711, array([ 7824.,   112., -1344.]), array([  54.,  206.,  -37.]), array([-424.,   63.,  395.]))
(1, 17725, 17684, 16711, array([ 7888.,   144., -1344.]), array([  41.,  210.,  -34.]), array([-424.,   63.,  395.]))
(1, 18675, 18692, 16711, array([ 7888.,   144., -1360.]), array([  25.,  222.,   -4.]), array([-424.,   63.,  395.]))
(1, 20099, 19700, 19257, array([ 7888.,    80., -1360.]), array([  73.,  187.,  -15.]), array([-423.,   63.,  394.]))
(1, 21048, 20708, 19257, array([ 7952.,   128., -1344.]), array([  66.,  198.,  -48.]), array([-423.,   63.,  394.]))
(1, 21997, 21716, 21803, array([ 7872.,   128., -1376.]), array([  94.,  242.,  -51.]), array([-424.,   63.,  393.]))
(1, 23421, 22725, 21803, array([ 7920.,   144., -1408.]), array([  96.,  244.,  -36.]), array([-424.,   63.,  393.]))
(1, 24371, 23733, 24349, array([ 7936.,   128., -1440.]), array([ 116.,  247.,  -23.]), array([-422.,   65.,  397.]))
(1, 25320, 25749, 24349, array([ 7936.,    96., -1408.]), array([ 170.,  208.,   11.]), array([-422.,   65.,  397.]))
(1, 26744, 26757, 26895, array([ 7904.,   128., -1472.]), array([ 201.,  192.,   43.]), array([-424.,   62.,  395.]))
(1, 27694, 27765, 26895, array([ 7952.,   144., -1424.]), array([ 215.,  189.,   20.]), array([-424.,   62.,  395.]))
(1, 29118, 28773, 26895, array([ 7952.,   144., -1408.]), array([ 260.,  191.,  -13.]), array([-424.,   62.,  395.]))
(1, 30067, 29781, 29442, array([ 7936.,   192., -1440.]), array([ 280.,  180.,    3.]), array([-426.,   65.,  397.]))
(1, 31017, 30789, 29442, array([ 7920.,   128., -1456.]), array([ 258.,  174.,   10.]), array([-426.,   65.,  397.]))
(1, 32441, 31798, 31989, array([ 7936.,    80., -1456.]), array([ 309.,  143.,    5.]), array([-425.,   63.,  398.]))
(1, 33391, 32806, 31989, array([ 7920.,   176., -1504.]), array([ 312.,  141.,   -1.]), array([-425.,   63.,  398.]))
(1, 34340, 33814, 34535, array([ 7920.,   192., -1440.]), array([ 293.,  125.,   11.]), array([-425.,   65.,  398.]))
(1, 35765, 35830, 34535, array([ 7920.,   144., -1424.]), array([ 377.,  114.,    8.]), array([-425.,   65.,  398.]))
