(1, 62567, 62923, 61429, array([ 8640.,  -192., -7008.]), array([ 2203., -5428.,   380.]), array([-308.,  115.,  481.]))
(1, 63991, 63932, 63976, array([ 8624.,  -336., -7088.]), array([ 2274., -5561.,   380.]), array([-296.,  120.,  490.]))
(1, 64940, 64940, 63976, array([ 8592.,  -304., -6672.]), array([ 2299., -5743.,   304.]), array([-296.,  120.,  490.]))
(1, 353, 412, 63976, array([ 8528.,  -368., -6576.]), array([ 2234., -5938.,   278.]), array([-296.,  120.,  490.]))
(1, 1777, 1420, 986, array([ 8368.,   -16., -6688.]), array([ 2155., -6136.,   199.]), array([-285.,  124.,  496.]))
(1, 2726, 2428, 986, array([ 8272.,  -128., -6448.]), array([ 2236., -6320.,   179.]), array([-285.,  124.,  496.]))
(1, 3674, 3437, 3532, array([ 8256.,  -336., -6000.]), array([ 2367., -6496.,    81.]), array([-275.,  127.,  501.]))
(1, 5098, 4445, 3532, array([ 8048.,  -288., -6512.]), array([  2.42900000e+03,  -6.66800000e+03,   2.00000000e+00]), array([-275.,  127.,  501.]))
(1, 6047, 5453, 6079, array([ 8032.,  -176., -6272.]), array([ 2417., -6841.,   -15.]), array([-250.,  132.,  516.]))
(1, 7471, 7469, 6079, array([ 7904.,  -176., -6016.]), array([ 2542., -7115.,   -53.]), array([-250.,  132.,  516.]))
(1, 8420, 8477, 8624, array([ 7936.,  -208., -6128.]), array([ 2692., -7181.,   -76.]), array([-250.,  135.,  516.]))
(1, 9370, 9486, 8624, array([ 7808.,  -256., -6144.]), array([ 2749., -7230.,   -89.]), array([-250.,  135.,  516.]))
(1, 10794, 10494, 8624, array([ 7600.,  -304., -5792.]), array([ 2831., -7297.,  -117.]), array([-250.,  135.,  516.]))
(1, 11743, 11502, 11170, array([ 7584.,  -400., -5856.]), array([ 2868., -7334.,   -92.]), array([-234.,  139.,  521.]))
(1, 12693, 12510, 11170, array([ 7568.,  -592., -5600.]), array([ 2880., -7350.,  -115.]), array([-234.,  139.,  521.]))
(1, 14117, 13518, 13716, array([ 7344.,  -368., -5152.]), array([ 2795., -7375.,   -92.]), array([-219.,  145.,  524.]))
(1, 15066, 14527, 13716, array([ 7248.,  -576., -5200.]), array([ 2750., -7351.,   -40.]), array([-219.,  145.,  524.]))
(1, 16489, 15535, 16262, array([ 7488.,  -608., -4720.]), array([ 2765., -7395.,   -35.]), array([-204.,  151.,  527.]))
(1, 17438, 17551, 16262, array([ 7440.,  -464., -4672.]), array([ 2381., -7280.,   103.]), array([-204.,  151.,  527.]))
(1, 18388, 18559, 16262, array([ 7296.,  -608., -4848.]), array([ 2266., -7190.,   180.]), array([-204.,  151.,  527.]))
(1, 19811, 19568, 18809, array([ 7104.,  -576., -4544.]), array([ 2067., -7119.,   185.]), array([-188.,  151.,  536.]))
(1, 20760, 20576, 18809, array([ 6896.,  -368., -4304.]), array([ 1943., -7088.,   217.]), array([-188.,  151.,  536.]))
(1, 21710, 21584, 21356, array([ 6608.,  -240., -4128.]), array([ 1745., -7008.,   234.]), array([-178.,  157.,  540.]))
(1, 23134, 22592, 21356, array([ 6608.,  -256., -4240.]), array([ 1715., -6980.,   207.]), array([-178.,  157.,  540.]))
(1, 24084, 23600, 23902, array([ 6320.,    32., -4224.]), array([ 1657., -6907.,   169.]), array([-159.,  156.,  544.]))
(1, 25508, 24608, 23902, array([ 6160.,   160., -3968.]), array([ 1668., -6829.,   141.]), array([-159.,  156.,  544.]))
(1, 26457, 26625, 26450, array([ 6064.,    16., -3872.]), array([ 1967., -6797.,    79.]), array([-147.,  162.,  549.]))
(1, 27406, 27633, 26450, array([ 6064.,  -128., -3920.]), array([ 2122., -6782.,    42.]), array([-147.,  162.,  549.]))
(1, 28831, 28641, 26450, array([ 5984.,   -32., -3808.]), array([ 2253., -6704.,    15.]), array([-147.,  162.,  549.]))
(1, 29780, 29649, 28996, array([ 6000.,  -176., -3552.]), array([  2.39500000e+03,  -6.61500000e+03,   2.00000000e+00]), array([-132.,  166.,  550.]))
(1, 30729, 30658, 28996, array([ 5984.,  -208., -3536.]), array([ 2562., -6528.,   -46.]), array([-132.,  166.,  550.]))
(1, 32153, 31666, 31545, array([ 5664.,  -208., -3120.]), array([ 2628., -6423.,   -10.]), array([-120.,  168.,  559.]))
(1, 33102, 32674, 31545, array([ 5472.,  -384., -3056.]), array([ 2822., -6377.,   -10.]), array([-120.,  168.,  559.]))
(1, 34051, 33682, 34091, array([ 5504.,  -640., -3088.]), array([ 3011., -6262.,   -21.]), array([ -95.,  173.,  554.]))
(1, 35474, 34690, 34091, array([ 5296.,  -928., -3072.]), array([ 3080., -6110.,   -27.]), array([ -95.,  173.,  554.]))
(1, 36424, 36707, 36638, array([ 5376.,  -880., -2816.]), array([ 3155., -5749.,    17.]), array([ -95.,  183.,  554.]))
(1, 37848, 37715, 36638, array([ 5168.,  -784., -2592.]), array([ 3172., -5564.,   137.]), array([ -95.,  183.,  554.]))
(1, 38797, 38723, 36638, array([ 5056.,  -944., -2496.]), array([ 3307., -5378.,   230.]), array([ -95.,  183.,  554.]))
(1, 39746, 39731, 39184, array([ 4800.,  -864., -2320.]), array([ 3268., -5131.,   325.]), array([ -79.,  188.,  558.]))
(1, 41171, 40740, 39184, array([ 4608., -1296., -2096.]), array([ 3289., -4922.,   478.]), array([ -79.,  188.,  558.]))
(1, 42119, 41748, 41730, array([ 4592., -1392., -2112.]), array([ 3228., -4670.,   547.]), array([ -71.,  194.,  556.]))
(1, 43069, 42756, 41730, array([ 4480., -1376., -2048.]), array([ 3009., -4439.,   646.]), array([ -71.,  194.,  556.]))
(1, 44492, 43764, 44276, array([ 4208., -1728., -1728.]), array([ 2815., -4197.,   739.]), array([ -55.,  201.,  553.]))
