(1, 47137, 46496, 45967, array([ 6064.,   896., -4240.]), array([-245., -288., -277.]), array([-311., -180.,  438.]))
(1, 48086, 48512, 48512, array([ 6096.,   784., -4192.]), array([-561., -329., -324.]), array([-309., -187.,  441.]))
(1, 49510, 49521, 48512, array([ 6096.,   864., -4064.]), array([-749., -321., -345.]), array([-309., -187.,  441.]))
(1, 50459, 50529, 48512, array([ 6032.,   896., -3856.]), array([-944., -363., -415.]), array([-309., -187.,  441.]))
(1, 51884, 51537, 51056, array([ 6096.,   976., -3632.]), array([-1086.,  -391.,  -452.]), array([-308., -185.,  441.]))
(1, 52832, 52545, 51056, array([ 6032.,   976., -3536.]), array([-1282.,  -360.,  -530.]), array([-308., -185.,  441.]))
(1, 53782, 53553, 53601, array([ 5968.,   960., -3456.]), array([-1460.,  -348.,  -563.]), array([-309., -189.,  439.]))
(1, 55205, 54561, 53601, array([ 5824.,   976., -3360.]), array([-1528.,  -325.,  -618.]), array([-309., -189.,  439.]))
(1, 56155, 55570, 56147, array([ 5872.,  1104., -3344.]), array([-1650.,  -295.,  -690.]), array([-304., -193.,  436.]))
(1, 57104, 56578, 56147, array([ 5904.,  1152., -3264.]), array([-1689.,  -255.,  -752.]), array([-304., -193.,  436.]))
(1, 58528, 58594, 56147, array([ 5888.,  1168., -3264.]), array([-1546.,  -120.,  -883.]), array([-304., -193.,  436.]))
(1, 59477, 59602, 58690, array([ 5888.,  1040., -3296.]), array([-1468.,   -72.,  -935.]), array([-304., -200.,  434.]))
(1, 60901, 60610, 58690, array([ 5904.,   960., -3312.]), array([-1398.,   -15.,  -943.]), array([-304., -200.,  434.]))
(1, 61851, 61618, 61235, array([ 5840.,  1072., -3312.]), array([-1222.,    23.,  -948.]), array([-300., -200.,  431.]))
(1, 62800, 62627, 61235, array([ 5888.,  1136., -3184.]), array([-1088.,    63.,  -921.]), array([-300., -200.,  431.]))
(1, 64224, 63635, 63779, array([ 5936.,  1120., -2992.]), array([-886.,  144., -906.]), array([-301., -204.,  428.]))
(1, 65173, 64643, 63779, array([ 5984.,  1056., -2800.]), array([-690.,  204., -879.]), array([-301., -204.,  428.]))
(1, 586, 115, 786, array([ 6048.,   960., -2688.]), array([-574.,  283., -814.]), array([-301., -205.,  428.]))
(1, 2010, 1123, 786, array([ 6160.,   816., -2464.]), array([-417.,  352., -748.]), array([-301., -205.,  428.]))
