(1, 50834, 50658, 50598, array([ 8176.,  1680., -3152.]), array([ 6463.,   127.,   414.]), array([-448., -190.,  192.]))
(1, 51783, 51666, 50598, array([ 8176.,  1568., -3040.]), array([ 6628.,   104.,   437.]), array([-448., -190.,  192.]))
(1, 53207, 52674, 53143, array([ 8192.,  1456., -2864.]), array([ 6765.,    54.,   502.]), array([-446., -184.,  200.]))
(1, 54156, 53682, 53143, array([ 8192.,  1616., -2800.]), array([ 6749.,    21.,   562.]), array([-446., -184.,  200.]))
(1, 55105, 54690, 53143, array([ 8176.,  1536., -2816.]), array([ 6766.,   -36.,   610.]), array([-446., -184.,  200.]))
(1, 56529, 55699, 55688, array([ 8208.,  1296., -2800.]), array([ 6813.,  -125.,   669.]), array([-448., -181.,  205.]))
(1, 57478, 57715, 55688, array([ 8288.,  1184., -2864.]), array([ 6765.,  -252.,   786.]), array([-448., -181.,  205.]))
(1, 58901, 58723, 58233, array([ 8368.,   912., -2960.]), array([ 6667.,  -351.,   822.]), array([-444., -174.,  222.]))
(1, 59850, 59731, 58233, array([ 8448.,   768., -2992.]), array([ 6479.,  -448.,   855.]), array([-444., -174.,  222.]))
(1, 60800, 60739, 60779, array([ 8464.,   608., -3056.]), array([ 6263.,  -588.,   906.]), array([-449., -165.,  220.]))
(1, 62223, 61747, 60779, array([ 8544.,   368., -3088.]), array([ 5882.,  -733.,   922.]), array([-449., -165.,  220.]))
(1, 63172, 62756, 63325, array([ 8608.,   288., -3104.]), array([ 5421.,  -891.,   930.]), array([-446., -162.,  230.]))
(1, 64121, 63764, 63325, array([ 8656.,   288., -3184.]), array([ 4834., -1097.,   924.]), array([-446., -162.,  230.]))
(1, 9, 64772, 63325, array([ 8736.,   432., -3056.]), array([ 4245., -1311.,   901.]), array([-446., -162.,  230.]))
(1, 958, 244, 335, array([ 8752.,   496., -2944.]), array([ 3713., -1531.,   893.]), array([-448., -157.,  236.]))
(1, 1907, 2260, 335, array([ 8736.,   432., -2992.]), array([ 2789., -1976.,   871.]), array([-448., -157.,  236.]))
(1, 3331, 3268, 2880, array([ 8624.,   528., -2944.]), array([ 2406., -2191.,   855.]), array([-445., -154.,  250.]))
(1, 4279, 4277, 2880, array([ 8624.,   624., -3056.]), array([ 2086., -2372.,   805.]), array([-445., -154.,  250.]))
(1, 5703, 5285, 5426, array([ 8688.,   704., -3328.]), array([ 1819., -2552.,   760.]), array([-445., -150.,  250.]))
(1, 6652, 6293, 5426, array([ 8720.,   800., -3472.]), array([ 1616., -2726.,   745.]), array([-445., -150.,  250.]))
(1, 7602, 7301, 7971, array([ 8720.,   912., -3632.]), array([ 1466., -2880.,   713.]), array([-444., -148.,  255.]))
(1, 9024, 8309, 7971, array([ 8768.,   960., -3968.]), array([ 1314., -3058.,   651.]), array([-444., -148.,  255.]))
(1, 9974, 9317, 7971, array([ 8784.,   960., -4096.]), array([ 1246., -3245.,   599.]), array([-444., -148.,  255.]))
(1, 10922, 11334, 10516, array([ 8832.,  1040., -4032.]), array([ 1200., -3565.,   563.]), array([-442., -144.,  263.]))
(1, 12346, 12342, 10516, array([ 8944.,  1056., -4000.]), array([ 1248., -3695.,   541.]), array([-442., -144.,  263.]))
(1, 13295, 13350, 13062, array([ 8896.,   944., -3904.]), array([ 1184., -3853.,   462.]), array([-439., -149.,  269.]))
(1, 14719, 14358, 13062, array([ 8928.,   816., -3824.]), array([ 1124., -3983.,   405.]), array([-439., -149.,  269.]))
(1, 15668, 15366, 15608, array([ 8912.,   784., -3696.]), array([ 1076., -4137.,   363.]), array([-440., -144.,  277.]))
(1, 18042, 17383, 15608, array([ 8896.,   784., -3584.]), array([  826., -4405.,   296.]), array([-440., -144.,  277.]))
(1, 18990, 18391, 18153, array([ 8928.,   800., -3696.]), array([  707., -4548.,   234.]), array([-436., -141.,  285.]))
(1, 19940, 19399, 18153, array([ 8928.,   736., -3776.]), array([  605., -4682.,   191.]), array([-436., -141.,  285.]))
(1, 21364, 21415, 20698, array([ 9024.,   592., -3920.]), array([  284., -4967.,   114.]), array([-432., -144.,  289.]))
(1, 22313, 22423, 20698, array([ 9040.,   704., -3904.]), array([  125., -5153.,    82.]), array([-432., -144.,  289.]))
(1, 23737, 23432, 23244, array([ 8992.,   880., -4016.]), array([  -12., -5291.,    53.]), array([-427., -144.,  307.]))
(1, 24686, 24440, 23244, array([ 8992.,   800., -3856.]), array([ -119., -5393.,    40.]), array([-427., -144.,  307.]))
(1, 25635, 25448, 25789, array([ 8992.,   816., -3728.]), array([ -211., -5490.,    55.]), array([-421., -147.,  308.]))
(1, 27058, 26456, 25789, array([ 8944.,   784., -3552.]), array([ -378., -5610.,    53.]), array([-421., -147.,  308.]))
(1, 28007, 27464, 25789, array([ 8912.,   832., -3520.]), array([ -467., -5731.,    42.]), array([-421., -147.,  308.]))
(1, 28956, 28472, 28334, array([ 8848.,   896., -3456.]), array([ -590., -5814.,    55.]), array([-416., -146.,  317.]))
(1, 30380, 30489, 28334, array([ 8768.,  1008., -3472.]), array([ -710., -5941.,    34.]), array([-416., -146.,  317.]))
(1, 31330, 31497, 30879, array([ 8608.,  1104., -3584.]), array([ -751., -5974.,    21.]), array([-402., -146.,  334.]))
(1, 32279, 32505, 30879, array([ 8512.,  1200., -3696.]), array([ -690., -6013.,    29.]), array([-402., -146.,  334.]))
(1, 33703, 33513, 33425, array([ 8528.,  1392., -3808.]), array([ -668., -6043.,    33.]), array([-402., -149.,  334.]))
(1, 34652, 34521, 33425, array([ 8656.,  1472., -3840.]), array([ -595., -6064.,    62.]), array([-402., -149.,  334.]))
