(1, 6068, 5825, 4878, array([ 9872.,   240.,  6432.]), array([ -4642., -10997.,    873.]), array([-319.,  297., -293.]))
(1, 7493, 6833, 7423, array([ 10112.,   -240.,   6384.]), array([ -4381., -10904.,    683.]), array([-337.,  306., -293.]))
(1, 8443, 7841, 7423, array([ 10320.,   -384.,   6496.]), array([ -3977., -10773.,    468.]), array([-337.,  306., -293.]))
(1, 9867, 9857, 7423, array([ 10640.,   -432.,   6768.]), array([ -2945., -10598.,     87.]), array([-337.,  306., -293.]))
(1, 10817, 10865, 9968, array([ 10832.,   -288.,   7008.]), array([ -2401., -10514.,    -48.]), array([-350.,  310., -508.]))
(1, 11767, 11873, 9968, array([ 11056.,   -112.,   7312.]), array([ -1835., -10393.,   -222.]), array([-350.,  310., -508.]))
(1, 13191, 12881, 12513, array([ 11344.,     80.,   7536.]), array([ -1354., -10195.,   -372.]), array([-370.,  309., -252.]))
(1, 14140, 13889, 12513, array([ 11344.,    128.,   7648.]), array([  -971., -10062.,   -497.]), array([-370.,  309., -252.]))
(1, 15090, 14897, 15060, array([ 11408.,    176.,   7760.]), array([ -729., -9926.,  -686.]), array([-383.,  307., -234.]))
(1, 16514, 15905, 15060, array([ 11392.,    288.,   7760.]), array([ -543., -9776.,  -850.]), array([-383.,  307., -234.]))
(1, 17463, 16913, 17607, array([ 11344.,    368.,   7728.]), array([ -386., -9637.,  -988.]), array([-396.,  312., -219.]))
(1, 18888, 17921, 17607, array([ 11328.,    464.,   7776.]), array([ -269., -9504., -1137.]), array([-396.,  312., -219.]))
(1, 19837, 19937, 17607, array([ 11296.,    464.,   7776.]), array([ -238., -9177., -1402.]), array([-396.,  312., -219.]))
(1, 20787, 20945, 20153, array([ 11344.,    496.,   7808.]), array([ -359., -9020., -1491.]), array([-409.,  310., -203.]))
(1, 22212, 21953, 20153, array([ 11376.,    272.,   7856.]), array([ -430., -8883., -1583.]), array([-409.,  310., -203.]))
(1, 23161, 22961, 22699, array([ 11360.,     32.,   7856.]), array([ -480., -8722., -1657.]), array([-435.,  305., -172.]))
(1, 25535, 24977, 25245, array([ 11344.,   -400.,   7600.]), array([ -384., -8355., -1735.]), array([-435.,  304., -172.]))
(1, 26484, 25985, 25245, array([ 11152.,   -592.,   7488.]), array([ -190., -8155., -1725.]), array([-435.,  304., -172.]))
(1, 27433, 26993, 27790, array([ 10960.,   -944.,   7520.]), array([   73., -7966., -1749.]), array([-442.,  299., -139.]))
(1, 28858, 29009, 27790, array([ 10800.,  -1376.,   7456.]), array([  703., -7517., -1709.]), array([-442.,  299., -139.]))
(1, 29807, 30017, 27790, array([ 10736.,  -1616.,   7456.]), array([ 1195., -7313., -1637.]), array([-442.,  299., -139.]))
(1, 31231, 31026, 30335, array([ 10768.,  -1856.,   7264.]), array([ 1781., -7105., -1537.]), array([-452.,  296., -130.]))
(1, 32181, 32034, 30335, array([ 10816.,  -1936.,   7040.]), array([ 2452., -6870., -1428.]), array([-452.,  296., -130.]))
(1, 33130, 33042, 32881, array([ 10816.,  -2016.,   6880.]), array([ 3109., -6649., -1274.]), array([-461.,  290., -130.]))
(1, 35504, 35058, 35426, array([ 10432.,  -1968.,   6176.]), array([ 4688., -6181.,  -866.]), array([-467.,  285., -120.]))
(1, 36453, 36066, 35426, array([ 10176.,  -1824.,   6016.]), array([ 5484., -5943.,  -655.]), array([-467.,  285., -120.]))
(1, 37877, 37074, 37971, array([ 9920., -1392.,  5728.]), array([ 6302., -5703.,  -434.]), array([-473.,  279., -110.]))
(1, 38826, 39090, 37971, array([ 9904., -1200.,  5456.]), array([ 7647., -5356.,   -57.]), array([-473.,  279., -110.]))
(1, 40250, 40098, 37971, array([ 9600.,  -656.,  5248.]), array([ 8290., -5254.,    98.]), array([-473.,  279., -110.]))
(1, 41200, 41106, 40517, array([ 9360.,   -80.,  5296.]), array([ 8896., -5207.,   254.]), array([-476.,  272., -106.]))
(1, 42149, 42114, 40517, array([ 9072.,   624.,  5600.]), array([ 9367., -5142.,   329.]), array([-476.,  272., -106.]))
(1, 43574, 43122, 43064, array([ 8848.,  1808.,  6192.]), array([ 9447., -5111.,   443.]), array([-487.,  268., -102.]))
(1, 44523, 44130, 43064, array([ 8784.,  2368.,  6656.]), array([ 9205., -5076.,   498.]), array([-487.,  268., -102.]))
(1, 45473, 45138, 45610, array([ 8720.,  2624.,  7280.]), array([ 8623., -5073.,   563.]), array([-485.,  262.,  -99.]))
(1, 46898, 46146, 45610, array([ 8896.,  3600.,  7776.]), array([ 7787., -5016.,   583.]), array([-485.,  262.,  -99.]))
(1, 47847, 47154, 45610, array([ 8928.,  3328.,  7904.]), array([ 6709., -4914.,   581.]), array([-485.,  262.,  -99.]))
(1, 49272, 49170, 48156, array([ 8480.,  2368.,  7840.]), array([ 4324., -4676.,   637.]), array([-487.,  262.,  -94.]))
(1, 50221, 50178, 48156, array([ 8752.,  2032.,  7680.]), array([ 3506., -4464.,   570.]), array([-487.,  262.,  -94.]))
(1, 51171, 51186, 50702, array([ 8896.,   672.,  7616.]), array([ 2938., -4321.,   483.]), array([-495.,  258.,  -82.]))
(1, 52595, 52194, 50702, array([ 8672.,  1328.,  7632.]), array([ 2794., -4145.,   372.]), array([-495.,  258.,  -82.]))
(1, 53545, 53202, 53247, array([ 8624.,  1728.,  7520.]), array([ 2571., -3878.,   202.]), array([-495.,  261.,  -82.]))
(1, 54494, 54210, 53247, array([ 8448.,  1152.,  7248.]), array([ 2120., -3611.,    63.]), array([-495.,  261.,  -82.]))
(1, 55918, 55218, 55794, array([ 8320.,  -256.,  7024.]), array([ 1604., -3370.,    16.]), array([-498.,  258.,  -77.]))
