(1, 18040, 17922, 16664, array([ 7808.,  1600.,  4848.]), array([ -554.,  1974.,  -518.]), array([-476.,  220., -148.]))
(1, 19465, 18930, 19208, array([ 7808.,  1584.,  4768.]), array([ -665.,  2050.,  -537.]), array([-476.,  216., -148.]))
(1, 20414, 19938, 19208, array([ 7856.,  1632.,  4816.]), array([ -662.,  2122.,  -510.]), array([-476.,  216., -148.]))
(1, 21838, 20946, 21753, array([ 7872.,  1648.,  4944.]), array([ -680.,  2177.,  -489.]), array([-472.,  216., -147.]))
(1, 22788, 22962, 21753, array([ 7792.,  1728.,  5056.]), array([ -821.,  2383.,  -460.]), array([-472.,  216., -147.]))
(1, 23737, 23970, 21753, array([ 7808.,  1840.,  5024.]), array([ -988.,  2488.,  -448.]), array([-472.,  216., -147.]))
(1, 25161, 24978, 24298, array([ 7760.,  1920.,  5120.]), array([-1159.,  2552.,  -401.]), array([-469.,  218., -152.]))
(1, 26110, 25986, 24298, array([ 7728.,  2000.,  5264.]), array([-1399.,  2607.,  -375.]), array([-469.,  218., -152.]))
(1, 27059, 26994, 26845, array([ 7808.,  2000.,  5456.]), array([-1682.,  2648.,  -381.]), array([-467.,  217., -155.]))
(1, 28483, 28002, 26845, array([ 7920.,  2144.,  5568.]), array([-1900.,  2660.,  -327.]), array([-467.,  217., -155.]))
(1, 30857, 30018, 29389, array([ 8144.,  2304.,  5840.]), array([-2369.,  2796.,  -295.]), array([-465.,  220., -161.]))
(1, 31807, 31026, 31935, array([ 8112.,  2272.,  5856.]), array([-2589.,  2880.,  -278.]), array([-462.,  221., -164.]))
(1, 32756, 33043, 31935, array([ 8176.,  2304.,  5872.]), array([-3149.,  3109.,  -248.]), array([-462.,  221., -164.]))
(1, 34180, 34051, 31935, array([ 8224.,  2112.,  5904.]), array([-3446.,  3211.,  -236.]), array([-462.,  221., -164.]))
(1, 35129, 35059, 34480, array([ 8160.,  1920.,  5584.]), array([-3686.,  3333.,  -193.]), array([-457.,  226., -166.]))
(1, 36079, 36067, 34480, array([ 8208.,  1936.,  5504.]), array([-3967.,  3474.,  -175.]), array([-457.,  226., -166.]))
(1, 37503, 37075, 37027, array([ 8304.,  1504.,  5456.]), array([-4004.,  3539.,  -251.]), array([-458.,  230., -177.]))
(1, 38452, 38083, 37027, array([ 8288.,  1360.,  5360.]), array([-3919.,  3631.,  -266.]), array([-458.,  230., -177.]))
(1, 39402, 39091, 39573, array([ 8240.,  1408.,  5376.]), array([-3868.,  3796.,  -247.]), array([-453.,  233., -177.]))
(1, 40826, 40099, 39573, array([ 8224.,  1344.,  5440.]), array([-3729.,  3917.,  -227.]), array([-453.,  233., -177.]))
