(1, 26381, 25961, 25288, array([ 8032.,   768.,  -512.]), array([ 69.,  48., -33.]), array([-475., -139.,  192.]))
(1, 27805, 26969, 27834, array([ 8032.,   752.,  -528.]), array([ 112.,   34.,   -4.]), array([-477., -137.,  196.]))
(1, 29704, 29994, 27834, array([ 8032.,   832.,  -608.]), array([ 138.,   57.,    0.]), array([-477., -137.,  196.]))
(1, 31127, 31002, 30381, array([ 7936.,   784.,  -592.]), array([ 151.,   90.,   36.]), array([-477., -138.,  196.]))
(1, 32076, 32010, 30381, array([ 7904.,   784.,  -640.]), array([ 164.,   98.,  -13.]), array([-477., -138.,  196.]))
(1, 33500, 33018, 32928, array([ 7920.,   752.,  -720.]), array([ 162.,   91.,  -35.]), array([-480., -136.,  195.]))
(1, 34449, 34026, 32928, array([ 7920.,   768.,  -704.]), array([ 215.,  122.,  -55.]), array([-480., -136.,  195.]))
(1, 36823, 36043, 35475, array([ 7776.,   816.,  -864.]), array([ 261.,  177.,  -58.]), array([-478., -137.,  195.]))
(1, 37772, 37051, 35475, array([ 7792.,   800.,  -880.]), array([ 331.,  179.,  -80.]), array([-478., -137.,  195.]))
(1, 40145, 40075, 38021, array([ 7664.,   768., -1088.]), array([ 619.,  146.,  -80.]), array([-475., -137.,  195.]))
(1, 41094, 41083, 40567, array([ 7696.,   768., -1280.]), array([ 692.,  158.,  -76.]), array([-476., -136.,  194.]))
(1, 42518, 42092, 40567, array([ 7616.,   816., -1424.]), array([ 893.,  218., -105.]), array([-476., -136.,  194.]))
(1, 43467, 43100, 43113, array([ 7536.,   800., -1552.]), array([ 1008.,   230.,   -95.]), array([-475., -137.,  195.]))
(1, 44417, 44108, 43113, array([ 7568.,   800., -1600.]), array([ 1179.,   234.,   -66.]), array([-475., -137.,  195.]))
(1, 45841, 45116, 45660, array([ 7712.,   768., -1680.]), array([ 1411.,   238.,   -57.]), array([-476., -138.,  192.]))
(1, 46790, 46124, 45660, array([ 7808.,   656., -1728.]), array([ 1581.,   245.,   -31.]), array([-476., -138.,  192.]))
(1, 49162, 49149, 48207, array([ 8000.,   512., -1616.]), array([ 2021.,   264.,    75.]), array([-478., -135.,  195.]))
(1, 50111, 50157, 48207, array([ 8128.,   464., -1664.]), array([ 2059.,   251.,   111.]), array([-478., -135.,  195.]))
(1, 52485, 52173, 50754, array([ 8208.,   256., -1536.]), array([ 1972.,   158.,   171.]), array([-472., -133.,  198.]))
(1, 53434, 53182, 53301, array([ 8240.,   208., -1504.]), array([ 1870.,   114.,   214.]), array([-476., -131.,  197.]))
(1, 54857, 54190, 53301, array([ 8192.,   176., -1488.]), array([ 1738.,   103.,   248.]), array([-476., -131.,  197.]))
(1, 56755, 56206, 55848, array([ 8208.,   224., -1584.]), array([ 1376.,   -19.,   312.]), array([-475., -132.,  199.]))
(1, 60076, 60239, 58395, array([ 8224.,   432., -1664.]), array([ 667., -330.,  374.]), array([-475., -132.,  199.]))
(1, 61500, 61247, 60943, array([ 8256.,   512., -1648.]), array([ 487., -434.,  383.]), array([-476., -127.,  203.]))
(1, 62448, 62255, 60943, array([ 8224.,   560., -1664.]), array([ 373., -525.,  391.]), array([-476., -127.,  203.]))
(1, 64821, 64271, 63489, array([ 8208.,   720., -1680.]), array([ 226., -674.,  363.]), array([-484., -128.,  203.]))
(1, 234, 65280, 500, array([ 8224.,   720., -1632.]), array([ 189., -773.,  331.]), array([-474., -126.,  206.]))
(1, 1657, 752, 500, array([ 8208.,   784., -1680.]), array([ 120., -853.,  323.]), array([-474., -126.,  206.]))
(1, 3556, 3776, 3046, array([ 8176.,   816., -1664.]), array([   76., -1035.,   249.]), array([-473., -123.,  206.]))
(1, 4979, 4785, 3046, array([ 8176.,   800., -1584.]), array([   38., -1089.,   232.]), array([-473., -123.,  206.]))
(1, 8300, 7809, 8140, array([ 8128.,   768., -1408.]), array([  -23., -1230.,   212.]), array([-473., -127.,  211.]))
(1, 9249, 8817, 8140, array([ 8112.,   752., -1376.]), array([  -23., -1274.,   196.]), array([-473., -127.,  211.]))
(1, 10673, 9825, 8140, array([ 8080.,   736., -1312.]), array([  -45., -1317.,   192.]), array([-473., -127.,  211.]))
(1, 11622, 11842, 10686, array([ 8048.,   704., -1280.]), array([ -105., -1386.,   218.]), array([-475., -126.,  217.]))
(1, 12571, 12850, 10686, array([ 8032.,   704., -1248.]), array([ -185., -1406.,   213.]), array([-475., -126.,  217.]))
(1, 13994, 13858, 13232, array([ 8080.,   704., -1248.]), array([ -236., -1427.,   193.]), array([-475., -125.,  217.]))
(1, 14943, 14866, 13232, array([ 8080.,   688., -1120.]), array([ -281., -1472.,   194.]), array([-475., -125.,  217.]))
(1, 15892, 15874, 15778, array([ 8016.,   688., -1104.]), array([ -324., -1492.,   175.]), array([-476., -125.,  219.]))
(1, 17316, 16883, 15778, array([ 7984.,   672.,  -928.]), array([ -398., -1529.,   160.]), array([-476., -125.,  219.]))
(1, 18265, 17891, 18325, array([ 7952.,   624.,  -784.]), array([ -525., -1581.,   118.]), array([-473., -127.,  224.]))
(1, 21586, 21924, 20870, array([ 7904.,   640.,  -704.]), array([-1002., -1624.,    72.]), array([-472., -125.,  224.]))
(1, 24908, 24948, 23417, array([ 7888.,   752.,  -656.]), array([-1207., -1641.,    54.]), array([-471., -128.,  227.]))
(1, 27281, 26964, 25963, array([ 7760.,   768.,  -512.]), array([-1244., -1607.,    50.]), array([-472., -125.,  229.]))
(1, 28704, 27973, 28510, array([ 7744.,   768.,  -528.]), array([-1281., -1571.,    54.]), array([-472., -127.,  229.]))
(1, 29653, 28981, 28510, array([ 7744.,   768.,  -528.]), array([-1258., -1550.,    80.]), array([-472., -127.,  229.]))
(1, 30602, 29989, 28510, array([ 7664.,   768.,  -560.]), array([-1247., -1486.,    69.]), array([-472., -127.,  229.]))
(1, 32975, 33013, 31057, array([ 7728.,   864.,  -688.]), array([-1113., -1302.,    96.]), array([-467., -129.,  231.]))
(1, 35347, 35030, 33605, array([ 7712.,   928.,  -688.]), array([ -920., -1158.,    99.]), array([-470., -127.,  235.]))
(1, 36297, 36038, 36151, array([ 7680.,   912.,  -624.]), array([ -783., -1110.,   112.]), array([-468., -127.,  234.]))
(1, 37721, 37046, 36151, array([ 7680.,   880.,  -560.]), array([ -617., -1042.,   139.]), array([-468., -127.,  234.]))
(1, 38670, 38054, 38698, array([ 7712.,   928.,  -496.]), array([-531., -987.,  115.]), array([-468., -128.,  233.]))
(1, 42942, 43095, 41244, array([ 7744.,   720.,  -608.]), array([-136., -678.,  105.]), array([-468., -127.,  233.]))
(1, 50061, 49144, 48884, array([ 7824.,   464.,  -736.]), array([ 144., -458.,   50.]), array([-467., -124.,  240.]))
(1, 51011, 51161, 48884, array([ 7808.,   400.,  -784.]), array([ 213., -399.,   84.]), array([-467., -124.,  240.]))
(1, 51960, 52169, 51432, array([ 7792.,   400.,  -848.]), array([ 227., -399.,  123.]), array([-467., -125.,  242.]))
