(1, 59961, 59721, 57976, array([ 7968.,  1664., -1536.]), array([  169.,  1908.,   602.]), array([-445., -175.,  202.]))
(1, 60911, 60730, 60522, array([ 7952.,  1616., -1536.]), array([  266.,  1899.,   625.]), array([-447., -179.,  200.]))
(1, 61860, 61738, 60522, array([ 8016.,  1552., -1488.]), array([  333.,  1876.,   641.]), array([-447., -179.,  200.]))
(1, 64235, 63754, 63069, array([ 8080.,  1296., -1312.]), array([  384.,  1909.,   670.]), array([-452., -177.,  199.]))
(1, 65183, 64762, 78, array([ 8032.,  1328., -1408.]), array([  309.,  1932.,   696.]), array([-450., -178.,  194.]))
(1, 1072, 235, 78, array([ 8048.,  1456., -1360.]), array([  209.,  1914.,   739.]), array([-450., -178.,  194.]))
(1, 2022, 2251, 78, array([ 7984.,  1600., -1296.]), array([  111.,  1893.,   719.]), array([-450., -178.,  194.]))
(1, 3445, 3259, 2624, array([ 7920.,  1696., -1264.]), array([  189.,  1865.,   724.]), array([-449., -176.,  192.]))
(1, 5344, 5275, 5172, array([ 7936.,  1632., -1216.]), array([  287.,  1917.,   787.]), array([-453., -173.,  187.]))
(1, 6769, 6284, 5172, array([ 7968.,  1648., -1104.]), array([  266.,  1923.,   812.]), array([-453., -173.,  187.]))
(1, 8668, 8300, 7720, array([ 8048.,  1760., -1056.]), array([  265.,  1922.,   848.]), array([-456., -171.,  182.]))
(1, 14366, 14349, 12814, array([ 7952.,  1648., -1040.]), array([  372.,  1826.,   831.]), array([-459., -167.,  177.]))
(1, 19113, 18382, 17909, array([ 7840.,  1648.,  -928.]), array([  250.,  1690.,   692.]), array([-459., -164.,  171.]))
(1, 21011, 21406, 20456, array([ 7856.,  1712.,  -976.]), array([  -22.,  1572.,   514.]), array([-462., -163.,  172.]))
(1, 22435, 22414, 20456, array([ 7904.,  1792., -1040.]), array([ -101.,  1518.,   454.]), array([-462., -163.,  172.]))
