name,timestamp,accelX0,accelX1,accelY0,accelY1,accelZ0,accelZ1,breathing,activity,breathingRate
RESpeckPlum,20131129135438.187,239,0,24,208,58,44,-3.180648,0.291091,nan
RESpeckPlum,20131129135438.276,240,100,24,220,59,20,-6.354163,0.291091,nan
RESpeckPlum,20131129135438.336,238,204,23,224,58,36,-9.587051,0.291091,nan
RESpeckPlum,20131129135438.426,240,8,24,12,57,132,-12.790805,0.291091,nan
RESpeckPlum,20131129135438.486,238,136,23,140,57,228,-16.054588,0.291091,nan
RESpeckPlum,20131129135438.576,242,16,23,96,58,248,-18.977480,0.291091,nan
RESpeckPlum,20131129135438.636,238,160,25,20,58,148,-22.394867,0.291091,nan
RESpeckPlum,20131129135438.726,239,96,23,132,57,208,-25.624868,0.291091,nan
RESpeckPlum,20131129135438.787,238,156,24,84,57,120,-29.025143,0.291091,nan
RESpeckPlum,20131129135438.876,238,252,22,216,59,48,-32.073174,0.291091,nan
RESpeckPlum,20131129135438.936,243,180,24,28,58,140,-35.007572,0.291091,nan
RESpeckPlum,20131129135439.026,235,20,25,196,57,56,-38.805649,0.291091,nan
RESpeckPlum,20131129135439.087,242,104,23,180,58,224,-35.178471,0.291091,nan
RESpeckPlum,20131129135439.176,244,144,24,196,58,216,-31.671923,0.291091,nan
RESpeckPlum,20131129135439.326,246,100,23,56,59,48,-27.678869,0.291091,nan
RESpeckPlum,20131129135439.416,245,44,24,148,61,100,-23.866053,0.291091,nan
RESpeckPlum,20131129135439.476,245,16,25,20,56,132,-20.301611,0.291091,nan
RESpeckPlum,20131129135439.567,241,156,22,228,57,228,-17.426582,0.291091,nan
RESpeckPlum,20131129135439.626,253,232,23,128,60,160,-12.579985,0.291091,nan
RESpeckPlum,20131129135439.716,241,0,26,48,59,68,-9.417338,0.291091,nan
RESpeckPlum,20131129135439.776,249,60,24,240,60,156,-5.174503,0.291091,nan
RESpeckPlum,20131129135439.867,248,212,24,100,59,24,-1.623447,0.291091,nan
RESpeckPlum,20131129135439.926,245,172,23,240,60,64,1.518408,0.291091,nan
RESpeckPlum,20131129135440.016,251,76,23,220,60,132,6.896835,0.291091,nan
RESpeckPlum,20131129135440.076,248,148,24,92,60,144,6.919586,0.291091,nan
RESpeckPlum,20131129135440.166,249,252,24,36,60,12,7.094271,0.291091,nan
RESpeckPlum,20131129135440.226,249,96,24,52,59,80,6.452141,0.291091,nan
RESpeckPlum,20131129135440.316,249,48,24,116,60,208,6.111842,0.291091,nan
RESpeckPlum,20131129135440.466,246,212,24,160,59,212,6.169579,0.291091,nan
RESpeckPlum,20131129135440.556,251,100,24,100,60,76,6.834007,0.291091,nan
RESpeckPlum,20131129135440.616,251,24,23,128,59,28,5.134735,0.291091,nan
RESpeckPlum,20131129135440.706,245,240,22,112,60,4,5.983696,0.291091,nan
RESpeckPlum,20131129135440.767,253,48,20,36,59,108,nan,2.383838,nan
RESpeckPlum,20131129135440.856,251,104,23,56,58,224,nan,2.383838,nan
RESpeckPlum,20131129135440.916,247,128,22,168,59,164,nan,2.383838,nan
RESpeckPlum,20131129135441.006,254,160,20,96,60,212,nan,2.383838,nan
RESpeckPlum,20131129135441.066,250,208,20,240,60,176,nan,2.383838,nan
RESpeckPlum,20131129135441.156,246,92,24,0,61,80,nan,2.383838,nan
RESpeckPlum,20131129135441.216,251,236,24,188,59,220,nan,2.383838,nan
RESpeckPlum,20131129135441.306,255,236,19,84,55,176,nan,2.383838,nan
RESpeckPlum,20131129135441.367,5,96,26,252,61,152,nan,2.383838,nan
RESpeckPlum,20131129135441.456,247,228,27,28,65,36,nan,2.383838,nan
RESpeckPlum,20131129135441.606,0,52,15,204,64,168,nan,2.383838,nan
RESpeckPlum,20131129135441.696,252,248,14,180,63,220,nan,2.383838,nan
RESpeckPlum,20131129135441.756,251,236,14,188,64,20,nan,2.383838,nan
RESpeckPlum,20131129135441.846,253,236,13,120,63,32,nan,2.383838,nan
RESpeckPlum,20131129135441.907,255,28,15,120,63,64,nan,2.383838,nan
RESpeckPlum,20131129135441.996,252,252,14,168,62,228,nan,2.383838,nan
RESpeckPlum,20131129135442.056,252,204,15,16,63,100,nan,2.383838,nan
RESpeckPlum,20131129135442.147,253,128,16,0,62,188,nan,2.383838,nan
RESpeckPlum,20131129135442.206,252,212,15,48,62,244,nan,2.383838,nan
RESpeckPlum,20131129135442.296,252,132,16,64,63,12,nan,2.383838,nan
RESpeckPlum,20131129135442.356,253,28,15,100,63,48,nan,2.383838,nan
RESpeckPlum,20131129135442.447,252,228,16,104,62,220,nan,2.383838,nan
RESpeckPlum,20131129135442.507,252,136,17,52,64,8,nan,2.383838,nan
