(1, 35524, 35514, 33758, array([ 4112.,   928., -4640.]), array([ -265.,  1399.,   491.]), array([-197., -246.,  475.]))
(1, 36472, 36522, 36305, array([ 4176.,  1088., -4592.]), array([ -337.,  1434.,   545.]), array([-201., -242.,  471.]))
(1, 37422, 37530, 36305, array([ 4128.,  1168., -4608.]), array([ -421.,  1492.,   595.]), array([-201., -242.,  471.]))
(1, 38846, 38538, 38852, array([ 4240.,  1264., -4640.]), array([ -410.,  1536.,   614.]), array([-207., -245.,  468.]))
(1, 39795, 39546, 38852, array([ 4256.,  1408., -4624.]), array([ -385.,  1631.,   617.]), array([-207., -245.,  468.]))
(1, 40744, 40555, 38852, array([ 4272.,  1440., -4640.]), array([ -328.,  1728.,   625.]), array([-207., -245.,  468.]))
(1, 42167, 41563, 41400, array([ 4256.,  1472., -4640.]), array([ -225.,  1789.,   626.]), array([-207., -242.,  468.]))
(1, 43116, 42571, 41400, array([ 4272.,  1424., -4752.]), array([  -80.,  1848.,   599.]), array([-207., -242.,  468.]))
(1, 44539, 43579, 43947, array([ 4352.,  1296., -4752.]), array([   84.,  1921.,   549.]), array([-219., -242.,  466.]))
(1, 45489, 45595, 43947, array([ 4400.,  1200., -4656.]), array([  280.,  2032.,   535.]), array([-219., -242.,  466.]))
(1, 46438, 46603, 46494, array([ 4432.,  1136., -4640.]), array([  349.,  2073.,   516.]), array([-216., -237.,  463.]))
(1, 47862, 47612, 46494, array([ 4448.,  1104., -4544.]), array([  322.,  2128.,   490.]), array([-216., -237.,  463.]))
(1, 48811, 48620, 49040, array([ 4496.,   992., -4512.]), array([  271.,  2161.,   491.]), array([-219., -237.,  463.]))
(1, 49760, 49628, 49040, array([ 4576.,   944., -4544.]), array([  251.,  2238.,   504.]), array([-219., -237.,  463.]))
(1, 51184, 50636, 49040, array([ 4688.,   928., -4544.]), array([  144.,  2326.,   533.]), array([-219., -237.,  463.]))
(1, 52133, 51644, 51586, array([ 4640.,   960., -4592.]), array([   87.,  2396.,   543.]), array([-224., -234.,  460.]))
(1, 53082, 52652, 51586, array([ 4736.,  1024., -4720.]), array([   11.,  2473.,   575.]), array([-224., -234.,  460.]))
(1, 54506, 54669, 54132, array([ 4880.,  1104., -4816.]), array([  -58.,  2646.,   698.]), array([-227., -234.,  457.]))
(1, 55455, 55677, 54132, array([ 5040.,  1168., -4880.]), array([ -117.,  2763.,   757.]), array([-227., -234.,  457.]))
(1, 56879, 56685, 56679, array([ 5200.,  1232., -4912.]), array([  -47.,  2848.,   844.]), array([-235., -233.,  455.]))
(1, 57828, 57693, 56679, array([ 5200.,  1264., -4928.]), array([  -49.,  2889.,   915.]), array([-235., -233.,  455.]))
(1, 58777, 58701, 56679, array([ 5120.,  1280., -4960.]), array([    4.,  2902.,   971.]), array([-235., -233.,  455.]))
(1, 60201, 59709, 59226, array([ 5136.,  1184., -5008.]), array([   45.,  2904.,   999.]), array([-245., -229.,  448.]))
(1, 61151, 60717, 59226, array([ 5136.,  1120., -5008.]), array([   76.,  2921.,  1056.]), array([-245., -229.,  448.]))
(1, 62100, 61726, 61773, array([ 4992.,  1072., -4992.]), array([  103.,  2939.,  1091.]), array([-247., -229.,  450.]))
(1, 63524, 62734, 61773, array([ 4864.,  1136., -4912.]), array([   77.,  2943.,  1132.]), array([-247., -229.,  450.]))
(1, 64472, 64750, 64319, array([ 4800.,  1120., -4912.]), array([  -19.,  2993.,  1174.]), array([-256., -224.,  451.]))
(1, 360, 222, 64319, array([ 4784.,  1184., -5072.]), array([ -108.,  2983.,  1206.]), array([-256., -224.,  451.]))
(1, 5579, 5263, 3875, array([ 5632.,  1408., -5168.]), array([ -259.,  3268.,  1187.]), array([-268., -224.,  436.]))
(1, 7003, 6271, 6422, array([ 5792.,  1344., -5120.]), array([ -176.,  3274.,  1185.]), array([-276., -222.,  435.]))
(1, 7952, 7279, 6422, array([ 5856.,  1248., -4992.]), array([ -167.,  3248.,  1195.]), array([-276., -222.,  435.]))
(1, 9375, 9295, 8968, array([ 6032.,  1168., -4800.]), array([ -179.,  3221.,  1249.]), array([-284., -218.,  430.]))
(1, 10324, 10304, 8968, array([ 6048.,  1072., -4736.]), array([ -291.,  3216.,  1276.]), array([-284., -218.,  430.]))
(1, 11273, 11312, 11514, array([ 6064.,  1056., -4576.]), array([ -320.,  3170.,  1296.]), array([-285., -213.,  424.]))
(1, 12697, 12320, 11514, array([ 5856.,  1120., -4304.]), array([ -426.,  3153.,  1338.]), array([-285., -213.,  424.]))
(1, 13646, 13328, 11514, array([ 5696.,  1248., -4208.]), array([ -571.,  3135.,  1390.]), array([-285., -213.,  424.]))
(1, 14595, 14336, 14060, array([ 5504.,  1520., -4208.]), array([ -578.,  3133.,  1405.]), array([-293., -211.,  421.]))
(1, 16018, 15344, 14060, array([ 5392.,  1696., -4368.]), array([ -496.,  3178.,  1387.]), array([-293., -211.,  421.]))
(1, 16968, 16352, 16605, array([ 5504.,  1920., -4528.]), array([ -322.,  3264.,  1355.]), array([-299., -212.,  418.]))
(1, 17916, 18369, 16605, array([ 5632.,  1968., -4784.]), array([  255.,  3487.,  1231.]), array([-299., -212.,  418.]))
(1, 19340, 19377, 19153, array([ 5840.,  1952., -5120.]), array([  653.,  3599.,  1124.]), array([-306., -208.,  410.]))
(1, 20289, 20385, 19153, array([ 5936.,  1968., -5264.]), array([ 1048.,  3669.,   981.]), array([-306., -208.,  410.]))
(1, 21713, 21393, 21699, array([ 6096.,  1840., -5248.]), array([ 1521.,  3708.,   854.]), array([-314., -203.,  404.]))
(1, 22663, 22401, 21699, array([ 6160.,  1760., -5168.]), array([ 1841.,  3785.,   755.]), array([-314., -203.,  404.]))
(1, 23612, 23409, 21699, array([ 6320.,  1504., -5056.]), array([ 2149.,  3841.,   678.]), array([-314., -203.,  404.]))
(1, 25035, 24418, 24245, array([ 6448.,  1184., -4992.]), array([ 2432.,  3861.,   654.]), array([-318., -196.,  405.]))
(1, 25984, 25426, 24245, array([ 6560.,  1008., -4880.]), array([ 2608.,  3889.,   643.]), array([-318., -196.,  405.]))
(1, 26934, 26434, 26792, array([ 6608.,   736., -4768.]), array([ 2717.,  3891.,   656.]), array([-328., -194.,  402.]))
(1, 28357, 28450, 26792, array([ 6720.,   464., -4672.]), array([ 2521.,  3922.,   764.]), array([-328., -194.,  402.]))
(1, 29307, 29458, 29340, array([ 6832.,   240., -4624.]), array([ 2311.,  3922.,   865.]), array([-331., -188.,  395.]))
(1, 31680, 31475, 31886, array([ 7024.,   -32., -4320.]), array([ 1556.,  3806.,  1069.]), array([-331., -183.,  395.]))
(1, 32630, 32483, 31886, array([ 6864.,    48., -4144.]), array([ 1006.,  3783.,  1164.]), array([-331., -183.,  395.]))
(1, 34053, 33491, 31886, array([ 6464.,   320., -4144.]), array([  529.,  3736.,  1304.]), array([-331., -183.,  395.]))
(1, 35002, 34499, 34434, array([ 6176.,   624., -4160.]), array([  140.,  3724.,  1403.]), array([-342., -183.,  390.]))
(1, 35952, 35507, 34434, array([ 6144.,   816., -4272.]), array([ -137.,  3716.,  1459.]), array([-342., -183.,  390.]))
(1, 37375, 36515, 36982, array([ 6320.,  1152., -4480.]), array([ -293.,  3788.,  1503.]), array([-349., -180.,  389.]))
(1, 38325, 38532, 36982, array([ 6608.,  1376., -4576.]), array([ -334.,  4062.,  1487.]), array([-349., -180.,  389.]))
(1, 39748, 39540, 39529, array([ 6912.,  1600., -4688.]), array([ -216.,  4185.,  1436.]), array([-358., -180.,  380.]))
(1, 40697, 40548, 39529, array([ 7040.,  1744., -4864.]), array([   23.,  4226.,  1384.]), array([-358., -180.,  380.]))
(1, 41646, 41556, 39529, array([ 7072.,  1728., -4960.]), array([  337.,  4246.,  1348.]), array([-358., -180.,  380.]))
(1, 43070, 42564, 42076, array([ 7056.,  1376., -5024.]), array([  645.,  4252.,  1266.]), array([-361., -175.,  367.]))
(1, 44018, 43572, 42076, array([ 7088.,  1200., -4944.]), array([  974.,  4230.,  1172.]), array([-361., -175.,  367.]))
(1, 44967, 44580, 44623, array([ 7200.,  1088., -4832.]), array([ 1206.,  4160.,  1094.]), array([-367., -170.,  367.]))
(1, 46391, 45589, 44623, array([ 7312.,   752., -4464.]), array([ 1304.,  4132.,  1074.]), array([-367., -170.,  367.]))
(1, 47340, 47605, 47170, array([ 7328.,   560., -4240.]), array([ 1167.,  3994.,  1051.]), array([-373., -168.,  365.]))
(1, 48764, 48613, 47170, array([ 7184.,   448., -3952.]), array([ 1014.,  3944.,  1080.]), array([-373., -168.,  365.]))
(1, 49713, 49621, 49717, array([ 6992.,   432., -3888.]), array([  771.,  3882.,  1189.]), array([-386., -162.,  356.]))
(1, 52087, 51637, 49717, array([ 7024.,   576., -4112.]), array([  265.,  3848.,  1324.]), array([-386., -162.,  356.]))
(1, 53036, 52646, 52265, array([ 7296.,   576., -4192.]), array([  -25.,  3900.,  1361.]), array([-386., -161.,  356.]))
(1, 53985, 53654, 52265, array([ 7552.,   704., -4304.]), array([ -257.,  3942.,  1390.]), array([-386., -161.,  356.]))
(1, 55409, 54662, 54811, array([ 7728.,   848., -4400.]), array([ -453.,  3964.,  1414.]), array([-392., -159.,  353.]))
(1, 56358, 55670, 54811, array([ 7712.,  1008., -4352.]), array([ -632.,  3961.,  1428.]), array([-392., -159.,  353.]))
(1, 57307, 57686, 57358, array([ 7680.,  1008., -4416.]), array([ -740.,  3884.,  1392.]), array([-400., -158.,  336.]))
(1, 58731, 58694, 57358, array([ 7648.,   928., -4224.]), array([ -788.,  3871.,  1415.]), array([-400., -158.,  336.]))
(1, 59680, 59703, 59905, array([ 7568.,  1040., -4144.]), array([ -817.,  3827.,  1421.]), array([-400., -156.,  336.]))
(1, 61104, 60711, 59905, array([ 7344.,  1200., -4192.]), array([ -772.,  3803.,  1409.]), array([-400., -156.,  336.]))
(1, 62053, 61719, 59905, array([ 7248.,  1296., -4224.]), array([ -695.,  3776.,  1421.]), array([-400., -156.,  336.]))
(1, 63002, 62727, 62453, array([ 7248.,  1328., -4304.]), array([ -577.,  3736.,  1416.]), array([-407., -152.,  329.]))
(1, 64425, 63735, 62453, array([ 7504.,  1376., -4448.]), array([ -422.,  3769.,  1376.]), array([-407., -152.,  329.]))
(1, 65374, 64743, 65000, array([ 7648.,  1440., -4480.]), array([ -234.,  3810.,  1321.]), array([-410., -151.,  324.]))
(1, 788, 1224, 65000, array([ 7680.,  1440., -4464.]), array([  124.,  3783.,  1230.]), array([-410., -151.,  324.]))
(1, 2211, 2232, 2010, array([ 7760.,  1312., -4416.]), array([  242.,  3720.,  1156.]), array([-414., -148.,  313.]))
(1, 3160, 3240, 2010, array([ 7776.,  1168., -4352.]), array([  344.,  3641.,  1057.]), array([-414., -148.,  313.]))
(1, 5533, 5256, 4557, array([ 7952.,   784., -4304.]), array([  361.,  3555.,   943.]), array([-422., -144.,  307.]))
(1, 6481, 6264, 4557, array([ 7984.,   560., -4272.]), array([  296.,  3509.,   886.]), array([-422., -144.,  307.]))
(1, 7904, 7272, 7103, array([ 8144.,   416., -4112.]), array([   89.,  3453.,   841.]), array([-427., -143.,  303.]))
(1, 8853, 8281, 7103, array([ 8160.,   336., -3984.]), array([ -110.,  3392.,   838.]), array([-427., -143.,  303.]))
(1, 9802, 9289, 9651, array([ 8160.,   256., -3920.]), array([ -418.,  3308.,   881.]), array([-431., -139.,  300.]))
(1, 11226, 11305, 9651, array([ 8032.,   224., -3712.]), array([-1119.,  3085.,   995.]), array([-431., -139.,  300.]))
(1, 12174, 12313, 12198, array([ 7936.,   336., -3728.]), array([-1466.,  2964.,  1025.]), array([-439., -139.,  287.]))
(1, 14545, 14330, 12198, array([ 7600.,   640., -3584.]), array([-1927.,  2799.,  1111.]), array([-439., -139.,  287.]))
(1, 15494, 15338, 14745, array([ 7600.,   784., -3600.]), array([-2078.,  2736.,  1165.]), array([-439., -138.,  287.]))
(1, 16917, 16346, 14745, array([ 7552.,  1088., -3680.]), array([-2087.,  2723.,  1194.]), array([-439., -138.,  287.]))
(1, 17866, 17354, 17292, array([ 7456.,  1232., -3792.]), array([-2013.,  2703.,  1212.]), array([-439., -137.,  283.]))
(1, 18815, 18362, 17292, array([ 7408.,  1440., -3856.]), array([-1795.,  2682.,  1224.]), array([-439., -137.,  283.]))
(1, 20238, 19370, 19839, array([ 7520.,  1520., -3888.]), array([-1448.,  2696.,  1217.]), array([-445., -139.,  276.]))
(1, 22136, 22395, 22385, array([ 7728.,  1280., -3936.]), array([ -207.,  2672.,  1145.]), array([-451., -132.,  266.]))
(1, 23560, 23403, 22385, array([ 7744.,  1040., -3888.]), array([  206.,  2665.,  1108.]), array([-451., -132.,  266.]))
(1, 24509, 24411, 22385, array([ 7616.,   944., -3808.]), array([  515.,  2618.,  1109.]), array([-451., -132.,  266.]))
(1, 25932, 25419, 24932, array([ 7376.,   784., -3616.]), array([  764.,  2545.,  1087.]), array([-453., -130.,  258.]))
(1, 26881, 26427, 24932, array([ 7232.,   672., -3632.]), array([ 1010.,  2476.,  1070.]), array([-453., -130.,  258.]))
(1, 27831, 27435, 27479, array([ 7104.,   592., -3536.]), array([ 1175.,  2431.,  1072.]), array([-458., -131.,  254.]))
(1, 29254, 28444, 27479, array([ 7104.,   448., -3536.]), array([ 1291.,  2421.,  1080.]), array([-458., -131.,  254.]))
(1, 30204, 30460, 30026, array([ 7120.,   368., -3552.]), array([ 1291.,  2438.,  1053.]), array([-460., -126.,  250.]))
(1, 31152, 31468, 30026, array([ 7360.,   288., -3536.]), array([ 1280.,  2471.,  1027.]), array([-460., -126.,  250.]))
(1, 32576, 32476, 32572, array([ 7584.,   224., -3600.]), array([ 1135.,  2488.,  1011.]), array([-464., -126.,  244.]))
(1, 33525, 33484, 32572, array([ 7712.,   208., -3584.]), array([ 1038.,  2478.,   956.]), array([-464., -126.,  244.]))
(1, 34949, 34492, 32572, array([ 7728.,   224., -3600.]), array([  925.,  2457.,   934.]), array([-464., -126.,  244.]))
(1, 35898, 35501, 35119, array([ 7760.,   272., -3616.]), array([  719.,  2407.,   909.]), array([-469., -124.,  240.]))
(1, 36847, 36509, 35119, array([ 7824.,   320., -3584.]), array([  645.,  2351.,   846.]), array([-469., -124.,  240.]))
(1, 38271, 37517, 37667, array([ 7952.,   336., -3648.]), array([  543.,  2296.,   815.]), array([-472., -122.,  240.]))
(1, 39220, 38525, 37667, array([ 8016.,   304., -3680.]), array([  422.,  2288.,   803.]), array([-472., -122.,  240.]))
(1, 40169, 40541, 40214, array([ 8128.,   208., -3632.]), array([  191.,  2127.,   780.]), array([-476., -121.,  225.]))
(1, 41593, 41549, 40214, array([ 8192.,   224., -3552.]), array([   18.,  2040.,   770.]), array([-476., -121.,  225.]))
(1, 42542, 42558, 42761, array([ 8176.,   336., -3488.]), array([ -153.,  1899.,   833.]), array([-476., -119.,  225.]))
(1, 43965, 43566, 42761, array([ 8144.,   304., -3408.]), array([ -327.,  1779.,   843.]), array([-476., -119.,  225.]))
(1, 44915, 44574, 42761, array([ 8096.,   320., -3280.]), array([ -470.,  1679.,   867.]), array([-476., -119.,  225.]))
(1, 45863, 45582, 45307, array([ 8096.,   224., -3152.]), array([ -675.,  1574.,   884.]), array([-480., -120.,  220.]))
(1, 47287, 46590, 45307, array([ 8080.,   224., -3040.]), array([ -793.,  1487.,   920.]), array([-480., -120.,  220.]))
(1, 48237, 47598, 47854, array([ 7904.,   224., -2944.]), array([ -991.,  1398.,   943.]), array([-484., -122.,  216.]))
(1, 49186, 48606, 47854, array([ 7840.,   224., -2880.]), array([-1155.,  1276.,   960.]), array([-484., -122.,  216.]))
(1, 50609, 50623, 50401, array([ 7824.,   256., -2800.]), array([-1584.,  1088.,   953.]), array([-484., -125.,  215.]))
(1, 52508, 52639, 52948, array([ 7840.,   304., -2752.]), array([-1935.,   987.,   930.]), array([-486., -125.,  209.]))
(1, 53931, 53647, 52948, array([ 7808.,   400., -2784.]), array([-2111.,   929.,   895.]), array([-486., -125.,  209.]))
(1, 54881, 54655, 52948, array([ 7792.,   432., -2752.]), array([-2241.,   909.,   865.]), array([-486., -125.,  209.]))
(1, 56304, 55664, 55495, array([ 7744.,   544., -2752.]), array([-2367.,   887.,   815.]), array([-488., -124.,  206.]))
