(1, 23321, 23222, 21786, array([ 6816.,   576., -3216.]), array([ -400.,  1455.,   441.]), array([-399., -166.,  334.]))
(1, 24270, 24230, 24334, array([ 6768.,   656., -3280.]), array([ -423.,  1481.,   489.]), array([-401., -169.,  327.]))
(1, 25219, 25238, 24334, array([ 6816.,   752., -3328.]), array([ -418.,  1518.,   496.]), array([-401., -169.,  327.]))
(1, 26642, 26246, 24334, array([ 6896.,   928., -3328.]), array([ -424.,  1564.,   522.]), array([-401., -169.,  327.]))
(1, 28541, 28262, 26881, array([ 6928.,  1024., -3392.]), array([ -312.,  1616.,   536.]), array([-407., -173.,  327.]))
(1, 29965, 29271, 29430, array([ 6864.,  1024., -3408.]), array([ -184.,  1643.,   523.]), array([-403., -167.,  327.]))
(1, 30915, 30279, 29430, array([ 6912.,  1040., -3392.]), array([  -33.,  1670.,   548.]), array([-403., -167.,  327.]))
(1, 32338, 32295, 31979, array([ 6960.,  1088., -3376.]), array([  268.,  1726.,   558.]), array([-411., -167.,  325.]))
(1, 33288, 33303, 31979, array([ 7024.,  1024., -3360.]), array([  355.,  1756.,   559.]), array([-411., -167.,  325.]))
(1, 34237, 34311, 34527, array([ 6992.,   912., -3296.]), array([  423.,  1771.,   551.]), array([-407., -167.,  320.]))
(1, 35661, 35319, 34527, array([ 6976.,   896., -3328.]), array([  504.,  1772.,   561.]), array([-407., -167.,  320.]))
(1, 36610, 36328, 34527, array([ 6960.,   880., -3376.]), array([  510.,  1803.,   571.]), array([-407., -167.,  320.]))
(1, 37559, 37336, 37073, array([ 6896.,   848., -3376.]), array([  549.,  1819.,   569.]), array([-409., -162.,  318.]))
(1, 38983, 38344, 37073, array([ 6928.,   816., -3392.]), array([  510.,  1843.,   560.]), array([-409., -162.,  318.]))
(1, 39932, 39352, 39621, array([ 6880.,   832., -3440.]), array([  485.,  1870.,   542.]), array([-414., -163.,  316.]))
(1, 41356, 41368, 39621, array([ 7008.,   768., -3456.]), array([  443.,  1914.,   531.]), array([-414., -163.,  316.]))
(1, 42305, 42377, 42168, array([ 7024.,   768., -3424.]), array([  484.,  1938.,   532.]), array([-414., -163.,  312.]))
