(1, 11755, 11885, 10629, array([ 7504., -1376., -2160.]), array([ 203.,   26.,   43.]), array([-480.,   56.,  303.]))
(1, 12704, 12893, 10629, array([ 7520., -1344., -2144.]), array([ 339.,   12.,   56.]), array([-480.,   56.,  303.]))
(1, 14127, 13901, 13175, array([ 7488., -1472., -2176.]), array([ 368.,   10.,    1.]), array([-481.,   56.,  304.]))
(1, 15076, 14909, 13175, array([ 7472., -1552., -2128.]), array([ 342.,  -16.,  -16.]), array([-481.,   56.,  304.]))
(1, 16026, 15918, 15722, array([ 7504., -1520., -2144.]), array([ 331.,  -23.,  -37.]), array([-480.,   59.,  308.]))
(1, 18398, 17934, 18268, array([ 7488., -1584., -2176.]), array([ 263.,    1.,  -58.]), array([-480.,   56.,  303.]))
(1, 19347, 18942, 18268, array([ 7488., -1584., -2208.]), array([ 203.,    0.,  -58.]), array([-480.,   56.,  303.]))
(1, 20771, 19950, 20816, array([ 7440., -1664., -2320.]), array([ 194.,   25.,  -58.]), array([-478.,   55.,  306.]))
(1, 21720, 21967, 20816, array([ 7440., -1648., -2352.]), array([ 157.,   35., -103.]), array([-478.,   55.,  306.]))
(1, 23143, 22975, 20816, array([ 7440., -1680., -2352.]), array([ 141.,   38.,  -87.]), array([-478.,   55.,  306.]))
(1, 24091, 23983, 23364, array([ 7424., -1616., -2384.]), array([ 112.,   31.,  -84.]), array([-478.,   56.,  306.]))
(1, 25041, 24991, 23364, array([ 7424., -1664., -2384.]), array([ 126.,    6.,  -85.]), array([-478.,   56.,  306.]))
(1, 26464, 25999, 25910, array([ 7488., -1600., -2400.]), array([ 172.,   10.,  -44.]), array([-484.,   58.,  300.]))
(1, 27413, 27007, 25910, array([ 7440., -1632., -2304.]), array([ 181.,   -1.,  -22.]), array([-484.,   58.,  300.]))
(1, 28363, 28016, 28458, array([ 7424., -1632., -2336.]), array([ 219.,    7.,  -14.]), array([-479.,   55.,  303.]))
(1, 29787, 29024, 28458, array([ 7360., -1616., -2352.]), array([ 168.,  -25.,   -9.]), array([-479.,   55.,  303.]))
(1, 30736, 30032, 31005, array([ 7376., -1616., -2288.]), array([ 197.,  -23.,   -3.]), array([-480.,   56.,  302.]))
(1, 31684, 32048, 31005, array([ 7424., -1616., -2304.]), array([ 151.,  -20.,   -2.]), array([-480.,   56.,  302.]))
(1, 33108, 33056, 31005, array([ 7440., -1648., -2288.]), array([ 149.,    5.,   -6.]), array([-480.,   56.,  302.]))
(1, 34057, 34064, 33552, array([ 7456., -1632., -2304.]), array([ 145.,  -12.,  -19.]), array([-479.,   56.,  302.]))
(1, 35481, 35073, 33552, array([ 7424., -1664., -2336.]), array([ 120.,   -8.,  -15.]), array([-479.,   56.,  302.]))
(1, 36430, 36081, 36098, array([ 7440., -1648., -2304.]), array([ 99.,  -4., -29.]), array([-481.,   53.,  302.]))
(1, 37379, 37089, 36098, array([ 7456., -1616., -2416.]), array([ 137.,  -18.,  -28.]), array([-481.,   53.,  302.]))
(1, 39752, 39105, 38645, array([ 7472., -1680., -2320.]), array([ 130.,  -38.,  -19.]), array([-481.,   57.,  303.]))
(1, 40700, 41122, 38645, array([ 7440., -1696., -2304.]), array([ 88.,  -2., -64.]), array([-481.,   57.,  303.]))
(1, 42124, 42130, 41193, array([ 7392., -1664., -2304.]), array([ 26., -20., -44.]), array([-479.,   57.,  302.]))
(1, 43073, 43138, 41193, array([ 7456., -1632., -2192.]), array([ 87., -61., -32.]), array([-479.,   57.,  302.]))
(1, 44497, 44146, 43739, array([ 7424., -1600., -2208.]), array([ 48., -62., -53.]), array([-479.,   55.,  302.]))
(1, 45446, 45154, 43739, array([ 7408., -1616., -2240.]), array([ 14., -78., -46.]), array([-479.,   55.,  302.]))
(1, 46395, 46162, 46286, array([ 7424., -1664., -2192.]), array([ 16., -45., -46.]), array([-481.,   58.,  308.]))
(1, 47819, 47170, 46286, array([ 7424., -1600., -2272.]), array([-19., -30., -46.]), array([-481.,   58.,  308.]))
(1, 48768, 48179, 48832, array([ 7424., -1568., -2288.]), array([  7., -48., -31.]), array([-479.,   58.,  304.]))
(1, 49717, 49187, 48832, array([ 7424., -1648., -2224.]), array([-58., -39., -40.]), array([-479.,   58.,  304.]))
(1, 51141, 51203, 48832, array([ 7408., -1536., -2128.]), array([-19., -31., -34.]), array([-479.,   58.,  304.]))
(1, 52090, 52211, 51379, array([ 7424., -1584., -2144.]), array([-15., -22., -24.]), array([-480.,   56.,  304.]))
