(1, 40667, 39902, 39895, array([  688.,   336., -5904.]), array([ 1198.,  1002.,   122.]), array([  37., -185.,  511.]))
(1, 41616, 41919, 39895, array([  688.,   272., -5792.]), array([ 1085.,  1132.,    66.]), array([  37., -185.,  511.]))
(1, 43040, 42927, 42443, array([  800.,   208., -5632.]), array([  977.,  1205.,    77.]), array([  36., -184.,  518.]))
(1, 43989, 43935, 42443, array([  816.,   128., -5632.]), array([  851.,  1279.,   103.]), array([  36., -184.,  518.]))
(1, 44939, 44943, 44990, array([  816.,   144., -5616.]), array([  734.,  1303.,   159.]), array([  31., -184.,  514.]))
(1, 46362, 45951, 44990, array([  832.,   128., -5472.]), array([  575.,  1343.,   220.]), array([  31., -184.,  514.]))
(1, 47312, 46959, 47537, array([  944.,   128., -5408.]), array([  450.,  1465.,   258.]), array([  31., -184.,  514.]))
(1, 48261, 47967, 47537, array([ 1024.,   128., -5440.]), array([  376.,  1554.,   309.]), array([  31., -184.,  514.]))
(1, 49685, 48975, 47537, array([ 1024.,   128., -5392.]), array([  354.,  1634.,   354.]), array([  31., -184.,  514.]))
(1, 50635, 49984, 50085, array([ 1056.,   112., -5408.]), array([  280.,  1704.,   424.]), array([  29., -181.,  519.]))
(1, 51584, 52000, 50085, array([ 1040.,   128., -5472.]), array([   43.,  1835.,   484.]), array([  29., -181.,  519.]))
(1, 53008, 53008, 52633, array([ 1008.,   160., -5520.]), array([   -7.,  1890.,   537.]), array([  28., -184.,  519.]))
(1, 53957, 54016, 52633, array([ 1008.,   128., -5472.]), array([  -67.,  1970.,   591.]), array([  28., -184.,  519.]))
(1, 55381, 55024, 55179, array([  960.,   160., -5520.]), array([ -160.,  2011.,   638.]), array([  20., -184.,  519.]))
(1, 56330, 56032, 55179, array([  928.,   144., -5488.]), array([ -281.,  2118.,   681.]), array([  20., -184.,  519.]))
(1, 57280, 57041, 55179, array([  992.,   208., -5472.]), array([ -329.,  2165.,   724.]), array([  20., -184.,  519.]))
(1, 58704, 58049, 57726, array([ 1056.,   160., -5376.]), array([ -455.,  2215.,   784.]), array([  16., -184.,  521.]))
(1, 59653, 59057, 57726, array([ 1040.,   208., -5248.]), array([ -565.,  2272.,   813.]), array([  16., -184.,  521.]))
(1, 60603, 60065, 60272, array([ 1040.,   240., -5216.]), array([ -638.,  2322.,   870.]), array([  10., -184.,  521.]))
(1, 62026, 62081, 60272, array([  880.,   432., -5152.]), array([ -782.,  2418.,   932.]), array([  10., -184.,  521.]))
(1, 62976, 63089, 62819, array([  880.,   480., -5136.]), array([ -807.,  2494.,   953.]), array([   4., -189.,  522.]))
(1, 64400, 64097, 62819, array([ 1040.,   480., -5104.]), array([ -833.,  2599.,   934.]), array([   4., -189.,  522.]))
(1, 65349, 65106, 65365, array([ 1216.,   496., -5056.]), array([ -848.,  2715.,   927.]), array([  -7., -189.,  523.]))
(1, 762, 578, 65365, array([ 1232.,   560., -5024.]), array([ -885.,  2824.,   918.]), array([  -7., -189.,  523.]))
(1, 2186, 1586, 65365, array([ 1168.,   544., -5072.]), array([ -850.,  2908.,   905.]), array([  -7., -189.,  523.]))
(1, 3135, 2594, 2375, array([ 1072.,   528., -5168.]), array([ -810.,  2977.,   859.]), array([  -7., -191.,  523.]))
(1, 4085, 3602, 2375, array([ 1120.,   528., -5264.]), array([ -756.,  3109.,   815.]), array([  -7., -191.,  523.]))
(1, 5509, 5618, 4922, array([ 1408.,   592., -5200.]), array([ -772.,  3304.,   712.]), array([ -13., -192.,  519.]))
(1, 7882, 7635, 7469, array([ 1824.,   640., -5184.]), array([ -745.,  3497.,   641.]), array([ -29., -191.,  523.]))
(1, 8832, 8643, 7469, array([ 1888.,   656., -5168.]), array([ -762.,  3617.,   639.]), array([ -29., -191.,  523.]))
(1, 9782, 9651, 10016, array([ 2064.,   752., -5120.]), array([ -697.,  3695.,   619.]), array([ -31., -195.,  523.]))
(1, 11206, 10659, 10016, array([ 2352.,   672., -5024.]), array([ -641.,  3830.,   612.]), array([ -31., -195.,  523.]))
(1, 12156, 11667, 10016, array([ 2576.,   784., -4960.]), array([ -546.,  3930.,   660.]), array([ -31., -195.,  523.]))
(1, 13105, 12675, 12561, array([ 2768.,   944., -4928.]), array([ -483.,  4016.,   700.]), array([ -35., -196.,  521.]))
(1, 14529, 13684, 12561, array([ 3040.,   944., -4944.]), array([ -471.,  4133.,   740.]), array([ -35., -196.,  521.]))
(1, 15479, 15700, 15108, array([ 3104.,   944., -4992.]), array([ -244.,  4395.,   909.]), array([ -47., -195.,  520.]))
(1, 16428, 16708, 15108, array([ 3072.,   944., -5072.]), array([ -133.,  4512.,  1002.]), array([ -47., -195.,  520.]))
(1, 17853, 17716, 17654, array([ 2944.,   960., -5520.]), array([    0.,  4589.,  1070.]), array([ -56., -193.,  516.]))
(1, 18802, 18724, 17654, array([ 2832.,  1008., -5776.]), array([  175.,  4683.,  1080.]), array([ -56., -193.,  516.]))
(1, 19751, 19732, 20201, array([ 2928.,  1008., -5856.]), array([  341.,  4783.,  1104.]), array([ -69., -194.,  520.]))
(1, 21175, 20740, 20201, array([ 3088.,   944., -5952.]), array([  395.,  4873.,  1097.]), array([ -69., -194.,  520.]))
(1, 22124, 21749, 20201, array([ 3248.,  1008., -5872.]), array([  421.,  4911.,  1077.]), array([ -69., -194.,  520.]))
(1, 23548, 22757, 22748, array([ 3440.,   816., -5632.]), array([  386.,  4922.,  1024.]), array([ -81., -194.,  520.]))
(1, 24498, 23765, 22748, array([ 3376.,   768., -5648.]), array([  386.,  4932.,   987.]), array([ -81., -194.,  520.]))
(1, 25447, 25781, 25294, array([ 3440.,   672., -5568.]), array([  139.,  4974.,   997.]), array([ -97., -188.,  520.]))
(1, 26871, 26789, 25294, array([ 3680.,   592., -5456.]), array([   19.,  5023.,   996.]), array([ -97., -188.,  520.]))
(1, 27821, 27797, 27841, array([ 3840.,   400., -5376.]), array([ -167.,  5075.,  1025.]), array([-113., -189.,  517.]))
(1, 29245, 28806, 27841, array([ 4000.,   352., -5280.]), array([ -438.,  5160.,  1078.]), array([-113., -189.,  517.]))
