(1, 33664, 33081, 33100, array([ 7824., -1888., -1008.]), array([ 180.,   53.,   15.]), array([-488.,   33.,  304.]))
(1, 34613, 34089, 33100, array([ 7824., -1936.,  -960.]), array([ 171.,   57.,   32.]), array([-488.,   33.,  304.]))
(1, 36037, 35097, 35647, array([ 7792., -1872., -1088.]), array([ 143.,   61.,   11.]), array([-487.,   38.,  304.]))
(1, 36986, 37114, 35647, array([ 7792., -1872.,  -992.]), array([ 56.,  72.,  -3.]), array([-487.,   38.,  304.]))
(1, 37936, 38122, 38193, array([ 7808., -1936.,  -976.]), array([ 37.,  54.,  13.]), array([-486.,   39.,  306.]))
(1, 39360, 39130, 38193, array([ 7792., -1904.,  -960.]), array([-22.,  52.,  35.]), array([-486.,   39.,  306.]))
(1, 40308, 40138, 38193, array([ 7792., -1872., -1008.]), array([-92.,  48.,  41.]), array([-486.,   39.,  306.]))
(1, 41258, 41146, 40740, array([ 7808., -1856., -1040.]), array([-93.,  41.,  64.]), array([-487.,   36.,  304.]))
(1, 43631, 43162, 43288, array([ 7792., -1840., -1008.]), array([-206.,    7.,   24.]), array([-488.,   36.,  310.]))
(1, 45056, 44171, 43288, array([ 7728., -1856.,  -976.]), array([-172.,   11.,   29.]), array([-488.,   36.,  310.]))
(1, 46955, 47195, 45836, array([ 7616., -1808., -1024.]), array([-287.,   54.,   56.]), array([-489.,   36.,  307.]))
(1, 48379, 48203, 48383, array([ 7600., -1808., -1040.]), array([-241.,   38.,   54.]), array([-489.,   39.,  304.]))
(1, 49328, 49211, 48383, array([ 7536., -1856., -1104.]), array([-236.,   59.,   73.]), array([-489.,   39.,  304.]))
(1, 50277, 50219, 48383, array([ 7472., -1872., -1280.]), array([-311.,   88.,   90.]), array([-489.,   39.,  304.]))
(1, 52650, 52236, 50930, array([ 7456., -1984., -1648.]), array([-328.,  173.,  121.]), array([-489.,   34.,  304.]))
(1, 54074, 53244, 53477, array([ 7600., -2000., -1888.]), array([-375.,  225.,  143.]), array([-492.,   35.,  302.]))
(1, 55023, 54252, 53477, array([ 7632., -2112., -1984.]), array([-418.,  283.,  140.]), array([-492.,   35.,  302.]))
(1, 55972, 56268, 56024, array([ 7616., -2192., -2240.]), array([-601.,  421.,  198.]), array([-489.,   36.,  301.]))
(1, 57396, 57276, 56024, array([ 7616., -2272., -2512.]), array([-718.,  459.,  206.]), array([-489.,   36.,  301.]))
(1, 58345, 58284, 58571, array([ 7616., -2320., -2944.]), array([-804.,  455.,  254.]), array([-487.,   34.,  301.]))
(1, 59295, 59293, 58571, array([ 7600., -2400., -3328.]), array([-849.,  450.,  292.]), array([-487.,   34.,  301.]))
(1, 60718, 60301, 58571, array([ 7472., -2560., -3936.]), array([-888.,  407.,  305.]), array([-487.,   34.,  301.]))
(1, 61667, 61309, 61118, array([ 7328., -2800., -4272.]), array([-943.,  305.,  340.]), array([-492.,   33.,  301.]))
(1, 62616, 62317, 61118, array([ 7136., -2880., -4464.]), array([-1053.,   163.,   392.]), array([-492.,   33.,  301.]))
(1, 64040, 63325, 63664, array([ 6912., -2976., -4768.]), array([-1143.,   -14.,   451.]), array([-486.,   36.,  300.]))
(1, 877, 813, 674, array([ 6976., -3200., -5440.]), array([-1234.,  -504.,   535.]), array([-487.,   31.,  299.]))
(1, 1826, 1822, 674, array([ 7152., -3296., -5648.]), array([-1180.,  -659.,   545.]), array([-487.,   31.,  299.]))
(1, 2776, 2830, 674, array([ 7296., -3376., -5920.]), array([-1120.,  -823.,   552.]), array([-487.,   31.,  299.]))
(1, 4200, 3838, 3219, array([ 7440., -3680., -6224.]), array([-1121., -1032.,   574.]), array([-490.,   33.,  303.]))
(1, 5149, 4846, 3219, array([ 7472., -3856., -6464.]), array([-1134., -1221.,   554.]), array([-490.,   33.,  303.]))
(1, 6098, 5854, 5765, array([ 7456., -4000., -6592.]), array([-1153., -1447.,   584.]), array([-490.,   35.,  303.]))
(1, 7521, 6862, 5765, array([ 7648., -4208., -6800.]), array([-1186., -1655.,   598.]), array([-490.,   35.,  303.]))
(1, 8470, 7870, 8310, array([ 7792., -4400., -6960.]), array([-1304., -1888.,   668.]), array([-489.,   35.,  311.]))
(1, 9894, 9887, 8310, array([ 8016., -4672., -6960.]), array([-1528., -2433.,   847.]), array([-489.,   35.,  311.]))
(1, 10843, 10895, 10856, array([ 8048., -4752., -6896.]), array([-1663., -2748.,   977.]), array([-480.,   34.,  315.]))
(1, 11793, 11903, 10856, array([ 8032., -4832., -6800.]), array([-1859., -3053.,  1108.]), array([-480.,   34.,  315.]))
(1, 13216, 12911, 10856, array([ 8064., -4832., -6784.]), array([-1961., -3350.,  1254.]), array([-480.,   34.,  315.]))
(1, 14165, 13919, 13402, array([ 8128., -4720., -6672.]), array([-2062., -3613.,  1399.]), array([-480.,   36.,  315.]))
(1, 15115, 14927, 13402, array([ 8192., -4656., -6656.]), array([-2198., -3898.,  1548.]), array([-480.,   36.,  315.]))
(1, 16538, 15935, 15949, array([ 8336., -4608., -6528.]), array([-2231., -4157.,  1746.]), array([-478.,   37.,  321.]))
(1, 18911, 17952, 18495, array([ 8464., -4576., -6336.]), array([-2223., -4661.,  2108.]), array([-476.,   37.,  338.]))
(1, 19861, 19968, 18495, array([ 8512., -4544., -6192.]), array([-2172., -5210.,  2442.]), array([-476.,   37.,  338.]))
(1, 20810, 20976, 21042, array([ 8560., -4496., -6160.]), array([-2083., -5412.,  2598.]), array([-468.,   40.,  338.]))
(1, 23182, 22992, 21042, array([ 8752., -4448., -5856.]), array([-1976., -5804.,  2897.]), array([-468.,   40.,  338.]))
(1, 24131, 24001, 23588, array([ 8816., -4480., -5760.]), array([-1949., -5989.,  2990.]), array([-462.,   42.,  346.]))
(1, 25555, 25009, 23588, array([ 8880., -4464., -5536.]), array([-1995., -6196.,  3133.]), array([-462.,   42.,  346.]))
(1, 26504, 26017, 26135, array([ 8896., -4416., -5360.]), array([-1962., -6340.,  3225.]), array([-457.,   45.,  359.]))
(1, 27453, 27025, 26135, array([ 8976., -4432., -5296.]), array([-1940., -6477.,  3303.]), array([-457.,   45.,  359.]))
(1, 28877, 29041, 28682, array([ 9040., -4416., -5072.]), array([-1929., -6683.,  3463.]), array([-448.,   49.,  366.]))
(1, 29826, 30049, 28682, array([ 8976., -4368., -5008.]), array([-1990., -6783.,  3522.]), array([-448.,   49.,  366.]))
(1, 31250, 31057, 31227, array([ 9056., -4320., -4880.]), array([-2005., -6890.,  3590.]), array([-441.,   54.,  375.]))
(1, 32199, 32066, 31227, array([ 9024., -4272., -4848.]), array([-2067., -6969.,  3634.]), array([-441.,   54.,  375.]))
(1, 33147, 33074, 31227, array([ 9008., -4224., -4816.]), array([-2097., -7085.,  3665.]), array([-441.,   54.,  375.]))
(1, 34571, 34082, 33774, array([ 8976., -4144., -4656.]), array([-2163., -7168.,  3689.]), array([-434.,   56.,  386.]))
(1, 35520, 35090, 33774, array([ 8912., -4080., -4592.]), array([-2230., -7261.,  3718.]), array([-434.,   56.,  386.]))
(1, 36469, 36098, 36320, array([ 8896., -4016., -4576.]), array([-2175., -7323.,  3753.]), array([-427.,   60.,  401.]))
(1, 37893, 37106, 36320, array([ 8928., -3936., -4544.]), array([-2206., -7354.,  3750.]), array([-427.,   60.,  401.]))
(1, 38842, 39123, 38868, array([ 8896., -3872., -4656.]), array([-2167., -7456.,  3744.]), array([-402.,   61.,  422.]))
(1, 40266, 40131, 38868, array([ 9008., -3712., -4656.]), array([-2118., -7484.,  3757.]), array([-402.,   61.,  422.]))
(1, 41215, 41139, 41415, array([ 9072., -3680., -4672.]), array([-1964., -7540.,  3778.]), array([-402.,   63.,  422.]))
(1, 42164, 42147, 41415, array([ 8976., -3648., -4528.]), array([-1839., -7602.,  3763.]), array([-402.,   63.,  422.]))
(1, 43588, 43155, 41415, array([ 8912., -3760., -4352.]), array([-1679., -7617.,  3804.]), array([-402.,   63.,  422.]))
(1, 44537, 44163, 43961, array([ 8848., -3696., -4240.]), array([-1520., -7664.,  3813.]), array([-392.,   71.,  433.]))
(1, 45486, 45171, 43961, array([ 8800., -3712., -4160.]), array([-1486., -7682.,  3795.]), array([-392.,   71.,  433.]))
(1, 46910, 46180, 46508, array([ 8768., -3664., -4176.]), array([-1448., -7682.,  3779.]), array([-381.,   70.,  446.]))
(1, 47860, 47188, 46508, array([ 8752., -3600., -4048.]), array([-1451., -7680.,  3741.]), array([-381.,   70.,  446.]))
(1, 49284, 49204, 49053, array([ 8640., -3600., -4016.]), array([-1413., -7640.,  3688.]), array([-369.,   76.,  454.]))
(1, 50232, 50212, 49053, array([ 8544., -3568., -4064.]), array([-1488., -7619.,  3679.]), array([-369.,   76.,  454.]))
(1, 51181, 51220, 49053, array([ 8448., -3536., -4208.]), array([-1513., -7619.,  3678.]), array([-369.,   76.,  454.]))
(1, 52606, 52228, 51601, array([ 8384., -3456., -4384.]), array([-1527., -7572.,  3669.]), array([-358.,   76.,  476.]))
(1, 53555, 53236, 51601, array([ 8384., -3472., -4384.]), array([-1516., -7552.,  3638.]), array([-358.,   76.,  476.]))
(1, 54504, 54245, 54148, array([ 8352., -3424., -4320.]), array([-1510., -7548.,  3636.]), array([-346.,   81.,  476.]))
(1, 55928, 55253, 54148, array([ 8208., -3408., -4240.]), array([-1469., -7524.,  3651.]), array([-346.,   81.,  476.]))
(1, 56877, 56261, 56695, array([ 8144., -3360., -4176.]), array([-1422., -7499.,  3663.]), array([-328.,   81.,  488.]))
(1, 57827, 58277, 56695, array([ 8064., -3216., -4112.]), array([-1476., -7478.,  3620.]), array([-328.,   81.,  488.]))
(1, 59251, 59285, 59242, array([ 7920., -3072., -4128.]), array([-1453., -7461.,  3592.]), array([-317.,   85.,  497.]))
(1, 60200, 60293, 59242, array([ 7856., -3008., -4128.]), array([-1410., -7426.,  3574.]), array([-317.,   85.,  497.]))
(1, 61624, 61302, 59242, array([ 7712., -3008., -4096.]), array([-1277., -7372.,  3585.]), array([-317.,   85.,  497.]))
(1, 62573, 62310, 61788, array([ 7584., -3056., -4240.]), array([-1153., -7285.,  3612.]), array([-304.,   86.,  505.]))
(1, 63522, 63318, 61788, array([ 7424., -2992., -4304.]), array([-1075., -7218.,  3594.]), array([-304.,   86.,  505.]))
(1, 359, 65334, 64335, array([ 7184., -3072., -4384.]), array([-1021., -7096.,  3624.]), array([-287.,   86.,  520.]))
(1, 1308, 806, 1345, array([ 7040., -3104., -4304.]), array([ -988., -7030.,  3637.]), array([-262.,   90.,  529.]))
