(1, 4713, 4823, 3992, array([ 7360., -1888., -2896.]), array([  212.,  2104., -1061.]), array([-453.,   34.,  363.]))
(1, 5662, 5832, 3992, array([ 7424., -1824., -2848.]), array([  220.,  2080., -1051.]), array([-453.,   34.,  363.]))
(1, 7086, 6840, 6538, array([ 7488., -1856., -2880.]), array([  144.,  2082., -1041.]), array([-453.,   27.,  361.]))
(1, 8036, 7848, 6538, array([ 7504., -1824., -2880.]), array([  106.,  2095., -1076.]), array([-453.,   27.,  361.]))
(1, 9459, 8856, 9084, array([ 7520., -1808., -2864.]), array([   88.,  2065., -1077.]), array([-456.,   26.,  355.]))
(1, 10409, 9864, 9084, array([ 7504., -1728., -2832.]), array([   71.,  2045., -1059.]), array([-456.,   26.,  355.]))
(1, 11358, 10872, 11631, array([ 7456., -1696., -2704.]), array([  133.,  2016., -1054.]), array([-457.,   26.,  354.]))
(1, 12782, 11881, 11631, array([ 7536., -1664., -2736.]), array([  103.,  2014., -1078.]), array([-457.,   26.,  354.]))
(1, 14681, 14905, 14179, array([ 7568., -1680., -2720.]), array([  172.,  1943., -1018.]), array([-457.,   23.,  351.]))
(1, 16105, 15913, 14179, array([ 7536., -1664., -2624.]), array([  224.,  1923., -1005.]), array([-457.,   23.,  351.]))
(1, 17055, 16921, 16725, array([ 7600., -1664., -2592.]), array([  217.,  1904.,  -988.]), array([-459.,   21.,  344.]))
(1, 18479, 17929, 16725, array([ 7552., -1696., -2688.]), array([  272.,  1894.,  -962.]), array([-459.,   21.,  344.]))
(1, 19428, 18938, 19272, array([ 7536., -1712., -2624.]), array([  308.,  1908.,  -972.]), array([-458.,   22.,  343.]))
(1, 20377, 19946, 19272, array([ 7568., -1696., -2656.]), array([  310.,  1913.,  -973.]), array([-458.,   22.,  343.]))
(1, 21801, 20954, 21818, array([ 7536., -1664., -2656.]), array([  362.,  1894.,  -930.]), array([-463.,   17.,  336.]))
(1, 22750, 22970, 21818, array([ 7520., -1664., -2688.]), array([  394.,  1884.,  -902.]), array([-463.,   17.,  336.]))
(1, 23700, 23978, 21818, array([ 7568., -1648., -2720.]), array([  397.,  1843.,  -908.]), array([-463.,   17.,  336.]))
(1, 25124, 24986, 24365, array([ 7536., -1680., -2720.]), array([  359.,  1840.,  -887.]), array([-463.,   15.,  336.]))
(1, 26074, 25995, 24365, array([ 7568., -1664., -2688.]), array([  394.,  1824.,  -886.]), array([-463.,   15.,  336.]))
(1, 27497, 27003, 26913, array([ 7552., -1680., -2640.]), array([  388.,  1831.,  -908.]), array([-468.,   13.,  334.]))
(1, 28447, 28011, 26913, array([ 7600., -1680., -2624.]), array([  380.,  1793.,  -899.]), array([-468.,   13.,  334.]))
(1, 29396, 29019, 29460, array([ 7616., -1664., -2704.]), array([  346.,  1758.,  -904.]), array([-465.,   15.,  330.]))
(1, 30820, 30027, 29460, array([ 7648., -1648., -2608.]), array([  308.,  1743.,  -925.]), array([-465.,   15.,  330.]))
(1, 31769, 31035, 32007, array([ 7632., -1600., -2528.]), array([  343.,  1736.,  -920.]), array([-467.,   12.,  330.]))
(1, 32718, 33052, 32007, array([ 7632., -1600., -2528.]), array([  351.,  1688.,  -927.]), array([-467.,   12.,  330.]))
(1, 34142, 34060, 32007, array([ 7680., -1568., -2544.]), array([  407.,  1655.,  -928.]), array([-467.,   12.,  330.]))
(1, 35091, 35068, 34554, array([ 7696., -1584., -2576.]), array([  413.,  1648.,  -943.]), array([-467.,   12.,  327.]))
(1, 36041, 36076, 34554, array([ 7728., -1456., -2544.]), array([  460.,  1626.,  -961.]), array([-467.,   12.,  327.]))
(1, 37465, 37084, 37101, array([ 7664., -1504., -2592.]), array([  527.,  1617.,  -968.]), array([-470.,    9.,  323.]))
(1, 38414, 38092, 37101, array([ 7712., -1552., -2544.]), array([  582.,  1571.,  -965.]), array([-470.,    9.,  323.]))
(1, 39839, 39101, 39647, array([ 7776., -1584., -2496.]), array([  652.,  1545.,  -984.]), array([-470.,    8.,  319.]))
(1, 40788, 40109, 39647, array([ 7712., -1600., -2528.]), array([  683.,  1551.,  -988.]), array([-470.,    8.,  319.]))
(1, 41737, 42125, 39647, array([ 7712., -1600., -2496.]), array([  681.,  1487.,  -967.]), array([-470.,    8.,  319.]))
(1, 43161, 43133, 42195, array([ 7776., -1680., -2384.]), array([  717.,  1453.,  -957.]), array([-473.,    5.,  317.]))
(1, 44110, 44141, 42195, array([ 7792., -1696., -2368.]), array([  714.,  1429.,  -946.]), array([-473.,    5.,  317.]))
(1, 45059, 45150, 44742, array([ 7776., -1760., -2288.]), array([  607.,  1411.,  -930.]), array([-473.,    6.,  317.]))
(1, 46482, 46158, 44742, array([ 7728., -1792., -2256.]), array([  545.,  1383.,  -913.]), array([-473.,    6.,  317.]))
(1, 47432, 47166, 47288, array([ 7792., -1856., -2112.]), array([  434.,  1388.,  -879.]), array([-474.,    5.,  314.]))
