(1, 34912, 34784, 32989, array([ 8000., -1328., -1488.]), array([-859.,  -15.,   54.]), array([-490.,  -44.,  249.]))
(1, 36336, 35792, 35534, array([ 7968., -1168., -1552.]), array([-1056.,   -48.,    59.]), array([-492.,  -45.,  250.]))
(1, 37285, 36801, 35534, array([ 7968., -1056., -1536.]), array([-1240.,   -72.,    71.]), array([-492.,  -45.,  250.]))
(1, 38709, 37809, 38080, array([ 7968.,  -944., -1504.]), array([-1405.,   -98.,   122.]), array([-493.,  -49.,  250.]))
(1, 39658, 39825, 38080, array([ 7920.,  -848., -1440.]), array([-1466.,  -156.,   187.]), array([-493.,  -49.,  250.]))
(1, 40607, 40833, 40625, array([ 7904.,  -800., -1504.]), array([-1407.,  -171.,   188.]), array([-490.,  -50.,  248.]))
(1, 42031, 41841, 40625, array([ 7920.,  -688., -1520.]), array([-1313.,  -213.,   198.]), array([-490.,  -50.,  248.]))
(1, 42980, 42850, 43171, array([ 7872.,  -656., -1488.]), array([-1208.,  -234.,   217.]), array([-490.,  -51.,  248.]))
(1, 43929, 43858, 43171, array([ 7840.,  -624., -1504.]), array([-1027.,  -277.,   223.]), array([-490.,  -51.,  248.]))
(1, 45353, 44866, 43171, array([ 7808.,  -672., -1568.]), array([-889., -300.,  279.]), array([-490.,  -51.,  248.]))
(1, 46302, 45874, 45717, array([ 7808.,  -704., -1584.]), array([-711., -306.,  294.]), array([-493.,  -50.,  244.]))
(1, 47251, 46882, 45717, array([ 7856.,  -816., -1536.]), array([-595., -336.,  298.]), array([-493.,  -50.,  244.]))
(1, 48674, 47890, 48263, array([ 7920.,  -864., -1616.]), array([-493., -383.,  307.]), array([-493.,  -52.,  247.]))
(1, 49623, 49907, 48263, array([ 7952.,  -864., -1584.]), array([-433., -413.,  315.]), array([-493.,  -52.,  247.]))
(1, 51047, 50915, 50809, array([ 7904.,  -832., -1664.]), array([-374., -449.,  330.]), array([-492.,  -48.,  247.]))
(1, 51996, 51923, 50809, array([ 7872.,  -816., -1680.]), array([-358., -494.,  343.]), array([-492.,  -48.,  247.]))
(1, 52945, 52931, 50809, array([ 7840.,  -832., -1712.]), array([-330., -517.,  347.]), array([-492.,  -48.,  247.]))
(1, 54368, 53939, 53354, array([ 7808.,  -816., -1696.]), array([-283., -532.,  326.]), array([-490.,  -46.,  248.]))
(1, 55317, 54947, 53354, array([ 7808.,  -864., -1744.]), array([-245., -534.,  299.]), array([-490.,  -46.,  248.]))
(1, 56266, 55956, 55901, array([ 7792.,  -848., -1760.]), array([-177., -572.,  289.]), array([-491.,  -50.,  248.]))
(1, 57690, 56964, 55901, array([ 7760.,  -960., -1872.]), array([-165., -580.,  279.]), array([-491.,  -50.,  248.]))
(1, 58639, 57972, 58447, array([ 7744., -1008., -1920.]), array([-118., -607.,  296.]), array([-492.,  -48.,  251.]))
(1, 60062, 59988, 58447, array([ 7840., -1120., -2048.]), array([-124., -653.,  239.]), array([-492.,  -48.,  251.]))
(1, 61012, 60996, 60992, array([ 7792., -1184., -2080.]), array([-114., -677.,  265.]), array([-490.,  -47.,  251.]))
(1, 61961, 62004, 60992, array([ 7792., -1216., -2144.]), array([-185., -681.,  269.]), array([-490.,  -47.,  251.]))
(1, 63385, 63013, 60992, array([ 7808., -1248., -2160.]), array([-224., -723.,  256.]), array([-490.,  -47.,  251.]))
(1, 64334, 64021, 63538, array([ 7824., -1280., -2144.]), array([-262., -759.,  266.]), array([-489.,  -47.,  252.]))
(1, 4493, 4534, 3093, array([ 7904., -1312., -2176.]), array([-349., -992.,  268.]), array([-490.,  -47.,  256.]))
(1, 5442, 5542, 5639, array([ 7888., -1248., -2192.]), array([ -330., -1063.,   262.]), array([-490.,  -48.,  256.]))
(1, 6865, 6550, 5639, array([ 7840., -1312., -2272.]), array([ -337., -1109.,   248.]), array([-490.,  -48.,  256.]))
(1, 8763, 8566, 8184, array([ 7808., -1344., -2224.]), array([ -302., -1183.,   261.]), array([-489.,  -48.,  260.]))
(1, 10187, 9574, 8184, array([ 7872., -1440., -2288.]), array([ -318., -1211.,   292.]), array([-489.,  -48.,  260.]))
(1, 13509, 13607, 13275, array([ 7824., -1568., -2320.]), array([ -515., -1356.,   400.]), array([-491.,  -46.,  263.]))
(1, 14457, 14615, 13275, array([ 7872., -1520., -2336.]), array([ -608., -1389.,   419.]), array([-491.,  -46.,  263.]))
(1, 15881, 15623, 15820, array([ 7840., -1520., -2320.]), array([ -698., -1389.,   492.]), array([-487.,  -44.,  266.]))
(1, 16830, 16632, 15820, array([ 7888., -1488., -2384.]), array([ -789., -1445.,   534.]), array([-487.,  -44.,  266.]))
(1, 17779, 17640, 15820, array([ 7872., -1440., -2384.]), array([ -864., -1477.,   589.]), array([-487.,  -44.,  266.]))
(1, 19202, 18648, 18366, array([ 7840., -1408., -2336.]), array([ -913., -1527.,   604.]), array([-486.,  -46.,  271.]))
(1, 20151, 19656, 18366, array([ 7872., -1328., -2400.]), array([ -984., -1545.,   643.]), array([-486.,  -46.,  271.]))
(1, 21100, 20664, 20911, array([ 7840., -1248., -2432.]), array([-1036., -1549.,   682.]), array([-485.,  -43.,  269.]))
(1, 22524, 21672, 20911, array([ 7920., -1136., -2512.]), array([-1020., -1593.,   695.]), array([-485.,  -43.,  269.]))
(1, 23473, 23689, 23457, array([ 7904., -1136., -2544.]), array([ -902., -1650.,   732.]), array([-484.,  -45.,  271.]))
(1, 24896, 24697, 23457, array([ 7840., -1088., -2544.]), array([ -889., -1689.,   765.]), array([-484.,  -45.,  271.]))
(1, 25845, 25705, 26004, array([ 7872., -1088., -2528.]), array([ -782., -1722.,   810.]), array([-480.,  -46.,  276.]))
(1, 26794, 26713, 26004, array([ 7856., -1120., -2528.]), array([ -715., -1773.,   823.]), array([-480.,  -46.,  276.]))
(1, 28219, 27721, 26004, array([ 7904., -1120., -2512.]), array([ -594., -1819.,   852.]), array([-480.,  -46.,  276.]))
(1, 29168, 28729, 28550, array([ 7888., -1168., -2400.]), array([ -498., -1878.,   844.]), array([-481.,  -41.,  276.]))
(1, 30117, 29738, 28550, array([ 7904., -1152., -2432.]), array([ -500., -1903.,   853.]), array([-481.,  -41.,  276.]))
(1, 31542, 30746, 31097, array([ 7936., -1152., -2448.]), array([ -414., -1928.,   863.]), array([-477.,  -43.,  286.]))
(1, 32491, 32762, 31097, array([ 7872., -1184., -2464.]), array([ -401., -2012.,   887.]), array([-477.,  -43.,  286.]))
(1, 33915, 33770, 33642, array([ 7904., -1232., -2448.]), array([ -440., -2055.,   868.]), array([-477.,  -39.,  286.]))
(1, 34864, 34778, 33642, array([ 7904., -1248., -2400.]), array([ -489., -2081.,   859.]), array([-477.,  -39.,  286.]))
(1, 35813, 35786, 33642, array([ 7952., -1264., -2416.]), array([ -489., -2109.,   856.]), array([-477.,  -39.,  286.]))
(1, 37237, 36795, 36186, array([ 7984., -1200., -2480.]), array([ -532., -2107.,   839.]), array([-475.,  -40.,  288.]))
(1, 38186, 37803, 36186, array([ 7936., -1200., -2464.]), array([ -516., -2117.,   799.]), array([-475.,  -40.,  288.]))
(1, 39135, 38811, 38732, array([ 7952., -1136., -2496.]), array([ -546., -2156.,   822.]), array([-476.,  -40.,  292.]))
(1, 40559, 39819, 38732, array([ 7984., -1008., -2608.]), array([ -546., -2189.,   822.]), array([-476.,  -40.,  292.]))
(1, 41508, 40827, 41277, array([ 7952.,  -944., -2736.]), array([ -453., -2242.,   833.]), array([-475.,  -34.,  297.]))
(1, 42457, 42844, 41277, array([ 7984.,  -944., -2736.]), array([ -210., -2291.,   851.]), array([-475.,  -34.,  297.]))
(1, 44829, 44860, 43823, array([ 7904.,  -880., -2656.]), array([  106., -2433.,   860.]), array([-472.,  -35.,  299.]))
