(1, 64601, 64943, 63416, array([ 5760.,  -368., -4224.]), array([ 195.,  247.,   61.]), array([-428.,   12.,  312.]))
(1, 489, 415, 426, array([ 5760.,  -336., -4096.]), array([ 177.,  270.,   57.]), array([-426.,    7.,  309.]))
(1, 1438, 1423, 426, array([ 5760.,  -352., -4032.]), array([ 134.,  304.,   52.]), array([-426.,    7.,  309.]))
(1, 2388, 2431, 426, array([ 5776.,  -384., -3984.]), array([  79.,  368.,   35.]), array([-426.,    7.,  309.]))
(1, 3811, 3439, 2970, array([ 5776.,  -304., -3888.]), array([ 107.,  372.,   56.]), array([-425.,   11.,  312.]))
(1, 4761, 4448, 2970, array([ 5856.,  -272., -3888.]), array([  45.,  433.,   78.]), array([-425.,   11.,  312.]))
(1, 5710, 5456, 5515, array([ 5840.,  -304., -3872.]), array([  28.,  460.,   44.]), array([-428.,   10.,  312.]))
(1, 7135, 6464, 5515, array([ 5792.,  -288., -3776.]), array([  32.,  511.,   36.]), array([-428.,   10.,  312.]))
(1, 8085, 7472, 8058, array([ 5824.,  -320., -3776.]), array([ -26.,  589.,   33.]), array([-429.,   10.,  313.]))
(1, 9509, 9489, 8058, array([ 5824.,  -224., -3744.]), array([ -72.,  703.,   51.]), array([-429.,   10.,  313.]))
(1, 10459, 10497, 10603, array([ 5888.,  -288., -3712.]), array([-132.,  772.,   23.]), array([-425.,    6.,  313.]))
(1, 11408, 11505, 10603, array([ 5904.,  -224., -3680.]), array([-198.,  809.,   -7.]), array([-425.,    6.,  313.]))
(1, 12831, 12513, 10603, array([ 5936.,  -272., -3664.]), array([-297.,  874.,  -32.]), array([-425.,    6.,  313.]))
(1, 13781, 13522, 13149, array([ 6000.,  -240., -3616.]), array([-325.,  961.,  -41.]), array([-429.,   10.,  310.]))
(1, 14731, 14530, 13149, array([ 6064.,  -224., -3616.]), array([ -363.,  1026.,   -86.]), array([-429.,   10.,  310.]))
(1, 16155, 15538, 15695, array([ 6032.,  -192., -3584.]), array([ -406.,  1087.,   -98.]), array([-430.,    6.,  306.]))
(1, 17104, 16546, 15695, array([ 6096.,  -160., -3552.]), array([ -365.,  1151.,  -136.]), array([-430.,    6.,  306.]))
(1, 18528, 17555, 18240, array([ 6032.,  -192., -3456.]), array([ -355.,  1246.,  -164.]), array([-430.,    5.,  306.]))
(1, 19477, 19571, 18240, array([ 6080.,  -240., -3360.]), array([ -390.,  1327.,  -153.]), array([-430.,    5.,  306.]))
(1, 20426, 20579, 18240, array([ 6144.,  -240., -3296.]), array([ -375.,  1402.,  -153.]), array([-430.,    5.,  306.]))
(1, 21850, 21587, 20785, array([ 6096.,  -352., -3168.]), array([ -362.,  1434.,  -133.]), array([-432.,    6.,  304.]))
(1, 22799, 22596, 20785, array([ 6096.,  -368., -3184.]), array([ -389.,  1524.,   -88.]), array([-432.,    6.,  304.]))
(1, 23749, 23604, 23332, array([ 6048.,  -336., -3072.]), array([ -410.,  1601.,   -40.]), array([-433.,    5.,  300.]))
(1, 25172, 24612, 23332, array([ 6128.,  -336., -3040.]), array([ -464.,  1658.,   -23.]), array([-433.,    5.,  300.]))
(1, 26121, 25620, 25876, array([ 6144.,  -384., -3024.]), array([ -547.,  1746.,    10.]), array([-432.,    8.,  300.]))
(1, 27070, 26629, 25876, array([ 6144.,  -400., -3008.]), array([ -607.,  1767.,    51.]), array([-432.,    8.,  300.]))
(1, 28494, 28645, 28421, array([ 6176.,  -352., -3056.]), array([ -711.,  1967.,   108.]), array([-438.,    8.,  295.]))
(1, 29443, 29653, 28421, array([ 6160.,  -304., -2976.]), array([ -779.,  2085.,   101.]), array([-438.,    8.,  295.]))
(1, 30867, 30661, 28421, array([ 6192.,  -304., -2944.]), array([ -895.,  2232.,    89.]), array([-438.,    8.,  295.]))
(1, 31816, 31670, 30967, array([ 6160.,  -272., -2912.]), array([-1011.,  2273.,    70.]), array([-439.,    6.,  290.]))
(1, 32766, 32678, 30967, array([ 6224.,  -224., -2896.]), array([-1138.,  2322.,    71.]), array([-439.,    6.,  290.]))
(1, 34190, 33686, 33511, array([ 6272.,  -192., -2976.]), array([-1184.,  2444.,    86.]), array([-441.,    4.,  290.]))
(1, 35139, 34694, 33511, array([ 6320.,  -144., -2912.]), array([-1249.,  2552.,    44.]), array([-441.,    4.,  290.]))
(1, 36088, 35703, 36056, array([ 6336.,  -128., -2944.]), array([-1324.,  2639.,    14.]), array([-445.,    3.,  281.]))
(1, 37512, 36711, 36056, array([ 6432.,  -160., -2864.]), array([-1392.,  2689.,   -16.]), array([-445.,    3.,  281.]))
(1, 38461, 38727, 38600, array([ 6496.,  -176., -2800.]), array([-1420.,  2933.,   -46.]), array([-446.,    3.,  279.]))
(1, 39886, 39735, 38600, array([ 6544.,  -240., -2864.]), array([-1401.,  3037.,   -75.]), array([-446.,    3.,  279.]))
(1, 40835, 40744, 38600, array([ 6560.,  -272., -2944.]), array([-1481.,  3155.,   -54.]), array([-446.,    3.,  279.]))
(1, 41784, 41752, 41145, array([ 6576.,  -272., -3008.]), array([-1557.,  3244.,   -59.]), array([-446.,    0.,  272.]))
(1, 43208, 42760, 41145, array([ 6576.,  -272., -3136.]), array([-1715.,  3360.,   -81.]), array([-446.,    0.,  272.]))
(1, 44158, 43768, 43690, array([ 6640.,  -304., -3088.]), array([-1833.,  3443.,   -83.]), array([-456.,    0.,  261.]))
(1, 45107, 44777, 43690, array([ 6736.,  -320., -3136.]), array([-1954.,  3533.,   -72.]), array([-456.,    0.,  261.]))
(1, 46531, 45785, 46235, array([ 6800.,  -304., -3184.]), array([-2130.,  3589.,   -46.]), array([-456.,   -6.,  261.]))
(1, 47481, 46793, 46235, array([ 6896.,  -224., -3248.]), array([-2213.,  3680.,   -60.]), array([-456.,   -6.,  261.]))
(1, 48905, 48810, 48780, array([ 6976.,   -96., -3312.]), array([-2399.,  3829.,   -67.]), array([-457.,   -3.,  254.]))
(1, 49854, 49818, 48780, array([ 7040.,   -80., -3424.]), array([-2449.,  3843.,   -49.]), array([-457.,   -3.,  254.]))
(1, 50803, 50826, 48780, array([ 7104.,    16., -3440.]), array([-2420.,  3854.,   -32.]), array([-457.,   -3.,  254.]))
(1, 52228, 51834, 51325, array([ 7184.,    96., -3408.]), array([-2301.,  3834.,   -10.]), array([-462.,   -4.,  238.]))
(1, 53177, 52842, 51325, array([ 7216.,   176., -3488.]), array([ -2.15600000e+03,   3.84300000e+03,  -2.00000000e+00]), array([-462.,   -4.,  238.]))
(1, 54126, 53851, 53869, array([ 7280.,   192., -3472.]), array([-1957.,  3875.,    -6.]), array([-462.,   -5.,  238.]))
(1, 55550, 54859, 53869, array([ 7312.,   288., -3488.]), array([-1744.,  3847.,     5.]), array([-462.,   -5.,  238.]))
(1, 56500, 55867, 56414, array([ 7408.,   304., -3488.]), array([-1537.,  3816.,    10.]), array([-464.,   -7.,  232.]))
(1, 57450, 57884, 56414, array([ 7440.,   368., -3456.]), array([ -993.,  3824.,   -16.]), array([-464.,   -7.,  232.]))
(1, 58873, 58892, 58959, array([ 7456.,   352., -3536.]), array([ -720.,  3788.,    -5.]), array([-465.,   -6.,  223.]))
(1, 59823, 59900, 58959, array([ 7312.,   416., -3456.]), array([ -457.,  3726.,    15.]), array([-465.,   -6.,  223.]))
(1, 61246, 60908, 58959, array([ 7360.,   384., -3488.]), array([ -220.,  3701.,    43.]), array([-465.,   -6.,  223.]))
