(1, 26338, 25579, 26015, array([ 7728.,  -416., -1472.]), array([ 212.,  271.,   36.]), array([-502.,   49.,  102.]))
(1, 27288, 26587, 26015, array([ 7728.,  -400., -1456.]), array([ 221.,  289.,   39.]), array([-502.,   49.,  102.]))
(1, 28237, 28604, 28561, array([ 7712.,  -336., -1552.]), array([ 187.,  319.,   42.]), array([-495.,   48.,  100.]))
(1, 29661, 29612, 28561, array([ 7728.,  -336., -1504.]), array([ 144.,  364.,   55.]), array([-495.,   48.,  100.]))
(1, 30610, 30620, 28561, array([ 7728.,  -368., -1536.]), array([ 169.,  386.,   74.]), array([-495.,   48.,  100.]))
(1, 32033, 31629, 31107, array([ 7728.,  -384., -1488.]), array([ 157.,  448.,   96.]), array([-499.,   51.,  101.]))
(1, 32982, 32637, 31107, array([ 7696.,  -432., -1408.]), array([ 102.,  471.,   88.]), array([-499.,   51.,  101.]))
(1, 33932, 33645, 33652, array([ 7680.,  -432., -1408.]), array([ 133.,  479.,   83.]), array([-499.,   48.,   96.]))
(1, 35357, 34653, 33652, array([ 7712.,  -384., -1392.]), array([  94.,  468.,   97.]), array([-499.,   48.,   96.]))
(1, 36306, 35661, 36197, array([ 7760.,  -320., -1392.]), array([ 103.,  523.,  130.]), array([-496.,   52.,   96.]))
(1, 37255, 37678, 36197, array([ 7744.,  -320., -1408.]), array([  68.,  622.,  162.]), array([-496.,   52.,   96.]))
(1, 38679, 38686, 38743, array([ 7728.,  -304., -1376.]), array([  90.,  638.,  169.]), array([-496.,   49.,   98.]))
(1, 39629, 39694, 38743, array([ 7792.,  -256., -1360.]), array([  97.,  668.,  184.]), array([-496.,   49.,   98.]))
(1, 40578, 40703, 38743, array([ 7824.,  -256., -1360.]), array([  96.,  726.,  198.]), array([-496.,   49.,   98.]))
(1, 42002, 41711, 41288, array([ 7792.,  -272., -1248.]), array([ 157.,  763.,  181.]), array([-498.,   51.,   98.]))
(1, 42951, 42719, 41288, array([ 7840.,  -224., -1216.]), array([ 163.,  778.,  197.]), array([-498.,   51.,   98.]))
(1, 44375, 43727, 43834, array([ 7824.,  -272., -1232.]), array([ 163.,  806.,  208.]), array([-497.,   51.,   96.]))
(1, 45325, 44735, 43834, array([ 7792.,  -208., -1200.]), array([ 175.,  871.,  181.]), array([-497.,   51.,   96.]))
(1, 46274, 45744, 46380, array([ 7792.,  -208., -1200.]), array([ 200.,  869.,  183.]), array([-495.,   49.,   95.]))
(1, 47699, 47760, 46380, array([ 7776.,  -272., -1200.]), array([ 317.,  941.,  188.]), array([-495.,   49.,   95.]))
(1, 48648, 48768, 48925, array([ 7792.,  -304., -1200.]), array([  341.,  1010.,   180.]), array([-498.,   51.,   92.]))
(1, 49598, 49777, 48925, array([ 7744.,  -352., -1184.]), array([  309.,  1038.,   182.]), array([-498.,   51.,   92.]))
(1, 51021, 50785, 48925, array([ 7808.,  -304., -1120.]), array([  317.,  1074.,   226.]), array([-498.,   51.,   92.]))
(1, 51971, 51793, 51471, array([ 7856.,  -352., -1120.]), array([  256.,  1152.,   219.]), array([-496.,   52.,   91.]))
(1, 53395, 52801, 51471, array([ 7904.,  -368., -1056.]), array([  179.,  1188.,   253.]), array([-496.,   52.,   91.]))
(1, 54344, 53809, 54015, array([ 7888.,  -352., -1056.]), array([  117.,  1190.,   226.]), array([-497.,   52.,   91.]))
(1, 55293, 54818, 54015, array([ 7920.,  -320., -1104.]), array([  -17.,  1249.,   279.]), array([-497.,   52.,   91.]))
(1, 56717, 55826, 56561, array([ 7904.,  -304., -1136.]), array([ -146.,  1273.,   325.]), array([-495.,   55.,   87.]))
(1, 57666, 57842, 56561, array([ 7936.,  -240., -1040.]), array([ -299.,  1319.,   326.]), array([-495.,   55.,   87.]))
