(1, 51111, 50682, 50115, array([ 8432.,  1312., -7840.]), array([ 4081., -3960.,    16.]), array([-500.,   85.,  133.]))
(1, 52060, 51690, 50115, array([ 8432.,  1120., -7760.]), array([ 4141., -4301.,   -99.]), array([-500.,   85.,  133.]))
(1, 54433, 54715, 52659, array([ 8608.,   880., -7472.]), array([ 3746., -5230.,  -299.]), array([-499.,   86.,  141.]))
(1, 55382, 55723, 55205, array([ 8608.,   672., -7360.]), array([ 3454., -5584.,  -370.]), array([-501.,   84.,  152.]))
(1, 56806, 56731, 55205, array([ 8528.,   640., -7280.]), array([ 3008., -5912.,  -456.]), array([-501.,   84.,  152.]))
(1, 57755, 57739, 57752, array([ 8560.,   624., -7296.]), array([ 2524., -6212.,  -532.]), array([-497.,   84.,  162.]))
(1, 59178, 58747, 57752, array([ 8656.,   752., -7328.]), array([ 2088., -6529.,  -627.]), array([-497.,   84.,  162.]))
(1, 60128, 59755, 60298, array([ 8704.,   880., -7360.]), array([ 1705., -6825.,  -704.]), array([-495.,   80.,  175.]))
(1, 61077, 60763, 60298, array([ 8608.,  1024., -7408.]), array([ 1457., -7055.,  -773.]), array([-495.,   80.,  175.]))
(1, 62500, 61772, 60298, array([ 8672.,  1184., -7456.]), array([ 1259., -7241.,  -858.]), array([-495.,   80.,  175.]))
(1, 63449, 62780, 62843, array([ 8672.,  1232., -7440.]), array([ 1257., -7423.,  -943.]), array([-489.,   77.,  204.]))
(1, 64398, 64796, 62843, array([ 8784.,  1216., -7392.]), array([ 1443., -7779., -1026.]), array([-489.,   77.,  204.]))
(1, 286, 268, 65388, array([ 8928.,  1104., -7280.]), array([ 1579., -7936., -1037.]), array([-482.,   78.,  218.]))
(1, 1235, 1276, 65388, array([ 8928.,  1008., -7152.]), array([ 1599., -8107., -1020.]), array([-482.,   78.,  218.]))
(1, 2659, 2284, 2399, array([ 9072.,   976., -7024.]), array([ 1637., -8310., -1020.]), array([-482.,   76.,  218.]))
(1, 3608, 3293, 2399, array([ 9136.,   976., -6992.]), array([ 1688., -8435., -1042.]), array([-482.,   76.,  218.]))
(1, 4557, 4301, 2399, array([ 9120.,  1008., -6960.]), array([ 1695., -8570., -1073.]), array([-482.,   76.,  218.]))
(1, 5981, 5309, 4943, array([ 9040.,  1088., -6864.]), array([ 1737., -8717., -1086.]), array([-476.,   72.,  231.]))
(1, 6930, 6317, 4943, array([ 9024.,  1072., -6784.]), array([ 1802., -8815., -1138.]), array([-476.,   72.,  231.]))
(1, 7879, 7325, 7488, array([ 8944.,  1040., -6816.]), array([ 1848., -8950., -1191.]), array([-471.,   69.,  249.]))
(1, 9303, 9341, 7488, array([ 8976.,   960., -6784.]), array([ 1892., -9156., -1310.]), array([-471.,   69.,  249.]))
