type,ID,seq,packetLoss,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula,voltage
2,5,0,0,12208567,14620168,8429736838221966505,1361426814.474808,13760,-3472,808,nan,0.000000
2,5,0,0,12208567,14620168,8429736838221969126,1361426814.474808,16780,-2972,1380,nan,0.000000
2,5,0,0,12208567,14620168,8429736838221971747,1361426814.474808,16220,-2184,1072,nan,0.000000
2,5,0,0,12208567,14620168,8429736838221974368,1361426814.474808,16656,-4232,824,nan,0.000000
2,5,0,0,12208567,14620168,8429736838221976989,1361426814.474808,14612,-3216,864,nan,0.000000
2,5,1,0,12208567,14620201,8429736838221979610,1361426814.475551,14676,-3368,664,nan,0.000000
2,5,1,0,12208567,14620201,8429736838221982231,1361426814.475551,15960,-3232,1036,nan,0.000000
2,5,1,0,12208567,14620201,8429736838221984852,1361426814.475551,15876,-3176,588,nan,0.000000
2,5,1,0,12208567,14620201,8429736838221987473,1361426814.475551,15748,-2712,760,nan,0.000000
2,5,1,0,12208567,14620201,8429736838221990094,1361426814.475551,15628,-2092,1032,nan,0.000000
2,5,2,0,12208567,14620232,8429736838221992715,1361426814.476778,16744,-956,592,nan,0.000000
2,5,2,0,12208567,14620232,8429736838221995336,1361426814.476778,15696,-1840,868,nan,0.000000
2,5,2,0,12208567,14620232,8429736838221997957,1361426814.476778,15388,-2248,324,nan,0.000000
2,5,2,0,12208567,14620232,8429736838222000578,1361426814.476778,15692,-1368,-584,nan,0.000000
2,5,2,0,12208567,14620232,8429736838222003199,1361426814.476778,17632,-684,-464,nan,0.000000
2,5,3,0,12208567,14620265,8429736838222005820,1361426814.477762,15692,-500,-1088,nan,0.000000
2,5,3,0,12208567,14620265,8429736838222008441,1361426814.477762,15612,-304,-1212,nan,0.000000
2,5,3,0,12208567,14620265,8429736838222011062,1361426814.477762,16264,184,-1160,nan,0.000000
2,5,3,0,12208567,14620265,8429736838222013683,1361426814.477762,16168,-108,-868,nan,0.000000
2,5,3,0,12208567,14620265,8429736838222016304,1361426814.477762,15932,220,-1116,nan,0.000000
1,5,5,0,12289893,14782764,2377108962265810172,1361426819.436997,16628,-1876,-932,nan,0.000000
1,5,5,0,12289893,14782764,2377108962265812793,1361426819.436997,16260,-1880,-1400,nan,0.000000
2,5,6,0,12289893,14782796,2377108962265815414,1361426819.437880,15020,-1536,-672,nan,0.000000
2,5,6,0,12289893,14782796,2377108962265818035,1361426819.437880,15212,-2276,-880,nan,0.000000
2,5,6,0,12289893,14782796,2377108962265820656,1361426819.437880,15296,-1744,-116,nan,0.000000
