(6, 37616, 37983, 37230, array([-7696.,  -368.,  3280.]), array([-8329.,  -465.,  5097.]), array([ 180.,  -54., -314.]))
(6, 39040, 38991, 37230, array([-7728.,  -416.,  3280.]), array([-8393.,  -521.,  5089.]), array([ 180.,  -54., -314.]))
(6, 39989, 39999, 39775, array([-7648.,  -432.,  3360.]), array([-8318.,  -538.,  5135.]), array([ 174.,  -48., -316.]))
(6, 41413, 41007, 39775, array([-7680.,  -576.,  3328.]), array([-8313.,  -537.,  5144.]), array([ 174.,  -48., -316.]))
(6, 42362, 42015, 42320, array([-7680.,  -432.,  3328.]), array([-8360.,  -491.,  5099.]), array([ 172.,  -35., -322.]))
(6, 43311, 43023, 42320, array([-7536.,  -416.,  3328.]), array([-8388.,  -507.,  5050.]), array([ 172.,  -35., -322.]))
(6, 44735, 44031, 42320, array([-7504.,  -432.,  3344.]), array([-8407.,  -516.,  5049.]), array([ 172.,  -35., -322.]))
(6, 45684, 45039, 44866, array([-7552.,  -480.,  3296.]), array([-8316.,  -507.,  5108.]), array([ 170.,  -27., -328.]))
(6, 46634, 47055, 44866, array([-7648.,  -448.,  3248.]), array([-8386.,  -496.,  5099.]), array([ 170.,  -27., -328.]))
(6, 48058, 48063, 47409, array([-7632.,  -432.,  3104.]), array([-8386.,  -502.,  5088.]), array([ 168.,  -19., -330.]))
(6, 49007, 49071, 47409, array([-7680.,  -528.,  3216.]), array([-8374.,  -503.,  5111.]), array([ 168.,  -19., -330.]))
(6, 50431, 50079, 49954, array([-7664.,  -480.,  3216.]), array([-8325.,  -478.,  5135.]), array([ 168.,  -10., -339.]))
(6, 51386, 51087, 49954, array([-7680.,  -544.,  3264.]), array([-8308.,  -460.,  5119.]), array([ 168.,  -10., -339.]))
(6, 52335, 52095, 52499, array([-7664.,  -560.,  3152.]), array([-8368.,  -459.,  5083.]), array([ 166.,    1., -339.]))
(6, 53759, 53103, 52499, array([-7728.,  -432.,  3264.]), array([-8330.,  -471.,  5054.]), array([ 166.,    1., -339.]))
(6, 54708, 54111, 52499, array([-7728.,  -528.,  3280.]), array([-8351.,  -469.,  5098.]), array([ 166.,    1., -339.]))
(6, 55657, 55119, 55045, array([-7776.,  -496.,  3328.]), array([-8316.,  -489.,  5152.]), array([ 164.,   11., -340.]))
(6, 57080, 57135, 55045, array([-7696.,  -432.,  3248.]), array([-8354.,  -476.,  5072.]), array([ 164.,   11., -340.]))
(6, 58029, 58143, 57591, array([-7680.,  -512.,  3248.]), array([-8375.,  -498.,  5086.]), array([ 163.,   21., -347.]))
(6, 58979, 59151, 57591, array([-7776.,  -560.,  3408.]), array([-8351.,  -496.,  5132.]), array([ 163.,   21., -347.]))
(6, 60402, 60159, 60136, array([-7792.,  -592.,  3280.]), array([-8259.,  -473.,  5141.]), array([ 163.,   29., -347.]))
(6, 61352, 61167, 60136, array([-7680.,  -544.,  3296.]), array([-8292.,  -471.,  5114.]), array([ 163.,   29., -347.]))
(6, 62775, 62175, 62680, array([-7712.,  -608.,  3120.]), array([-8395.,  -522.,  5067.]), array([ 158.,   38., -349.]))
(6, 63725, 63183, 62680, array([-7712.,  -656.,  3152.]), array([-8328.,  -542.,  5118.]), array([ 158.,   38., -349.]))
(6, 64674, 64191, 62680, array([-7792.,  -672.,  3264.]), array([-8318.,  -495.,  5166.]), array([ 158.,   38., -349.]))
