(6, 55615, 55176, 54017, array([-7936.,  -592.,  2656.]), array([-6895.,  -248.,  1798.]), array([ 261.,  -86., -234.]))
(6, 56564, 56184, 56561, array([-7840.,  -480.,  2592.]), array([-6845.,  -233.,  1798.]), array([ 260.,  -79., -238.]))
(6, 57988, 57192, 56561, array([-7696.,  -320.,  2432.]), array([-6918.,  -279.,  1753.]), array([ 260.,  -79., -238.]))
(6, 58937, 58200, 59106, array([-7584.,  -400.,  2416.]), array([-6877.,  -308.,  1781.]), array([ 256.,  -73., -243.]))
(6, 59886, 60217, 59106, array([-7648.,  -512.,  2320.]), array([-6846.,  -315.,  1763.]), array([ 256.,  -73., -243.]))
(6, 61310, 61225, 59106, array([-7792.,  -432.,  2544.]), array([-6827.,  -290.,  1760.]), array([ 256.,  -73., -243.]))
(6, 62259, 62233, 61651, array([-7792.,  -480.,  2512.]), array([-6865.,  -272.,  1765.]), array([ 257.,  -68., -248.]))
(6, 63208, 63241, 61651, array([-7792.,  -496.,  2464.]), array([-6822.,  -288.,  1775.]), array([ 257.,  -68., -248.]))
(6, 64631, 64249, 64196, array([-7712.,  -336.,  2304.]), array([-6789.,  -310.,  1752.]), array([ 253.,  -61., -253.]))
(6, 45, 65257, 64196, array([-7680.,  -416.,  2400.]), array([-6795.,  -309.,  1770.]), array([ 253.,  -61., -253.]))
(6, 1469, 729, 1204, array([-7888.,  -544.,  2464.]), array([-6765.,  -293.,  1781.]), array([ 253.,  -59., -253.]))
(6, 2418, 1737, 1204, array([-7952.,  -576.,  2512.]), array([-6837.,  -255.,  1779.]), array([ 253.,  -59., -253.]))
(6, 3367, 3753, 3749, array([-7760.,  -496.,  2480.]), array([-6769.,  -271.,  1719.]), array([ 253.,  -53., -262.]))
(6, 4792, 4761, 3749, array([-7680.,  -384.,  2384.]), array([-6779.,  -313.,  1731.]), array([ 253.,  -53., -262.]))
(6, 5741, 5769, 3749, array([-7696.,  -320.,  2352.]), array([-6727.,  -320.,  1743.]), array([ 253.,  -53., -262.]))
(6, 6691, 6777, 6293, array([-7680.,  -416.,  2368.]), array([-6762.,  -311.,  1754.]), array([ 250.,  -46., -263.]))
(6, 8115, 7785, 6293, array([-7872.,  -672.,  2528.]), array([-6728.,  -270.,  1817.]), array([ 250.,  -46., -263.]))
(6, 9065, 8793, 8838, array([-7920.,  -688.,  2496.]), array([-6725.,  -246.,  1805.]), array([ 252.,  -37., -266.]))
(6, 10489, 9801, 8838, array([-7808.,  -608.,  2464.]), array([-6725.,  -254.,  1770.]), array([ 252.,  -37., -266.]))
(6, 11438, 10809, 11384, array([-7680.,  -432.,  2432.]), array([-6691.,  -297.,  1748.]), array([ 252.,  -35., -272.]))
(6, 12387, 11817, 11384, array([-7664.,  -448.,  2256.]), array([-6731.,  -309.,  1710.]), array([ 252.,  -35., -272.]))
(6, 13811, 13833, 11384, array([-7728.,  -512.,  2352.]), array([-6640.,  -304.,  1735.]), array([ 252.,  -35., -272.]))
(6, 14760, 14841, 13930, array([-7888.,  -608.,  2480.]), array([-6663.,  -247.,  1740.]), array([ 252.,  -25., -276.]))
(6, 15709, 15849, 13930, array([-7840.,  -640.,  2496.]), array([-6643.,  -215.,  1719.]), array([ 252.,  -25., -276.]))
(6, 17133, 16857, 16475, array([-7808.,  -528.,  2448.]), array([-6658.,  -234.,  1719.]), array([ 249.,  -20., -276.]))
(6, 18083, 17865, 16475, array([-7760.,  -432.,  2400.]), array([-6608.,  -271.,  1711.]), array([ 249.,  -20., -276.]))
(6, 19507, 18873, 19020, array([-7664.,  -320.,  2400.]), array([-6629.,  -263.,  1706.]), array([ 252.,  -14., -282.]))
(6, 20457, 19881, 19020, array([-7680.,  -496.,  2352.]), array([-6651.,  -272.,  1721.]), array([ 252.,  -14., -282.]))
(6, 21406, 20889, 21566, array([-7856.,  -736.,  2512.]), array([-6598.,  -272.,  1751.]), array([ 251.,   -5., -283.]))
(6, 22831, 21897, 21566, array([-7920.,  -688.,  2576.]), array([-6650.,  -246.,  1721.]), array([ 251.,   -5., -283.]))
(6, 23780, 23913, 21566, array([-7904.,  -608.,  2464.]), array([-6587.,  -272.,  1666.]), array([ 251.,   -5., -283.]))
(6, 24729, 24921, 24110, array([-7776.,  -448.,  2432.]), array([-6583.,  -306.,  1679.]), array([ 249.,   -1., -283.]))
(6, 26153, 25929, 24110, array([-7568.,  -256.,  2272.]), array([-6560.,  -320.,  1658.]), array([ 249.,   -1., -283.]))
(6, 27102, 26937, 26655, array([-7584.,  -352.,  2368.]), array([-6590.,  -319.,  1705.]), array([ 247.,    6., -290.]))
(6, 28051, 27945, 26655, array([-7856.,  -736.,  2320.]), array([-6543.,  -284.,  1768.]), array([ 247.,    6., -290.]))
(6, 29475, 28953, 29201, array([-7920.,  -880.,  2368.]), array([-6545.,  -209.,  1754.]), array([ 247.,   11., -290.]))
(6, 30425, 29961, 29201, array([-7808.,  -688.,  2464.]), array([-6558.,  -218.,  1679.]), array([ 247.,   11., -290.]))
(6, 31848, 30969, 31747, array([-7680.,  -480.,  2352.]), array([-6502.,  -263.,  1617.]), array([ 244.,   20., -290.]))
(6, 32798, 32985, 31747, array([-7552.,  -272.,  2336.]), array([-6484.,  -300.,  1624.]), array([ 244.,   20., -290.]))
(6, 33748, 33993, 31747, array([-7536.,  -368.,  2256.]), array([-6503.,  -300.,  1684.]), array([ 244.,   20., -290.]))
(6, 35172, 35001, 34292, array([-7936.,  -752.,  2416.]), array([-6506.,  -273.,  1722.]), array([ 249.,   26., -295.]))
(6, 36121, 36009, 34292, array([-8032.,  -784.,  2464.]), array([-6473.,  -212.,  1698.]), array([ 249.,   26., -295.]))
(6, 37071, 37017, 36839, array([-7920.,  -752.,  2528.]), array([-6443.,  -200.,  1667.]), array([ 249.,   34., -294.]))
(6, 38495, 38025, 36839, array([-7760.,  -464.,  2368.]), array([-6408.,  -263.,  1637.]), array([ 249.,   34., -294.]))
(6, 39444, 39033, 39383, array([-7632.,  -352.,  2288.]), array([-6429.,  -306.,  1639.]), array([ 246.,   39., -296.]))
(6, 40867, 40041, 39383, array([-7744.,  -560.,  2320.]), array([-6441.,  -326.,  1676.]), array([ 246.,   39., -296.]))
(6, 41817, 41049, 41928, array([-7872.,  -736.,  2416.]), array([-6398.,  -299.,  1698.]), array([ 248.,   45., -298.]))
(6, 42766, 43065, 41928, array([-7856.,  -768.,  2512.]), array([-6382.,  -247.,  1663.]), array([ 248.,   45., -298.]))
(6, 44190, 44073, 41928, array([-7856.,  -768.,  2336.]), array([-6399.,  -244.,  1640.]), array([ 248.,   45., -298.]))
(6, 45139, 45081, 44473, array([-7696.,  -544.,  2272.]), array([-6409.,  -285.,  1641.]), array([ 247.,   52., -300.]))
(6, 46088, 46089, 44473, array([-7648.,  -416.,  2176.]), array([-6362.,  -288.,  1615.]), array([ 247.,   52., -300.]))
(6, 47512, 47097, 47019, array([-7776.,  -560.,  2256.]), array([-6310.,  -271.,  1650.]), array([ 244.,   60., -300.]))
(6, 48461, 48105, 47019, array([-7936.,  -864.,  2416.]), array([-6329.,  -230.,  1707.]), array([ 244.,   60., -300.]))
(6, 49411, 49113, 49564, array([-8016.,  -880.,  2432.]), array([-6332.,  -204.,  1698.]), array([ 246.,   67., -302.]))
(6, 50835, 50121, 49564, array([-7904.,  -736.,  2448.]), array([-6365.,  -197.,  1625.]), array([ 246.,   67., -302.]))
(6, 51784, 51129, 52109, array([-7808.,  -544.,  2352.]), array([-6297.,  -246.,  1582.]), array([ 250.,   71., -302.]))
(6, 53208, 53145, 52109, array([-7712.,  -304.,  2192.]), array([-6297.,  -294.,  1601.]), array([ 250.,   71., -302.]))
(6, 54157, 54154, 52109, array([-7792.,  -496.,  2208.]), array([-6301.,  -293.,  1652.]), array([ 250.,   71., -302.]))
