(6, 59452, 58710, 59604, array([-7536.,  -256.,  3792.]), array([-6506.,  -443.,  5102.]), array([ 277.,  347., -202.]))
(6, 60401, 60726, 59604, array([-7520.,  -352.,  3744.]), array([-6487.,  -464.,  5044.]), array([ 277.,  347., -202.]))
(6, 61825, 61734, 59604, array([-7696.,  -240.,  3792.]), array([-6468.,  -446.,  5106.]), array([ 277.,  347., -202.]))
(6, 62775, 62742, 62149, array([-7632.,  -240.,  3760.]), array([-6430.,  -484.,  5152.]), array([ 281.,  348., -193.]))
(6, 63724, 63750, 62149, array([-7632.,  -224.,  3744.]), array([-6502.,  -482.,  5140.]), array([ 281.,  348., -193.]))
(6, 65148, 64758, 64693, array([-7600.,  -256.,  3792.]), array([-6516.,  -467.,  5111.]), array([ 286.,  346., -185.]))
(6, 562, 230, 64693, array([-7584.,  -256.,  3760.]), array([-6544.,  -441.,  5098.]), array([ 286.,  346., -185.]))
(6, 1985, 1238, 1703, array([-7584.,  -320.,  3792.]), array([-6497.,  -449.,  5117.]), array([ 286.,  344., -185.]))
(6, 2935, 2246, 1703, array([-7616.,  -224.,  3776.]), array([-6451.,  -456.,  5171.]), array([ 286.,  344., -185.]))
(6, 3884, 4262, 4248, array([-7664.,  -192.,  3744.]), array([-6479.,  -440.,  5135.]), array([ 295.,  344., -174.]))
(6, 5308, 5270, 4248, array([-7600.,  -224.,  3712.]), array([-6544.,  -448.,  5069.]), array([ 295.,  344., -174.]))
(6, 6257, 6278, 4248, array([-7648.,  -240.,  3776.]), array([-6537.,  -425.,  5096.]), array([ 295.,  344., -174.]))
(6, 7206, 7286, 6794, array([-7648.,  -176.,  3856.]), array([-6478.,  -447.,  5141.]), array([ 301.,  341., -164.]))
(6, 8630, 8294, 6794, array([-7648.,  -240.,  3744.]), array([-6490.,  -459.,  5159.]), array([ 301.,  341., -164.]))
(6, 9579, 9302, 9339, array([-7664.,  -176.,  3696.]), array([-6464.,  -439.,  5156.]), array([ 307.,  338., -164.]))
(6, 11003, 10310, 9339, array([-7584.,  -112.,  3792.]), array([-6535.,  -447.,  5096.]), array([ 307.,  338., -164.]))
(6, 11952, 11318, 11884, array([-7616.,  -128.,  3744.]), array([-6566.,  -453.,  5086.]), array([ 312.,  339., -156.]))
(6, 12902, 12326, 11884, array([-7648.,  -160.,  3760.]), array([-6479.,  -492.,  5124.]), array([ 312.,  339., -156.]))
(6, 14326, 14342, 11884, array([-7632.,  -208.,  3808.]), array([-6485.,  -440.,  5185.]), array([ 312.,  339., -156.]))
(6, 15275, 15350, 14430, array([-7632.,  -192.,  3776.]), array([-6487.,  -418.,  5142.]), array([ 317.,  332., -141.]))
(6, 16224, 16358, 14430, array([-7584.,  -128.,  3792.]), array([-6495.,  -443.,  5104.]), array([ 317.,  332., -141.]))
(6, 17648, 17366, 16976, array([-7680.,   -48.,  3776.]), array([-6497.,  -441.,  5110.]), array([ 324.,  332., -141.]))
(6, 18597, 18374, 16976, array([-7632.,  -112.,  3776.]), array([-6523.,  -462.,  5140.]), array([ 324.,  332., -141.]))
(6, 19546, 19382, 19520, array([-7680.,  -112.,  3776.]), array([-6459.,  -466.,  5173.]), array([ 330.,  329., -135.]))
(6, 20970, 20390, 19520, array([-7632.,   -96.,  3808.]), array([-6541.,  -459.,  5148.]), array([ 330.,  329., -135.]))
(6, 21920, 21398, 22064, array([-7616.,  -128.,  3632.]), array([-6537.,  -454.,  5117.]), array([ 336.,  323., -125.]))
(6, 23344, 22406, 22064, array([-7680.,   -48.,  3792.]), array([-6504.,  -465.,  5127.]), array([ 336.,  323., -125.]))
(6, 24293, 24422, 22064, array([-7632.,  -128.,  3712.]), array([-6470.,  -464.,  5164.]), array([ 336.,  323., -125.]))
(6, 25242, 25430, 24609, array([-7632.,  -128.,  3760.]), array([-6474.,  -464.,  5149.]), array([ 336.,  317., -123.]))
(6, 26666, 26438, 24609, array([-7616.,  -128.,  3776.]), array([-6473.,  -458.,  5165.]), array([ 336.,  317., -123.]))
(6, 27615, 27446, 27154, array([-7504.,  -128.,  3776.]), array([-6501.,  -494.,  5116.]), array([ 349.,  314., -109.]))
(6, 28564, 28454, 27154, array([-7648.,   -80.,  3728.]), array([-6578.,  -449.,  5077.]), array([ 349.,  314., -109.]))
(6, 29988, 29462, 29699, array([-7648.,    48.,  3808.]), array([-6506.,  -447.,  5127.]), array([ 349.,  311., -109.]))
(6, 30938, 30470, 29699, array([-7696.,  -128.,  3664.]), array([-6496.,  -439.,  5165.]), array([ 349.,  311., -109.]))
(6, 32362, 31478, 32245, array([-7664.,     0.,  3808.]), array([-6472.,  -430.,  5164.]), array([ 350.,  307., -103.]))
(6, 33311, 33494, 32245, array([-7600.,  -128.,  3792.]), array([-6543.,  -462.,  5110.]), array([ 350.,  307., -103.]))
(6, 34260, 34502, 32245, array([-7664.,   -64.,  3760.]), array([-6502.,  -456.,  5117.]), array([ 350.,  307., -103.]))
(6, 35684, 35510, 34792, array([-7648.,  -128.,  3760.]), array([-6532.,  -457.,  5143.]), array([ 358.,  300.,  -92.]))
(6, 36633, 36518, 34792, array([-7584.,   -96.,  3888.]), array([-6495.,  -461.,  5150.]), array([ 358.,  300.,  -92.]))
(6, 37583, 37526, 37337, array([-7600.,     0.,  3888.]), array([-6474.,  -445.,  5128.]), array([ 364.,  295.,  -92.]))
(6, 39007, 38534, 37337, array([-7664.,   -32.,  3728.]), array([-6544.,  -419.,  5076.]), array([ 364.,  295.,  -92.]))
(6, 39956, 39542, 39882, array([-7600.,    80.,  3904.]), array([-6528.,  -437.,  5078.]), array([ 368.,  288.,  -85.]))
(6, 41380, 40550, 39882, array([-7520.,    16.,  3888.]), array([-6513.,  -446.,  5123.]), array([ 368.,  288.,  -85.]))
(6, 42329, 41558, 42429, array([-7552.,    16.,  3904.]), array([-6481.,  -478.,  5162.]), array([ 373.,  280.,  -79.]))
(6, 43278, 43574, 42429, array([-7584.,   -32.,  3872.]), array([-6483.,  -458.,  5121.]), array([ 373.,  280.,  -79.]))
(6, 44707, 44582, 42429, array([-7600.,     0.,  3792.]), array([-6491.,  -482.,  5115.]), array([ 373.,  280.,  -79.]))
(6, 45656, 45590, 44975, array([-7568.,    96.,  3824.]), array([-6539.,  -454.,  5104.]), array([ 381.,  271.,  -75.]))
(6, 46605, 46598, 44975, array([-7536.,   -32.,  3872.]), array([-6485.,  -453.,  5139.]), array([ 381.,  271.,  -75.]))
(6, 48029, 47606, 47520, array([-7568.,   -80.,  3824.]), array([-6461.,  -469.,  5181.]), array([ 383.,  267.,  -69.]))
(6, 48978, 48614, 47520, array([-7536.,   -32.,  3776.]), array([-6481.,  -417.,  5144.]), array([ 383.,  267.,  -69.]))
(6, 49927, 49622, 50065, array([-7552.,     0.,  3936.]), array([-6489.,  -461.,  5088.]), array([ 381.,  259.,  -61.]))
(6, 51352, 50630, 50065, array([-7552.,   112.,  3888.]), array([-6556.,  -480.,  5058.]), array([ 381.,  259.,  -61.]))
(6, 52301, 51638, 52609, array([-7456.,   -64.,  3920.]), array([-6526.,  -441.,  5088.]), array([ 390.,  248.,  -57.]))
(6, 53725, 53654, 52609, array([-7536.,    32.,  3952.]), array([-6480.,  -437.,  5152.]), array([ 390.,  248.,  -57.]))
