(6, 1802, 1352, 173, array([-7888.,  -272.,  2800.]), array([-8986.,  -565.,  4156.]), array([ 239., -128., -224.]))
(6, 2751, 2360, 2718, array([-7792.,  -208.,  2832.]), array([-8996.,  -570.,  4169.]), array([ 232., -126., -230.]))
(6, 3701, 3368, 2718, array([-7696.,  -368.,  2848.]), array([-8995.,  -549.,  4162.]), array([ 232., -126., -230.]))
(6, 5124, 4376, 2718, array([-7760.,  -448.,  2720.]), array([-9013.,  -541.,  4144.]), array([ 232., -126., -230.]))
(6, 6073, 5384, 5264, array([-7760.,  -464.,  2800.]), array([-8974.,  -550.,  4150.]), array([ 231., -117., -237.]))
(6, 7022, 7400, 5264, array([-7744.,  -416.,  2848.]), array([-8992.,  -516.,  4157.]), array([ 231., -117., -237.]))
(6, 8445, 8408, 7810, array([-7808.,  -480.,  2736.]), array([-8923.,  -532.,  4160.]), array([ 224., -111., -247.]))
(6, 9395, 9416, 7810, array([-7712.,  -368.,  2816.]), array([-8967.,  -543.,  4144.]), array([ 224., -111., -247.]))
(6, 10818, 10424, 10355, array([-7760.,  -400.,  2832.]), array([-8981.,  -542.,  4127.]), array([ 219., -102., -261.]))
(6, 11767, 11432, 10355, array([-7680.,  -448.,  2784.]), array([-8948.,  -545.,  4157.]), array([ 219., -102., -261.]))
(6, 12716, 12440, 12901, array([-7712.,  -432.,  2736.]), array([-8944.,  -535.,  4165.]), array([ 219.,  -98., -261.]))
(6, 14139, 13448, 12901, array([-7776.,  -432.,  2864.]), array([-8957.,  -504.,  4138.]), array([ 219.,  -98., -261.]))
(6, 15088, 14456, 12901, array([-7728.,  -528.,  2672.]), array([-8991.,  -506.,  4120.]), array([ 219.,  -98., -261.]))
(6, 16036, 15464, 15446, array([-7776.,  -496.,  2736.]), array([-8934.,  -522.,  4147.]), array([ 218.,  -90., -268.]))
(6, 17460, 17480, 15446, array([-7728.,  -432.,  2800.]), array([-8947.,  -524.,  4156.]), array([ 218.,  -90., -268.]))
(6, 18410, 18488, 17992, array([-7744.,  -432.,  2752.]), array([-8979.,  -536.,  4123.]), array([ 218.,  -82., -279.]))
(6, 19359, 19496, 17992, array([-7712.,  -336.,  2784.]), array([-8973.,  -514.,  4113.]), array([ 218.,  -82., -279.]))
(6, 20787, 20504, 20538, array([-7776.,  -448.,  2752.]), array([-8899.,  -525.,  4146.]), array([ 211.,  -70., -279.]))
(6, 21737, 21512, 20538, array([-7824.,  -560.,  2768.]), array([-8930.,  -514.,  4173.]), array([ 211.,  -70., -279.]))
(6, 23160, 22520, 23084, array([-7696.,  -432.,  2880.]), array([-8948.,  -501.,  4168.]), array([ 206.,  -64., -287.]))
(6, 24109, 23528, 23084, array([-7760.,  -448.,  2768.]), array([-8896.,  -525.,  4144.]), array([ 206.,  -64., -287.]))
(6, 25058, 24536, 23084, array([-7840.,  -448.,  2736.]), array([-8932.,  -531.,  4133.]), array([ 206.,  -64., -287.]))
(6, 26481, 26552, 25630, array([-7808.,  -480.,  2800.]), array([-8921.,  -531.,  4141.]), array([ 207.,  -56., -292.]))
(6, 27431, 27560, 25630, array([-7792.,  -480.,  2864.]), array([-8913.,  -531.,  4127.]), array([ 207.,  -56., -292.]))
(6, 28384, 28568, 28176, array([-7728.,  -480.,  2736.]), array([-8926.,  -549.,  4116.]), array([ 202.,  -44., -304.]))
(6, 29808, 29576, 28176, array([-7840.,  -512.,  2848.]), array([-8935.,  -545.,  4109.]), array([ 202.,  -44., -304.]))
(6, 30757, 30584, 30722, array([-7792.,  -560.,  2784.]), array([-8902.,  -538.,  4150.]), array([ 203.,  -36., -304.]))
(6, 32180, 31592, 30722, array([-7808.,  -512.,  2832.]), array([-8928.,  -542.,  4126.]), array([ 203.,  -36., -304.]))
(6, 33134, 32600, 33268, array([-7776.,  -528.,  2736.]), array([-8924.,  -533.,  4133.]), array([ 203.,  -29., -309.]))
