(6, 29573, 29931, 28838, array([-7904.,   400.,  2400.]), array([-8321.,  -316.,  3043.]), array([ 359.,   -6.,  101.]))
(6, 30997, 30939, 28838, array([-7904.,   416.,  2368.]), array([-8368.,  -324.,  3010.]), array([ 359.,   -6.,  101.]))
(6, 31946, 31947, 31383, array([-7936.,   400.,  2288.]), array([-8378.,  -325.,  2994.]), array([ 358.,  -16.,   98.]))
(6, 33370, 32955, 31383, array([-7824.,   320.,  2336.]), array([-8341.,  -315.,  3072.]), array([ 358.,  -16.,   98.]))
(6, 34319, 33963, 33927, array([-7888.,   256.,  2256.]), array([-8364.,  -311.,  3061.]), array([ 359.,  -25.,   96.]))
(6, 35268, 34971, 33927, array([-7776.,   336.,  2352.]), array([-8380.,  -322.,  3035.]), array([ 359.,  -25.,   96.]))
(6, 36691, 35979, 36472, array([-7840.,   304.,  2368.]), array([-8396.,  -329.,  3024.]), array([ 355.,  -34.,   93.]))
(6, 37640, 36987, 36472, array([-7904.,   288.,  2368.]), array([-8374.,  -340.,  3033.]), array([ 355.,  -34.,   93.]))
(6, 38589, 39003, 36472, array([-7936.,   336.,  2368.]), array([-8433.,  -326.,  3024.]), array([ 355.,  -34.,   93.]))
(6, 40013, 40011, 39018, array([-7888.,   304.,  2448.]), array([-8386.,  -297.,  3040.]), array([ 353.,  -41.,   86.]))
(6, 40962, 41019, 39018, array([-7920.,   400.,  2512.]), array([-8378.,  -294.,  3043.]), array([ 353.,  -41.,   86.]))
(6, 42385, 42027, 41563, array([-7952.,   400.,  2480.]), array([-8397.,  -318.,  3054.]), array([ 355.,  -49.,   86.]))
(6, 43334, 43035, 41563, array([-7984.,   464.,  2528.]), array([-8380.,  -312.,  3040.]), array([ 355.,  -49.,   86.]))
(6, 44283, 44043, 44108, array([-7904.,   176.,  2320.]), array([-8442.,  -340.,  3040.]), array([ 353.,  -57.,   77.]))
(6, 45707, 45051, 44108, array([-7856.,   336.,  2496.]), array([-8413.,  -349.,  3021.]), array([ 353.,  -57.,   77.]))
(6, 46656, 46059, 46654, array([-7904.,   320.,  2384.]), array([-8434.,  -322.,  3020.]), array([ 354.,  -68.,   70.]))
(6, 47605, 47067, 46654, array([-7840.,   336.,  2464.]), array([-8427.,  -311.,  3032.]), array([ 354.,  -68.,   70.]))
(6, 49029, 49083, 46654, array([-7856.,   304.,  2384.]), array([-8429.,  -365.,  3071.]), array([ 354.,  -68.,   70.]))
(6, 49978, 50091, 49200, array([-7744.,   320.,  2416.]), array([-8418.,  -375.,  3065.]), array([ 349.,  -75.,   68.]))
(6, 50927, 51099, 49200, array([-7824.,   288.,  2432.]), array([-8447.,  -377.,  3071.]), array([ 349.,  -75.,   68.]))
(6, 52351, 52107, 51744, array([-7744.,   368.,  2384.]), array([-8448.,  -362.,  3076.]), array([ 349.,  -81.,   68.]))
(6, 53301, 53115, 51744, array([-7792.,   352.,  2464.]), array([-8446.,  -323.,  3058.]), array([ 349.,  -81.,   68.]))
(6, 54725, 54123, 54290, array([-7776.,   368.,  2512.]), array([-8498.,  -341.,  3064.]), array([ 345.,  -87.,   54.]))
(6, 55674, 55131, 54290, array([-7776.,   400.,  2368.]), array([-8486.,  -328.,  3051.]), array([ 345.,  -87.,   54.]))
(6, 56623, 56139, 56834, array([-7744.,   368.,  2432.]), array([-8475.,  -296.,  3053.]), array([ 345.,  -97.,   54.]))
(6, 58047, 57147, 56834, array([-7760.,   256.,  2448.]), array([-8474.,  -324.,  3091.]), array([ 345.,  -97.,   54.]))
