(6, 5289, 5129, 5021, array([-8048.,  -928.,   976.]), array([-9678.,  -830.,  -127.]), array([ 328.,  -24., -227.]))
(6, 6239, 6137, 5021, array([-8032.,  -944.,  1008.]), array([-9697.,  -857.,  -191.]), array([ 328.,  -24., -227.]))
(6, 7662, 7145, 7566, array([-7968.,  -832.,  1040.]), array([-9660.,  -827.,  -214.]), array([ 326.,  -16., -230.]))
(6, 8611, 8153, 7566, array([-8032.,  -800.,  1104.]), array([-9660.,  -841.,  -243.]), array([ 326.,  -16., -230.]))
(6, 9560, 9161, 7566, array([-7984.,  -672.,  1024.]), array([-9678.,  -866.,  -267.]), array([ 326.,  -16., -230.]))
(6, 10984, 10169, 10110, array([-7936.,  -704.,   992.]), array([-9661.,  -874.,  -256.]), array([ 327.,  -10., -239.]))
(6, 11933, 12185, 10110, array([-7920.,  -752.,  1024.]), array([-9680.,  -891.,  -156.]), array([ 327.,  -10., -239.]))
(6, 12883, 13193, 12654, array([-7904.,  -816.,   960.]), array([-9704.,  -875.,  -119.]), array([ 326.,    0., -243.]))
(6, 14307, 14201, 12654, array([-8000.,  -928.,  1008.]), array([-9707.,  -868.,   -98.]), array([ 326.,    0., -243.]))
(6, 15256, 15209, 15198, array([-7888.,  -960.,   992.]), array([-9663.,  -871.,  -118.]), array([ 323.,   11., -242.]))
(6, 16680, 16217, 15198, array([-7952., -1024.,   992.]), array([-9701.,  -877.,  -160.]), array([ 323.,   11., -242.]))
(6, 17629, 17225, 17743, array([-7920.,  -864.,  1024.]), array([-9686.,  -843.,  -210.]), array([ 323.,   18., -248.]))
(6, 18578, 18233, 17743, array([-7872.,  -736.,  1040.]), array([-9672.,  -829.,  -246.]), array([ 323.,   18., -248.]))
(6, 20001, 19241, 17743, array([-7936.,  -688.,   992.]), array([-9710.,  -848.,  -256.]), array([ 323.,   18., -248.]))
(6, 20950, 20249, 20289, array([-7952.,  -688.,   944.]), array([-9664.,  -845.,  -210.]), array([ 321.,   31., -252.]))
(6, 21900, 22265, 20289, array([-7952.,  -864.,   928.]), array([-9693.,  -847.,  -124.]), array([ 321.,   31., -252.]))
(6, 23323, 23274, 22834, array([-7952.,  -976.,   896.]), array([-9697.,  -862.,  -119.]), array([ 321.,   39., -251.]))
(6, 24272, 24282, 22834, array([-7984., -1072.,   928.]), array([-9741.,  -865.,  -129.]), array([ 321.,   39., -251.]))
(6, 25696, 25290, 25378, array([-7984., -1040.,   880.]), array([-9741.,  -888.,  -161.]), array([ 319.,   49., -255.]))
(6, 26645, 26298, 25378, array([-8016.,  -928.,   832.]), array([-9788.,  -892.,  -217.]), array([ 319.,   49., -255.]))
(6, 27594, 27306, 27923, array([-7984.,  -784.,   880.]), array([-9710.,  -879.,  -241.]), array([ 317.,   62., -260.]))
(6, 29018, 28314, 27923, array([-7952.,  -720.,   896.]), array([-9709.,  -867.,  -239.]), array([ 317.,   62., -260.]))
(6, 29967, 29322, 27923, array([-7952.,  -752.,   896.]), array([-9699.,  -856.,  -209.]), array([ 317.,   62., -260.]))
(6, 30917, 31338, 30468, array([-7936.,  -816.,   928.]), array([-9813.,  -839.,  -162.]), array([ 314.,   72., -263.]))
(6, 32340, 32346, 30468, array([-7984.,  -976.,   816.]), array([-9751.,  -863.,  -119.]), array([ 314.,   72., -263.]))
(6, 33289, 33354, 33013, array([-7984., -1056.,   848.]), array([-9753.,  -881.,  -132.]), array([ 314.,   80., -263.]))
(6, 34713, 34362, 33013, array([-7968., -1056.,   832.]), array([-9731.,  -858.,  -173.]), array([ 314.,   80., -263.]))
(6, 35662, 35370, 35557, array([-8048.,  -928.,   832.]), array([-9746.,  -872.,  -216.]), array([ 312.,   92., -265.]))
(6, 36611, 36378, 35557, array([-8016.,  -864.,   928.]), array([-9739.,  -875.,  -245.]), array([ 312.,   92., -265.]))
(6, 38035, 37386, 35557, array([-7888.,  -752.,   960.]), array([-9745.,  -852.,  -231.]), array([ 312.,   92., -265.]))
(6, 38984, 38394, 38102, array([-8016.,  -864.,   816.]), array([-9773.,  -878.,  -203.]), array([ 314.,  103., -264.]))
(6, 39933, 39402, 38102, array([-7984.,  -912.,   736.]), array([-9784.,  -879.,  -146.]), array([ 314.,  103., -264.]))
(6, 41356, 41418, 40648, array([-7984., -1040.,   800.]), array([-9772.,  -871.,  -130.]), array([ 313.,  112., -265.]))
(6, 42305, 42426, 40648, array([-8048., -1104.,   800.]), array([-9761.,  -858.,  -159.]), array([ 313.,  112., -265.]))
(6, 43254, 43434, 43193, array([-7984., -1024.,   800.]), array([-9779.,  -861.,  -211.]), array([ 313.,  126., -263.]))
(6, 44678, 44442, 43193, array([-7904., -1040.,   768.]), array([-9749.,  -880.,  -226.]), array([ 313.,  126., -263.]))
(6, 45628, 45450, 45740, array([-7952.,  -880.,   848.]), array([-9738.,  -863.,  -235.]), array([ 307.,  134., -264.]))
(6, 47051, 46458, 45740, array([-7968.,  -848.,   832.]), array([-9778.,  -872.,  -231.]), array([ 307.,  134., -264.]))
(6, 48000, 47466, 45740, array([-7968.,  -848.,   736.]), array([-9798.,  -887.,  -193.]), array([ 307.,  134., -264.]))
(6, 48950, 48474, 48285, array([-7936.,  -912.,   704.]), array([-9806.,  -860.,  -152.]), array([ 310.,  144., -262.]))
(6, 50373, 49482, 48285, array([-7952., -1040.,   640.]), array([-9796.,  -869.,  -128.]), array([ 310.,  144., -262.]))
(6, 51322, 51498, 50831, array([-7904., -1056.,   688.]), array([-9805.,  -891.,  -153.]), array([ 305.,  154., -262.]))
(6, 52271, 52506, 50831, array([-8000., -1056.,   736.]), array([-9773.,  -870.,  -179.]), array([ 305.,  154., -262.]))
(6, 53695, 53514, 53374, array([-7968.,  -912.,   736.]), array([-9765.,  -869.,  -216.]), array([ 305.,  166., -258.]))
(6, 54645, 54522, 53374, array([-7904.,  -880.,   720.]), array([-9783.,  -869.,  -227.]), array([ 305.,  166., -258.]))
(6, 56068, 55530, 55920, array([-7888.,  -816.,   704.]), array([-9792.,  -839.,  -203.]), array([ 305.,  174., -257.]))
(6, 57017, 56538, 55920, array([-7904.,  -944.,   752.]), array([-9841.,  -846.,  -183.]), array([ 305.,  174., -257.]))
(6, 57967, 57546, 55920, array([-7984., -1008.,   736.]), array([-9808.,  -858.,  -141.]), array([ 305.,  174., -257.]))
(6, 59391, 58554, 58465, array([-7888., -1088.,   672.]), array([-9811.,  -856.,  -136.]), array([ 300.,  185., -254.]))
(6, 60340, 60570, 58465, array([-7920., -1088.,   640.]), array([-9797.,  -870.,  -156.]), array([ 300.,  185., -254.]))
(6, 61290, 61578, 61009, array([-7952., -1008.,   736.]), array([-9804.,  -887.,  -207.]), array([ 300.,  195., -254.]))
(6, 62714, 62586, 61009, array([-7952.,  -880.,   688.]), array([-9791.,  -876.,  -229.]), array([ 300.,  195., -254.]))
(6, 63663, 63594, 63554, array([-7920.,  -864.,   688.]), array([-9806.,  -893.,  -231.]), array([ 300.,  206., -247.]))
(6, 65087, 64602, 63554, array([-7888.,  -880.,   624.]), array([-9828.,  -862.,  -197.]), array([ 300.,  206., -247.]))
(6, 500, 74, 564, array([-7920.,  -944.,   608.]), array([-9816.,  -879.,  -148.]), array([ 294.,  215., -243.]))
(6, 1449, 1082, 564, array([-7968.,  -992.,   624.]), array([-9869.,  -875.,  -154.]), array([ 294.,  215., -243.]))
(6, 2873, 2090, 564, array([-7904., -1040.,   544.]), array([-9831.,  -879.,  -153.]), array([ 294.,  215., -243.]))
(6, 3822, 3098, 3109, array([-7904.,  -944.,   592.]), array([-9834.,  -861.,  -172.]), array([ 296.,  224., -243.]))
(6, 4771, 5114, 3109, array([-7920.,  -944.,   592.]), array([-9823.,  -868.,  -191.]), array([ 296.,  224., -243.]))
(6, 6195, 6122, 5653, array([-7888.,  -880.,   688.]), array([-9861.,  -875.,  -195.]), array([ 296.,  233., -237.]))
(6, 7144, 7130, 5653, array([-7888.,  -896.,   656.]), array([-9820.,  -874.,  -171.]), array([ 296.,  233., -237.]))
(6, 8093, 8138, 8198, array([-7840.,  -880.,   592.]), array([-9824.,  -861.,  -159.]), array([ 296.,  241., -234.]))
