(6, 62177, 61674, 61961, array([-8016.,   176.,  1648.]), array([-7334.,  -144.,   684.]), array([ 318., -155.,   22.]))
(6, 63126, 62682, 61961, array([-7936.,   224.,  1600.]), array([-7334.,  -160.,   641.]), array([ 318., -155.,   22.]))
(6, 64075, 63690, 64507, array([-7984.,   272.,  1456.]), array([-7338.,  -133.,   607.]), array([ 326., -157.,   12.]))
(6, 65499, 64698, 64507, array([-7984.,   256.,  1488.]), array([-7331.,  -140.,   616.]), array([ 326., -157.,   12.]))
(6, 911, 1178, 64507, array([-7968.,   160.,  1472.]), array([-7287.,  -165.,   646.]), array([ 326., -157.,   12.]))
(6, 3285, 3194, 1516, array([-7872.,   176.,  1488.]), array([-7330.,  -161.,   667.]), array([ 323., -159.,    8.]))
(6, 4234, 4202, 4062, array([-7888.,   368.,  1552.]), array([-7308.,  -157.,   617.]), array([ 325., -162.,   -2.]))
(6, 5657, 5210, 4062, array([-7920.,   416.,  1552.]), array([-7304.,  -153.,   602.]), array([ 325., -162.,   -2.]))
(6, 6606, 6218, 6607, array([-8000.,   208.,  1600.]), array([-7314.,  -137.,   641.]), array([ 326., -162.,  -12.]))
(6, 7555, 7226, 6607, array([-8000.,   112.,  1648.]), array([-7250.,  -128.,   659.]), array([ 326., -162.,  -12.]))
(6, 8978, 8234, 6607, array([-7968.,   128.,  1520.]), array([-7271.,  -115.,   652.]), array([ 326., -162.,  -12.]))
(6, 9927, 9242, 9152, array([-8000.,   240.,  1568.]), array([-7273.,  -127.,   636.]), array([ 326., -165.,  -12.]))
(6, 11350, 11258, 9152, array([-7904.,   320.,  1664.]), array([-7260.,  -129.,   629.]), array([ 326., -165.,  -12.]))
(6, 12299, 12266, 11696, array([-7968.,   240.,  1584.]), array([-7225.,  -128.,   654.]), array([ 320., -162.,  -21.]))
(6, 13248, 13274, 11696, array([-7968.,    96.,  1648.]), array([-7246.,  -134.,   667.]), array([ 320., -162.,  -21.]))
(6, 14671, 14282, 14241, array([-7984.,   112.,  1664.]), array([-7258.,  -142.,   644.]), array([ 323., -167.,  -33.]))
(6, 15624, 15290, 14241, array([-7952.,   208.,  1664.]), array([-7252.,  -143.,   592.]), array([ 323., -167.,  -33.]))
(6, 16573, 16298, 16785, array([-8000.,   192.,  1488.]), array([-7275.,  -148.,   585.]), array([ 323., -167.,  -33.]))
(6, 17996, 17306, 16785, array([-7952.,   272.,  1552.]), array([-7263.,  -173.,   589.]), array([ 323., -167.,  -33.]))
(6, 18945, 18314, 16785, array([-8032.,   160.,  1488.]), array([-7274.,  -182.,   630.]), array([ 323., -167.,  -33.]))
(6, 19894, 20331, 19330, array([-8000.,    48.,  1632.]), array([-7215.,  -156.,   715.]), array([ 322., -166.,  -47.]))
(6, 21318, 21339, 19330, array([-7936.,    48.,  1632.]), array([-7249.,  -132.,   648.]), array([ 322., -166.,  -47.]))
(6, 22267, 22347, 21876, array([-7968.,   256.,  1632.]), array([-7218.,  -118.,   607.]), array([ 319., -166.,  -47.]))
(6, 23691, 23355, 21876, array([-7840.,   352.,  1648.]), array([-7266.,  -111.,   606.]), array([ 319., -166.,  -47.]))
(6, 24640, 24363, 24422, array([-7888.,   224.,  1584.]), array([-7233.,  -131.,   649.]), array([ 317., -167.,  -56.]))
(6, 25589, 25371, 24422, array([-7984.,    48.,  1584.]), array([-7222.,  -122.,   664.]), array([ 317., -167.,  -56.]))
