(6, 510, 413, 63964, array([ 7632.,   -80., -3552.]), array([-777., -615.,  442.]), array([-491.,   86.,  299.]))
(6, 1933, 1421, 974, array([ 7776.,  -112., -3584.]), array([-743., -690.,  494.]), array([-490.,   85.,  298.]))
(6, 2883, 2429, 974, array([ 7792.,  -192., -3568.]), array([-847., -747.,  546.]), array([-490.,   85.,  298.]))
(6, 4306, 3437, 3521, array([ 7776.,  -112., -3568.]), array([-912., -801.,  556.]), array([-489.,   85.,  301.]))
(6, 5255, 4446, 3521, array([ 7760.,   -16., -3648.]), array([-980., -885.,  568.]), array([-489.,   85.,  301.]))
(6, 6204, 6462, 6069, array([ 7824.,    16., -3888.]), array([-1029., -1117.,   599.]), array([-485.,   80.,  303.]))
(6, 7628, 7470, 6069, array([ 8048.,   -80., -4112.]), array([-1004., -1186.,   594.]), array([-485.,   80.,  303.]))
(6, 8578, 8478, 8616, array([ 8352.,  -192., -4288.]), array([ -916., -1261.,   577.]), array([-485.,   83.,  305.]))
(6, 9528, 9486, 8616, array([ 8208.,  -400., -4336.]), array([ -800., -1375.,   570.]), array([-485.,   83.,  305.]))
(6, 10952, 10494, 8616, array([ 8240.,  -416., -4592.]), array([ -785., -1468.,   562.]), array([-485.,   83.,  305.]))
(6, 11902, 11503, 11161, array([ 8128.,  -224., -4784.]), array([ -692., -1598.,   590.]), array([-485.,   84.,  305.]))
(6, 12851, 12511, 11161, array([ 8080.,   -32., -4944.]), array([ -565., -1777.,   564.]), array([-485.,   84.,  305.]))
(6, 14275, 13519, 13708, array([ 8144.,   112., -5024.]), array([ -309., -1934.,   563.]), array([-483.,   86.,  310.]))
(6, 15224, 15535, 13708, array([ 8208.,    80., -4960.]), array([  276., -2201.,   572.]), array([-483.,   86.,  310.]))
(6, 16648, 16543, 16255, array([ 8208.,   -64., -4832.]), array([  609., -2358.,   579.]), array([-477.,   85.,  314.]))
(6, 17597, 17551, 16255, array([ 8192.,  -144., -4768.]), array([  912., -2471.,   616.]), array([-477.,   85.,  314.]))
(6, 18547, 18559, 18802, array([ 8192.,  -176., -4720.]), array([ 1172., -2603.,   663.]), array([-481.,   86.,  317.]))
(6, 19970, 19568, 18802, array([ 8288.,  -416., -4656.]), array([ 1418., -2726.,   683.]), array([-481.,   86.,  317.]))
(6, 20920, 20576, 18802, array([ 8368.,  -688., -4688.]), array([ 1586., -2861.,   668.]), array([-481.,   86.,  317.]))
(6, 21869, 21584, 21348, array([ 8416.,  -768., -4800.]), array([ 1712., -2986.,   634.]), array([-472.,   89.,  323.]))
(6, 23293, 22592, 21348, array([ 8592.,  -912., -5040.]), array([ 1774., -3075.,   594.]), array([-472.,   89.,  323.]))
(6, 24242, 23600, 23895, array([ 8608.,  -992., -5104.]), array([ 1894., -3177.,   562.]), array([-467.,   90.,  328.]))
(6, 25667, 25616, 23895, array([ 8656., -1232., -5152.]), array([ 2008., -3398.,   562.]), array([-467.,   90.,  328.]))
(6, 26616, 26625, 26442, array([ 8672., -1376., -5104.]), array([ 2096., -3556.,   591.]), array([-458.,   95.,  332.]))
(6, 27565, 27633, 26442, array([ 8704., -1504., -5088.]), array([ 2051., -3732.,   623.]), array([-458.,   95.,  332.]))
(6, 28989, 28641, 28988, array([ 8560., -1584., -5024.]), array([ 1975., -3890.,   694.]), array([-454.,   99.,  346.]))
(6, 29938, 29649, 28988, array([ 8480., -1584., -4976.]), array([ 1923., -4028.,   758.]), array([-454.,   99.,  346.]))
(6, 30887, 30657, 28988, array([ 8480., -1568., -4816.]), array([ 1825., -4116.,   840.]), array([-454.,   99.,  346.]))
(6, 32310, 31665, 31534, array([ 8416., -1472., -4704.]), array([ 1872., -4212.,   964.]), array([-450.,  107.,  346.]))
(6, 33259, 32673, 31534, array([ 8352., -1328., -4720.]), array([ 1877., -4319.,  1076.]), array([-450.,  107.,  346.]))
(6, 34683, 33681, 34080, array([ 8400., -1344., -4576.]), array([ 2021., -4469.,  1196.]), array([-442.,  108.,  350.]))
(6, 35632, 35698, 34080, array([ 8448., -1504., -4448.]), array([ 2281., -4654.,  1405.]), array([-442.,  108.,  350.]))
(6, 36582, 36706, 36626, array([ 8544., -1632., -4256.]), array([ 2383., -4725.,  1470.]), array([-426.,  114.,  363.]))
(6, 38005, 37714, 36626, array([ 8576., -1600., -4064.]), array([ 2483., -4787.,  1554.]), array([-426.,  114.,  363.]))
(6, 38954, 38722, 39173, array([ 8608., -1584., -4016.]), array([ 2547., -4898.,  1630.]), array([-426.,  120.,  363.]))
(6, 39904, 39730, 39173, array([ 8624., -1536., -3984.]), array([ 2605., -4990.,  1701.]), array([-426.,  120.,  363.]))
(6, 41328, 40738, 39173, array([ 8576., -1408., -3968.]), array([ 2672., -5116.,  1804.]), array([-426.,  120.,  363.]))
(6, 42277, 41747, 41720, array([ 8544., -1392., -3952.]), array([ 2821., -5230.,  1896.]), array([-418.,  127.,  369.]))
(6, 43226, 42755, 41720, array([ 8496., -1360., -3824.]), array([ 2960., -5314.,  1935.]), array([-418.,  127.,  369.]))
(6, 44650, 44771, 44267, array([ 8464., -1552., -3808.]), array([ 3373., -5486.,  1972.]), array([-410.,  133.,  376.]))
(6, 45599, 45779, 44267, array([ 8416., -1600., -3808.]), array([ 3565., -5545.,  1990.]), array([-410.,  133.,  376.]))
(6, 47022, 46787, 46814, array([ 8384., -1632., -4048.]), array([ 3825., -5635.,  2011.]), array([-398.,  148.,  383.]))
(6, 47971, 47795, 46814, array([ 8320., -1616., -4080.]), array([ 4042., -5736.,  2033.]), array([-398.,  148.,  383.]))
