(1, 43944, 43259, 42386, array([ 7984., -1008., -2448.]), array([-2065.,  2615.,  -218.]), array([-417.,   89.,  388.]))
(1, 44893, 44267, 44933, array([ 8016.,  -912., -2512.]), array([-1966.,  2574.,  -184.]), array([-423.,   86.,  382.]))
(1, 45843, 46283, 44933, array([ 8000.,  -832., -2528.]), array([-1738.,  2507.,   -30.]), array([-423.,   86.,  382.]))
(1, 47267, 47291, 44933, array([ 7984.,  -752., -2544.]), array([-1648.,  2466.,    38.]), array([-423.,   86.,  382.]))
(1, 48217, 48299, 47481, array([ 7952.,  -672., -2624.]), array([-1551.,  2359.,    90.]), array([-423.,   85.,  382.]))
(1, 49641, 49308, 47481, array([ 7984.,  -432., -2720.]), array([-1345.,  2248.,   176.]), array([-423.,   85.,  382.]))
(1, 50590, 50316, 50028, array([ 7968.,  -288., -2784.]), array([-1053.,  2212.,   210.]), array([-429.,   86.,  377.]))
(1, 51540, 51324, 50028, array([ 8032.,  -240., -2800.]), array([ -703.,  2144.,   243.]), array([-429.,   86.,  377.]))
(1, 52964, 52332, 52575, array([ 7984.,   -48., -2848.]), array([ -357.,  2076.,   314.]), array([-429.,   83.,  374.]))
(1, 53913, 53340, 52575, array([ 8032.,   -16., -2832.]), array([  -12.,  1994.,   403.]), array([-429.,   83.,  374.]))
(1, 54862, 54349, 55121, array([ 8048.,    96., -2768.]), array([  409.,  1884.,   436.]), array([-432.,   84.,  370.]))
(1, 56287, 56365, 55121, array([ 8032.,   336., -2784.]), array([ 1284.,  1643.,   469.]), array([-432.,   84.,  370.]))
(1, 57237, 57373, 55121, array([ 7936.,   464., -2864.]), array([ 1762.,  1560.,   424.]), array([-432.,   84.,  370.]))
(1, 58660, 58381, 57666, array([ 8064.,   912., -3152.]), array([ 2480.,  1438.,   324.]), array([-434.,   88.,  368.]))
(1, 59610, 59389, 57666, array([ 8112.,  1232., -3344.]), array([ 3264.,  1311.,   196.]), array([-434.,   88.,  368.]))
(1, 60560, 60398, 60213, array([ 8144.,  1376., -3488.]), array([ 4082.,  1173.,   101.]), array([-436.,   95.,  372.]))
(1, 61984, 61406, 60213, array([ 8160.,  1536., -3488.]), array([ 5027.,   950.,   -14.]), array([-436.,   95.,  372.]))
(1, 62933, 62414, 62759, array([ 8176.,  1376., -3344.]), array([ 5935.,   671.,  -137.]), array([-439.,   99.,  365.]))
(1, 63882, 63422, 62759, array([ 8176.,  1040., -3088.]), array([ 6749.,   475.,  -276.]), array([-439.,   99.,  365.]))
(1, 65307, 64430, 65306, array([ 8160.,   176., -2736.]), array([ 7220.,   272.,  -436.]), array([-434.,  111.,  367.]))
(1, 720, 911, 65306, array([ 8080.,  -288., -2448.]), array([ 7253.,   -85.,  -639.]), array([-434.,  111.,  367.]))
(1, 1670, 1919, 65306, array([ 8064.,  -672., -2208.]), array([ 6875.,  -168.,  -732.]), array([-434.,  111.,  367.]))
