(1, 9734, 9356, 8941, array([ 8000., -1408., -2304.]), array([ 1676.,   299.,  -456.]), array([-441.,  163.,  354.]))
(1, 10684, 10365, 8941, array([ 8032., -1520., -2224.]), array([ 1461.,   240.,  -417.]), array([-441.,  163.,  354.]))
(1, 11633, 11373, 11488, array([ 8016., -1584., -2208.]), array([ 1104.,   182.,  -338.]), array([-444.,  167.,  352.]))
(1, 13058, 12381, 11488, array([ 8048., -1472., -2256.]), array([ 797.,  138., -276.]), array([-444.,  167.,  352.]))
(1, 14007, 13389, 14034, array([ 8144., -1408., -2272.]), array([ 445.,   84., -243.]), array([-439.,  167.,  350.]))
(1, 15431, 15405, 14034, array([ 8144., -1520., -2272.]), array([-174., -114.,  -69.]), array([-439.,  167.,  350.]))
(1, 16381, 16414, 14034, array([ 8128., -1456., -2288.]), array([-430., -213.,   14.]), array([-439.,  167.,  350.]))
(1, 17330, 17422, 16582, array([ 8128., -1296., -2304.]), array([-634., -327.,  122.]), array([-439.,  164.,  350.]))
(1, 18754, 18430, 16582, array([ 8144., -1216., -2240.]), array([-712., -416.,  191.]), array([-439.,  164.,  350.]))
(1, 19703, 19438, 19129, array([ 8176., -1200., -2240.]), array([-756., -485.,  299.]), array([-441.,  162.,  352.]))
(1, 20653, 20446, 19129, array([ 8144., -1232., -2240.]), array([-757., -592.,  398.]), array([-441.,  162.,  352.]))
(1, 22077, 21455, 21676, array([ 8160., -1104., -2208.]), array([-749., -722.,  467.]), array([-439.,  158.,  358.]))
(1, 23026, 22463, 21676, array([ 8096., -1072., -2112.]), array([-728., -831.,  523.]), array([-439.,  158.,  358.]))
(1, 24450, 23471, 24223, array([ 8112., -1056., -2112.]), array([-710., -921.,  595.]), array([-439.,  159.,  356.]))
(1, 25399, 25487, 24223, array([ 8112., -1136., -2080.]), array([ -668., -1076.,   738.]), array([-439.,  159.,  356.]))
(1, 26348, 26495, 24223, array([ 8144., -1152., -2144.]), array([ -669., -1134.,   809.]), array([-439.,  159.,  356.]))
(1, 27773, 27504, 26771, array([ 8128., -1168., -2064.]), array([ -680., -1219.,   918.]), array([-435.,  164.,  361.]))
(1, 28722, 28512, 26771, array([ 8112., -1120., -2192.]), array([ -679., -1320.,  1007.]), array([-435.,  164.,  361.]))
(1, 29671, 29520, 29318, array([ 8096., -1088., -2224.]), array([ -704., -1418.,  1095.]), array([-435.,  162.,  361.]))
(1, 31095, 30528, 29318, array([ 8112., -1136., -2336.]), array([ -687., -1485.,  1189.]), array([-435.,  162.,  361.]))
(1, 32044, 31536, 31866, array([ 8128., -1216., -2288.]), array([ -655., -1557.,  1234.]), array([-433.,  160.,  365.]))
(1, 32994, 32545, 31866, array([ 8112., -1248., -2288.]), array([ -647., -1625.,  1290.]), array([-433.,  160.,  365.]))
(1, 34418, 34561, 34413, array([ 8112., -1360., -2208.]), array([ -686., -1776.,  1367.]), array([-430.,  164.,  367.]))
(1, 35367, 35569, 34413, array([ 8160., -1488., -2176.]), array([ -765., -1792.,  1397.]), array([-430.,  164.,  367.]))
(1, 36791, 36577, 34413, array([ 8224., -1856., -2160.]), array([ -979., -1815.,  1382.]), array([-430.,  164.,  367.]))
(1, 37739, 37585, 36959, array([ 8240., -1952., -2192.]), array([-1282., -1819.,  1363.]), array([-427.,  164.,  371.]))
(1, 38688, 38594, 36959, array([ 8288., -1904., -2352.]), array([-1717., -1775.,  1338.]), array([-427.,  164.,  371.]))
(1, 40113, 39602, 39506, array([ 8336., -1504., -2528.]), array([-2255., -1730.,  1334.]), array([-426.,  168.,  378.]))
(1, 41062, 40610, 39506, array([ 8320., -1136., -2720.]), array([-2665., -1689.,  1320.]), array([-426.,  168.,  378.]))
(1, 42011, 41618, 42053, array([ 8240.,  -896., -2944.]), array([-2912., -1633.,  1282.]), array([-421.,  161.,  381.]))
(1, 43435, 42626, 42053, array([ 8176.,  -752., -3168.]), array([-3056., -1613.,  1285.]), array([-421.,  161.,  381.]))
(1, 44384, 44643, 44601, array([ 8096.,  -656., -3312.]), array([-2976., -1710.,  1235.]), array([-421.,  159.,  381.]))
(1, 45808, 45651, 44601, array([ 8016.,  -544., -3312.]), array([-2690., -1786.,  1219.]), array([-421.,  159.,  381.]))
(1, 46757, 46659, 44601, array([ 7952.,  -464., -3328.]), array([-2316., -1891.,  1169.]), array([-421.,  159.,  381.]))
(1, 47707, 47667, 47148, array([ 7824.,  -400., -3328.]), array([-1865., -1973.,  1140.]), array([-415.,  154.,  387.]))
(1, 49131, 48675, 47148, array([ 7728.,  -448., -3264.]), array([-1271., -2145.,  1125.]), array([-415.,  154.,  387.]))
(1, 50080, 49684, 49695, array([ 7792.,  -624., -3152.]), array([ -791., -2320.,  1070.]), array([-416.,  156.,  388.]))
(1, 51030, 50692, 49695, array([ 7728.,  -752., -3024.]), array([ -277., -2478.,  1085.]), array([-416.,  156.,  388.]))
(1, 52453, 51700, 52242, array([ 7856.,  -976., -2912.]), array([   45., -2569.,  1061.]), array([-410.,  157.,  394.]))
(1, 53403, 52708, 52242, array([ 7936.,  -944., -2928.]), array([  299., -2711.,  1070.]), array([-410.,  157.,  394.]))
(1, 54353, 54724, 54789, array([ 7984.,  -976., -2848.]), array([  378., -2933.,  1184.]), array([-407.,  158.,  402.]))
(1, 55777, 55733, 54789, array([ 8112.,  -992., -2880.]), array([  305., -3001.,  1287.]), array([-407.,  158.,  402.]))
(1, 56726, 56741, 54789, array([ 8096., -1040., -2816.]), array([  191., -3041.,  1326.]), array([-407.,  158.,  402.]))
(1, 58150, 57749, 57336, array([ 8144., -1120., -2800.]), array([  -26., -3130.,  1425.]), array([-399.,  160.,  402.]))
(1, 59099, 58757, 57336, array([ 8176., -1120., -2816.]), array([ -289., -3195.,  1522.]), array([-399.,  160.,  402.]))
(1, 60048, 59765, 59883, array([ 8144., -1040., -2848.]), array([ -531., -3267.,  1649.]), array([-394.,  161.,  406.]))
(1, 61473, 60774, 59883, array([ 8112.,  -912., -2848.]), array([ -708., -3296.,  1811.]), array([-394.,  161.,  406.]))
(1, 62422, 61782, 62431, array([ 8048.,  -800., -2848.]), array([ -927., -3325.,  1935.]), array([-385.,  161.,  418.]))
(1, 63371, 63798, 62431, array([ 8112.,  -720., -2864.]), array([-1114., -3454.,  2030.]), array([-385.,  161.,  418.]))
(1, 64795, 64806, 62431, array([ 8160.,  -544., -2928.]), array([-1171., -3470.,  2085.]), array([-385.,  161.,  418.]))
(1, 208, 278, 64979, array([ 8176.,  -480., -2880.]), array([-1125., -3503.,  2110.]), array([-385.,  162.,  418.]))
(1, 1632, 1287, 64979, array([ 8192.,  -384., -2864.]), array([-1040., -3533.,  2090.]), array([-385.,  162.,  418.]))
(1, 2581, 2295, 1990, array([ 8176.,  -320., -2816.]), array([ -928., -3562.,  2097.]), array([-381.,  164.,  423.]))
(1, 3530, 3303, 1990, array([ 8160.,  -304., -2832.]), array([ -747., -3617.,  2093.]), array([-381.,  164.,  423.]))
(1, 4954, 4311, 4537, array([ 8112.,  -384., -2720.]), array([ -587., -3644.,  2083.]), array([-373.,  166.,  434.]))
(1, 5904, 5319, 4537, array([ 8112.,  -432., -2688.]), array([ -437., -3647.,  2052.]), array([-373.,  166.,  434.]))
(1, 6853, 6328, 7083, array([ 8048.,  -416., -2688.]), array([ -307., -3646.,  2013.]), array([-366.,  165.,  434.]))
(1, 8277, 8344, 7083, array([ 7888.,  -512., -2640.]), array([  -74., -3611.,  1942.]), array([-366.,  165.,  434.]))
