(1, 65224, 65229, 64719, array([ 7840.,  1904., -2160.]), array([-2126., -1604.,    38.]), array([-410., -107.,  361.]))
(1, 1111, 701, 64719, array([ 7888.,  1920., -2208.]), array([-2012., -1679.,    83.]), array([-410., -107.,  361.]))
(1, 2060, 1709, 1730, array([ 7952.,  1904., -2208.]), array([-1875., -1694.,    81.]), array([-401., -108.,  361.]))
(1, 3484, 2717, 1730, array([ 7904.,  1952., -2192.]), array([-1740., -1713.,    98.]), array([-401., -108.,  361.]))
(1, 4433, 3725, 4277, array([ 7888.,  1936., -2208.]), array([-1616., -1758.,    89.]), array([-403., -112.,  365.]))
(1, 5382, 4733, 4277, array([ 7856.,  1952., -2224.]), array([-1426., -1810.,    92.]), array([-403., -112.,  365.]))
(1, 6806, 6750, 4277, array([ 7856.,  1824., -2256.]), array([-1191., -1815.,    98.]), array([-403., -112.,  365.]))
(1, 7754, 7758, 6824, array([ 7856.,  1776., -2240.]), array([-1077., -1839.,    83.]), array([-399., -114.,  369.]))
(1, 8703, 8766, 6824, array([ 7808.,  1680., -2320.]), array([-1010., -1886.,    50.]), array([-399., -114.,  369.]))
(1, 10127, 9774, 9372, array([ 7696.,  1632., -2384.]), array([ -957., -1927.,    57.]), array([-399., -113.,  369.]))
(1, 11076, 10782, 9372, array([ 7792.,  1632., -2384.]), array([ -906., -1966.,    61.]), array([-399., -113.,  369.]))
(1, 12026, 11790, 11919, array([ 7808.,  1632., -2448.]), array([ -872., -2005.,    92.]), array([-396., -115.,  371.]))
(1, 13450, 12799, 11919, array([ 7792.,  1568., -2512.]), array([ -856., -2001.,    81.]), array([-396., -115.,  371.]))
(1, 14399, 13807, 14466, array([ 7776.,  1584., -2480.]), array([ -911., -2018.,    70.]), array([-395., -115.,  375.]))
(1, 15822, 15823, 14466, array([ 7808.,  1536., -2560.]), array([ -989., -2079.,    29.]), array([-395., -115.,  375.]))
(1, 16771, 16831, 14466, array([ 7776.,  1536., -2544.]), array([-1071., -2147.,    48.]), array([-395., -115.,  375.]))
(1, 17720, 17839, 17014, array([ 7744.,  1568., -2496.]), array([-1135., -2208.,    68.]), array([-388., -117.,  374.]))
(1, 19143, 18847, 17014, array([ 7728.,  1584., -2528.]), array([-1180., -2215.,    51.]), array([-388., -117.,  374.]))
(1, 20092, 19856, 19562, array([ 7712.,  1648., -2496.]), array([-1214., -2220.,    63.]), array([-388., -121.,  378.]))
(1, 21042, 20864, 19562, array([ 7696.,  1696., -2528.]), array([-1269., -2221.,    56.]), array([-388., -121.,  378.]))
(1, 22466, 21872, 22109, array([ 7664.,  1792., -2560.]), array([-1253., -2276.,    61.]), array([-385., -123.,  385.]))
(1, 23415, 22880, 22109, array([ 7696.,  1776., -2544.]), array([-1159., -2252.,    58.]), array([-385., -123.,  385.]))
(1, 24838, 23888, 24656, array([ 7728.,  1856., -2544.]), array([-1106., -2218.,    67.]), array([-384., -128.,  383.]))
(1, 25788, 25904, 24656, array([ 7840.,  1808., -2544.]), array([ -871., -2253.,    31.]), array([-384., -128.,  383.]))
(1, 26737, 26913, 24656, array([ 7840.,  1856., -2576.]), array([ -746., -2255.,    50.]), array([-384., -128.,  383.]))
(1, 28160, 27921, 27203, array([ 7920.,  1872., -2640.]), array([ -572., -2225.,    49.]), array([-379., -126.,  384.]))
(1, 29109, 28929, 27203, array([ 7936.,  1920., -2656.]), array([ -439., -2198.,    72.]), array([-379., -126.,  384.]))
(1, 30058, 29937, 29750, array([ 8016.,  1984., -2704.]), array([ -214., -2194.,   126.]), array([-378., -128.,  388.]))
(1, 31481, 30945, 29750, array([ 8000.,  2112., -2800.]), array([   91., -2146.,   127.]), array([-378., -128.,  388.]))
(1, 32431, 31953, 32297, array([ 7904.,  2128., -2848.]), array([  418., -2083.,   128.]), array([-376., -126.,  391.]))
