(1, 28264, 27944, 28320, array([ 7520.,  2256., -3632.]), array([ 1085., -3099.,  -790.]), array([-325., -125.,  447.]))
(1, 29213, 28952, 28320, array([ 7488.,  2272., -3664.]), array([  974., -3104.,  -786.]), array([-325., -125.,  447.]))
(1, 30637, 29961, 28320, array([ 7376.,  2400., -3632.]), array([  919., -3162.,  -763.]), array([-325., -125.,  447.]))
(1, 31587, 30969, 30864, array([ 7376.,  2512., -3664.]), array([  791., -3220.,  -757.]), array([-319., -126.,  447.]))
(1, 33011, 32985, 30864, array([ 7296.,  2592., -3696.]), array([  588., -3291.,  -748.]), array([-319., -126.,  447.]))
(1, 33961, 33993, 33410, array([ 7200.,  2560., -3712.]), array([  464., -3349.,  -754.]), array([-313., -127.,  455.]))
(1, 34910, 35001, 33410, array([ 7248.,  2592., -3712.]), array([  382., -3410.,  -722.]), array([-313., -127.,  455.]))
(1, 36335, 36009, 35955, array([ 7232.,  2544., -3872.]), array([  329., -3424.,  -731.]), array([-315., -130.,  458.]))
(1, 37284, 37018, 35955, array([ 7200.,  2544., -3904.]), array([  268., -3468.,  -708.]), array([-315., -130.,  458.]))
(1, 38234, 38026, 38501, array([ 7104.,  2528., -3984.]), array([  182., -3516.,  -722.]), array([-302., -130.,  460.]))
(1, 39658, 39034, 38501, array([ 7136.,  2576., -4096.]), array([  112., -3513.,  -728.]), array([-302., -130.,  460.]))
(1, 40608, 40042, 38501, array([ 7120.,  2576., -4112.]), array([   65., -3550.,  -703.]), array([-302., -130.,  460.]))
(1, 41557, 41050, 41047, array([ 7136.,  2624., -4240.]), array([   54., -3595.,  -690.]), array([-294., -129.,  464.]))
(1, 42981, 43066, 41047, array([ 7024.,  2752., -4416.]), array([  192., -3696.,  -601.]), array([-294., -129.,  464.]))
(1, 43931, 44074, 43592, array([ 7072.,  2816., -4448.]), array([  264., -3752.,  -542.]), array([-291., -134.,  467.]))
(1, 45355, 45083, 43592, array([ 7104.,  2800., -4544.]), array([  322., -3775.,  -524.]), array([-291., -134.,  467.]))
(1, 46305, 46091, 46138, array([ 7072.,  2816., -4512.]), array([  430., -3813.,  -534.]), array([-281., -133.,  472.]))
(1, 47254, 47099, 46138, array([ 7040.,  2816., -4640.]), array([  504., -3848.,  -507.]), array([-281., -133.,  472.]))
(1, 48678, 48107, 48683, array([ 6992.,  2832., -4720.]), array([  629., -3931.,  -493.]), array([-266., -134.,  480.]))
(1, 49628, 49115, 48683, array([ 6928.,  2768., -4688.]), array([  664., -3997.,  -479.]), array([-266., -134.,  480.]))
(1, 50577, 50123, 48683, array([ 6880.,  2800., -4768.]), array([  665., -4092.,  -449.]), array([-266., -134.,  480.]))
(1, 52001, 51131, 51228, array([ 6768.,  2720., -4752.]), array([  693., -4180.,  -471.]), array([-266., -135.,  480.]))
(1, 52950, 53148, 51228, array([ 6656.,  2704., -4784.]), array([  683., -4269.,  -513.]), array([-266., -135.,  480.]))
(1, 54375, 54156, 53773, array([ 6528.,  2736., -4688.]), array([  590., -4297.,  -567.]), array([-263., -132.,  483.]))
(1, 55324, 55164, 53773, array([ 6448.,  2720., -4640.]), array([  439., -4326.,  -598.]), array([-263., -132.,  483.]))
