(1, 47167, 46673, 45088, array([ 7952., -1920., -3168.]), array([-2008., -6227.,  2092.]), array([-312.,  280.,  445.]))
(1, 48117, 47681, 47633, array([ 7888., -1984., -3248.]), array([-2085., -6226.,  1877.]), array([-299.,  275.,  455.]))
(1, 49066, 48689, 47633, array([ 7856., -2048., -3216.]), array([-2168., -6163.,  1692.]), array([-299.,  275.,  455.]))
(1, 50491, 49697, 50178, array([ 7856., -2112., -3312.]), array([-2298., -6069.,  1499.]), array([-290.,  269.,  465.]))
(1, 51440, 50706, 50178, array([ 7840., -2192., -3376.]), array([-2577., -5996.,  1311.]), array([-290.,  269.,  465.]))
(1, 52389, 52722, 52723, array([ 7920., -2160., -3472.]), array([-3017., -5882.,  1016.]), array([-281.,  264.,  479.]))
(1, 53813, 53730, 52723, array([ 7840., -2128., -3488.]), array([-3189., -5829.,   882.]), array([-281.,  264.,  479.]))
(1, 54764, 54738, 52723, array([ 7760., -2080., -3632.]), array([-3351., -5747.,   763.]), array([-281.,  264.,  479.]))
(1, 56188, 55746, 55268, array([ 7680., -2016., -3696.]), array([-3575., -5718.,   701.]), array([-259.,  259.,  486.]))
(1, 57138, 56755, 55268, array([ 7536., -1936., -3744.]), array([-3687., -5712.,   651.]), array([-259.,  259.,  486.]))
(1, 58088, 57763, 57812, array([ 7328., -1840., -3664.]), array([-3787., -5707.,   635.]), array([-259.,  248.,  486.]))
(1, 59513, 58771, 57812, array([ 7040., -1600., -3664.]), array([-3886., -5724.,   661.]), array([-259.,  248.,  486.]))
(1, 60462, 59779, 60356, array([ 6848., -1408., -3616.]), array([-3852., -5746.,   629.]), array([-249.,  245.,  495.]))
(1, 61412, 61796, 60356, array([ 6736., -1344., -3584.]), array([-3746., -5738.,   586.]), array([-249.,  245.,  495.]))
(1, 62836, 62804, 62900, array([ 6688., -1312., -3472.]), array([-3602., -5721.,   611.]), array([-237.,  236.,  256.]))
(1, 63786, 63812, 62900, array([ 6656., -1296., -3552.]), array([-3458., -5668.,   641.]), array([-237.,  236.,  256.]))
(1, 64736, 64820, 62900, array([ 6656., -1376., -3648.]), array([-3299., -5621.,   668.]), array([-237.,  236.,  256.]))
(1, 624, 292, 65446, array([ 6736., -1408., -3712.]), array([-3204., -5557.,   707.]), array([-226.,  230.,  512.]))
(1, 1573, 1300, 65446, array([ 6752., -1408., -3664.]), array([-2969., -5518.,   736.]), array([-226.,  230.,  512.]))
(1, 2998, 2309, 2454, array([ 6672., -1408., -3616.]), array([-2798., -5486.,   798.]), array([-217.,  225.,  516.]))
(1, 3947, 3317, 2454, array([ 6576., -1408., -3632.]), array([-2618., -5489.,   840.]), array([-217.,  225.,  516.]))
(1, 4897, 4325, 4999, array([ 6496., -1392., -3600.]), array([-2422., -5513.,   899.]), array([-207.,  216.,  522.]))
(1, 6321, 6341, 4999, array([ 6448., -1408., -3760.]), array([-2232., -5436.,   998.]), array([-207.,  216.,  522.]))
(1, 7271, 7349, 4999, array([ 6368., -1376., -3824.]), array([-2168., -5409.,  1029.]), array([-207.,  216.,  522.]))
(1, 8221, 8358, 7543, array([ 6288., -1328., -3856.]), array([-2072., -5366.,  1075.]), array([-192.,  211.,  529.]))
(1, 9646, 9366, 7543, array([ 6128., -1312., -3968.]), array([-1966., -5340.,  1064.]), array([-192.,  211.,  529.]))
(1, 10595, 10374, 10088, array([ 5984., -1264., -4032.]), array([-1943., -5305.,  1063.]), array([-182.,  210.,  532.]))
(1, 12019, 11382, 10088, array([ 5824., -1248., -4128.]), array([-1837., -5276.,  1057.]), array([-182.,  210.,  532.]))
(1, 12969, 12390, 12633, array([ 5776., -1200., -4096.]), array([-1768., -5232.,  1073.]), array([-171.,  204.,  540.]))
(1, 13919, 13398, 12633, array([ 5728., -1120., -4144.]), array([-1627., -5166.,  1082.]), array([-171.,  204.,  540.]))
(1, 15343, 14407, 15178, array([ 5728., -1152., -4128.]), array([-1463., -5124.,  1084.]), array([-160.,  203.,  546.]))
(1, 16293, 16423, 15178, array([ 5712., -1152., -4192.]), array([-1165., -4939.,  1075.]), array([-160.,  203.,  546.]))
(1, 17242, 17431, 15178, array([ 5680., -1088., -4176.]), array([-1058., -4859.,  1094.]), array([-160.,  203.,  546.]))
(1, 18667, 18439, 17723, array([ 5616., -1104., -4192.]), array([ -971., -4787.,  1050.]), array([-142.,  197.,  546.]))
(1, 19616, 19448, 17723, array([ 5536., -1056., -4192.]), array([ -830., -4737.,  1024.]), array([-142.,  197.,  546.]))
(1, 20566, 20456, 20269, array([ 5392., -1088., -4128.]), array([ -734., -4674.,  1005.]), array([-142.,  196.,  546.]))
(1, 21990, 21464, 20269, array([ 5312., -1248., -4160.]), array([ -670., -4606.,   968.]), array([-142.,  196.,  546.]))
(1, 22940, 22472, 22813, array([ 5200., -1360., -4208.]), array([ -637., -4533.,   935.]), array([-128.,  198.,  548.]))
(1, 24365, 23480, 22813, array([ 5088., -1392., -4112.]), array([ -628., -4449.,   885.]), array([-128.,  198.,  548.]))
(1, 25314, 25497, 25357, array([ 4944., -1424., -4128.]), array([ -727., -4349.,   786.]), array([-106.,  194.,  557.]))
(1, 26263, 26505, 25357, array([ 4832., -1488., -4128.]), array([ -763., -4281.,   735.]), array([-106.,  194.,  557.]))
(1, 27687, 27513, 25357, array([ 4576., -1504., -4128.]), array([ -836., -4227.,   683.]), array([-106.,  194.,  557.]))
(1, 28637, 28521, 27902, array([ 4448., -1456., -4128.]), array([ -862., -4160.,   647.]), array([-106.,  190.,  557.]))
(1, 29586, 29529, 27902, array([ 4336., -1408., -4144.]), array([ -859., -4075.,   618.]), array([-106.,  190.,  557.]))
(1, 31010, 30537, 30448, array([ 4240., -1424., -4096.]), array([ -946., -3973.,   559.]), array([-101.,  188.,  563.]))
(1, 31960, 31546, 30448, array([ 4160., -1408., -4032.]), array([-1061., -3886.,   500.]), array([-101.,  188.,  563.]))
(1, 33384, 32554, 32994, array([ 4176., -1280., -4112.]), array([-1076., -3783.,   461.]), array([ -97.,  186.,  558.]))
(1, 34334, 33562, 32994, array([ 4144., -1312., -4064.]), array([-1172., -3651.,   398.]), array([ -97.,  186.,  558.]))
(1, 35284, 35578, 35540, array([ 4048., -1280., -4112.]), array([-1250., -3415.,   260.]), array([ -83.,  185.,  562.]))
(1, 36708, 36586, 35540, array([ 4064., -1392., -4112.]), array([-1260., -3324.,   221.]), array([ -83.,  185.,  562.]))
(1, 37658, 37595, 35540, array([ 4112., -1408., -4224.]), array([-1276., -3189.,   165.]), array([ -83.,  185.,  562.]))
