(1, 53598, 53258, 51851, array([ 6752., -2080., -2800.]), array([ -561., -2348.,  2651.]), array([-289.,  289.,  453.]))
(1, 54547, 54266, 54398, array([ 6640., -2032., -2880.]), array([ -665., -2298.,  2639.]), array([-282.,  290.,  456.]))
(1, 55971, 55274, 54398, array([ 6608., -2016., -2960.]), array([ -706., -2279.,  2649.]), array([-282.,  290.,  456.]))
(1, 56920, 56282, 56945, array([ 6464., -1984., -2992.]), array([ -750., -2207.,  2612.]), array([-269.,  292.,  464.]))
(1, 57869, 58299, 56945, array([ 6448., -1936., -3024.]), array([ -830., -2107.,  2552.]), array([-269.,  292.,  464.]))
(1, 59292, 59307, 56945, array([ 6336., -1904., -3120.]), array([ -838., -2059.,  2469.]), array([-269.,  292.,  464.]))
(1, 60242, 60315, 59494, array([ 6272., -1824., -3104.]), array([ -811., -1999.,  2409.]), array([-269.,  291.,  464.]))
(1, 61665, 61323, 59494, array([ 6224., -1792., -3168.]), array([ -829., -1933.,  2318.]), array([-269.,  291.,  464.]))
(1, 62614, 62331, 62040, array([ 6160., -1792., -3264.]), array([ -826., -1877.,  2229.]), array([-264.,  293.,  466.]))
(1, 63564, 63340, 62040, array([ 6144., -1792., -3360.]), array([ -844., -1792.,  2161.]), array([-264.,  293.,  466.]))
(1, 64988, 64348, 64586, array([ 6032., -1824., -3472.]), array([ -916., -1716.,  2052.]), array([-263.,  293.,  469.]))
(1, 401, 65356, 64586, array([ 6064., -1856., -3600.]), array([ -913., -1650.,  1955.]), array([-263.,  293.,  469.]))
(1, 1350, 828, 1598, array([ 5984., -1872., -3600.]), array([ -977., -1590.,  1869.]), array([-254.,  290.,  471.]))
(1, 2774, 2845, 1598, array([ 6048., -1904., -3760.]), array([-1224., -1443.,  1705.]), array([-254.,  290.,  471.]))
(1, 3723, 3853, 1598, array([ 6048., -1936., -3856.]), array([-1365., -1375.,  1633.]), array([-254.,  290.,  471.]))
(1, 5147, 4861, 4144, array([ 6112., -2000., -3952.]), array([-1507., -1341.,  1562.]), array([-252.,  289.,  473.]))
(1, 6097, 5869, 4144, array([ 6112., -1968., -3968.]), array([-1638., -1312.,  1439.]), array([-252.,  289.,  473.]))
(1, 7046, 6877, 6692, array([ 6192., -1952., -4016.]), array([-1762., -1265.,  1312.]), array([-249.,  286.,  478.]))
(1, 8470, 7885, 6692, array([ 6240., -1968., -4016.]), array([-1884., -1206.,  1197.]), array([-249.,  286.,  478.]))
(1, 9419, 8894, 9239, array([ 6304., -1952., -4096.]), array([-1921., -1203.,  1091.]), array([-249.,  286.,  480.]))
(1, 10368, 9902, 9239, array([ 6256., -1952., -4144.]), array([-1975., -1186.,   988.]), array([-249.,  286.,  480.]))
(1, 11792, 10910, 11785, array([ 6256., -1952., -4128.]), array([-2002., -1175.,   860.]), array([-244.,  280.,  483.]))
(1, 12742, 12926, 11785, array([ 6240., -1952., -4064.]), array([-1945., -1169.,   657.]), array([-244.,  280.,  483.]))
(1, 13691, 13934, 11785, array([ 6240., -1904., -4176.]), array([-1914., -1181.,   549.]), array([-244.,  280.,  483.]))
(1, 15116, 14943, 14331, array([ 6256., -1904., -4160.]), array([-1874., -1204.,   444.]), array([-239.,  280.,  483.]))
(1, 16065, 15951, 14331, array([ 6208., -1856., -4064.]), array([-1788., -1194.,   356.]), array([-239.,  280.,  483.]))
(1, 17489, 16959, 16877, array([ 6176., -1808., -4016.]), array([-1696., -1208.,   275.]), array([-234.,  273.,  488.]))
