TOTAL_TIME,0m7s
TOTAL_FRAMES,449
SELECTED_FRAMES,449
NO_OF_JOINTS,7
FREQUENCY,64.0
DESCRIPTION,east
TIME_STAMP,Jul 17, 2009

Time,Frame,Pelvis_accelX_37,Pelvis_accelY_37,Pelvis_accelZ_37,RFEP_accelX_30,RFEP_accelY_30,RFEP_accelZ_30,RFEO_accelX_55,RFEO_accelY_55,RFEO_accelZ_55,RTIO_accelX_44,RTIO_accelY_44,RTIO_accelZ_44,LFEP_accelX_25,LFEP_accelY_25,LFEP_accelZ_25,LFEO_accelX_28,LFEO_accelY_28,LFEO_accelZ_28,LTIO_accelX_70,LTIO_accelY_70,LTIO_accelZ_70
3.3125,212,-0.9338989,-0.21014404,-0.20910645,-0.9100952,0.06237793,-0.08428955,-0.944397,0.09832764,0.0970459,-0.03918457,-0.23590088,0.6074219,-1.6063232,0.723999,1.6204224,-0.51745605,-0.4066162,-0.0059814453,-1.9223022,-0.7407837,-0.55718994
3.328125,213,-0.89385986,-0.34313965,-0.2489624,-0.91619873,0.068237305,-0.11291504,-0.98132324,0.078186035,0.108947754,-0.07525635,-0.24182129,0.6553345,-1.092102,0.13061523,1.1010132,-0.3637085,-0.22137451,0.17944336,1.918396,-0.77648926,-0.7279053
3.34375,214,-0.93688965,-0.4683838,-0.2230835,-0.9732666,0.083862305,-0.1227417,-0.991333,0.06097412,0.06329346,-0.06121826,-0.26763916,0.6394043,-0.5394287,-0.17791748,0.94537354,-0.3932495,0.11553955,0.14489746,-1.9091187,-0.52557373,-0.86364746
3.359375,215,-0.9168701,-0.4487915,-0.29083252,-0.9263916,0.05847168,-0.10107422,-1.0083008,0.07611084,0.09008789,-0.066223145,-0.23291016,0.62841797,-0.604187,-0.29656982,0.7766113,-0.48895264,0.010131836,-0.10266113,-1.6295776,-0.42437744,-0.7279053
3.375,216,-0.89282227,-0.26098633,-0.28485107,-0.9100952,0.031066895,-0.07348633,-0.97735596,0.090270996,0.07122803,-0.08929443,-0.23986816,0.6084595,-0.78741455,-0.12451172,0.5664673,-0.4909668,-0.14257812,-0.28216553,1.0140991,-1.0651855,-0.7438965
3.390625,217,-0.9248657,0.06378174,-0.20910645,-0.9875488,0.0036621094,-0.08532715,-1.0352783,0.049865723,0.116882324,-0.08526611,-0.2626953,0.6433716,-0.81274414,-0.06713867,0.26934814,-1.0837402,0.018981934,0.04333496,1.5426025,0.84924316,0.12854004
3.40625,218,-0.79974365,0.17730713,-0.27288818,-0.960022,0.02709961,-0.114868164,-1.0432129,0.084228516,0.10498047,-0.09832764,-0.2487793,0.6583252,-0.5576172,-0.24121094,0.5078125,-1.2680664,-0.18591309,0.46746826,-0.39971924,-0.3847046,0.7514038
3.421875,219,-0.82873535,0.1694336,-0.27392578,-0.95495605,0.045715332,-0.114868164,-0.9993286,0.09832764,0.08117676,-0.08728027,-0.24682617,0.6303711,-0.057617188,-0.019714355,-0.7007446,-0.60809326,-0.65093994,0.5581665,-0.23809814,0.07159424,0.63061523
3.4375,220,-0.9769287,-0.34710693,0.2682495,-1.0853271,-0.1529541,-0.13653564,-1.144104,0.10644531,0.08514404,-0.12640381,-0.23986816,0.6832886,-1.7277832,-0.30847168,0.8594971,-1.8251953,0.13720703,0.94976807,-1.4008789,-0.21411133,1.3063965
3.453125,221,-1.1571655,-0.8909912,0.2532959,-1.2034912,-0.008117676,-0.23712158,-1.1530762,0.18115234,0.14068604,-0.14343262,-0.2557373,0.729187,1.9553833,0.0040283203,1.3203125,-1.8414917,-0.028320312,-0.07305908,1.918396,0.5853882,1.7446289
3.46875,222,-1.515686,-0.82055664,0.052978516,-1.4052124,0.27764893,0.03692627,-1.0322876,0.31848145,0.56152344,-0.24163818,-0.18133545,0.7261963,-1.9059448,-0.38757324,0.83117676,-1.4381714,-0.7258301,-0.41833496,1.918396,-0.1149292,-1.9558105
3.484375,223,-1.5386963,-0.49188232,0.14562988,-1.4775391,0.032043457,-0.026123047,-1.137085,0.31445312,0.51782227,-0.14343262,-0.19720459,0.8180542,-1.2874756,-0.9908447,-0.15106201,-1.1611328,-1.0617676,-0.8483887,-1.7139282,0.5576172,1.0369263
3.5,224,-1.4064941,0.04425049,-0.01977539,-1.8738403,0.02709961,0.4805298,-1.1520386,0.05596924,1.2443237,-0.119384766,-0.28448486,0.6992798,-0.28637695,-0.98095703,-1.3313599,-1.0725098,-0.53271484,-0.97265625,-0.53082275,-0.054382324,0.8911743
3.515625,225,-1.3654785,0.4492798,0.2064209,-1.763855,0.031066895,0.66778564,-1.263855,-0.113708496,1.178833,-0.36590576,-0.20709229,1.0366821,0.023376465,-0.24517822,-1.468811,-0.5673828,-0.012512207,-1.0772095,-0.6660156,0.5675049,0.8452759
3.53125,226,-1.1431885,0.36901855,0.33203125,-1.5519409,0.109313965,0.5475464,-1.3447266,-0.16217041,0.97436523,-0.65856934,-0.17340088,1.314148,-0.85723877,1.2244263,-1.1898804,-0.8953247,0.18847656,-1.0535278,-0.4586792,0.1350708,0.88116455
3.546875,227,-0.9489136,0.25164795,0.25927734,-1.3787231,0.113220215,0.28930664,-1.463562,-0.008666992,0.5515747,-0.49920654,-0.26464844,1.0566406,-1.7814331,1.8207397,-0.8463135,-1.2731934,0.13232422,-0.8483887,-0.5541992,0.3255005,0.8632202
3.5625,228,-1.0530396,0.07556152,0.2991333,-1.2727661,0.35595703,-0.31396484,-1.4874878,0.28619385,0.10699463,-0.08026123,0.90197754,1.5547485,-1.1589355,0.57366943,-0.8210449,-1.1489258,0.29388428,-0.73986816,-0.5715332,0.19952393,0.86920166
3.578125,229,-1.2903442,-0.14752197,0.17553711,-1.6069336,0.30895996,-0.43621826,-1.6532593,0.39923096,-0.14117432,0.43389893,-0.1932373,1.5557251,-0.8562622,-0.36584473,-0.44610596,-1.0715332,-0.010559082,-0.42425537,-0.5552368,0.2630005,0.9011841
3.59375,230,-1.416565,-0.36273193,-0.11541748,-1.5947266,0.39215088,-0.5426636,-1.5204468,0.2659912,-0.4031372,0.34869385,-0.432312,1.5557251,-1.0708618,-0.526062,-0.029785156,-0.98187256,-0.44995117,-0.37591553,-0.49627686,0.12512207,0.8671875
3.609375,231,-1.234314,-0.66796875,0.012084961,-1.5223999,0.43426514,-0.5269165,-1.336731,0.2376709,-0.5579834,0.36572266,-0.5444336,1.5567017,-1.1609497,-0.37176514,0.02178955,-1.0134888,-0.57214355,-0.19342041,-0.46069336,0.16082764,0.8931885
3.625,232,-0.9338989,-0.70318604,0.021057129,-1.3848267,0.3373413,-0.5288696,-1.1191406,0.22155762,-0.66516113,0.46697998,-0.50372314,1.2781982,-1.0172119,-0.28076172,0.10662842,-0.99005127,-0.49328613,-0.13623047,-0.49121094,0.11920166,0.90911865
3.640625,233,-0.7336426,-0.4761963,0.063964844,-1.1688843,0.30895996,-0.5091553,-0.82562256,0.21343994,-0.6929321,0.5040283,-0.30133057,1.0216675,-0.95648193,-0.09881592,0.0803833,-1.00531,-0.22729492,-0.099731445,-0.473938,0.25805664,0.81134033
