(1, 117, 65454, 64093, array([ 7712.,   272., -2800.]), array([ 1515.,  -915.,  -168.]), array([-509.,   29.,  111.]))
(1, 1541, 927, 1101, array([ 7712.,   320., -2720.]), array([ 1424.,  -962.,  -189.]), array([-511.,   23.,  123.]))
(1, 2491, 1935, 1101, array([ 7696.,   336., -2752.]), array([ 1422.,  -989.,  -184.]), array([-511.,   23.,  123.]))
(1, 3915, 2943, 3647, array([ 7648.,   256., -2720.]), array([ 1345., -1015.,  -174.]), array([-511.,   28.,  123.]))
(1, 4864, 4960, 3647, array([ 7616.,   304., -2688.]), array([ 1290., -1141.,  -250.]), array([-511.,   28.,  123.]))
(1, 5813, 5968, 3647, array([ 7632.,   240., -2672.]), array([ 1244., -1191.,  -239.]), array([-511.,   28.,  123.]))
(1, 7237, 6976, 6191, array([ 7600.,   224., -2688.]), array([ 1258., -1211.,  -255.]), array([-508.,   26.,  120.]))
(1, 8187, 7984, 6191, array([ 7584.,   192., -2704.]), array([ 1223., -1257.,  -253.]), array([-508.,   26.,  120.]))
(1, 9136, 8992, 8736, array([ 7568.,   272., -2640.]), array([ 1195., -1252.,  -252.]), array([-512.,   23.,  123.]))
(1, 10560, 10001, 8736, array([ 7552.,   240., -2624.]), array([ 1194., -1285.,  -273.]), array([-512.,   23.,  123.]))
(1, 11509, 11009, 11280, array([ 7552.,   208., -2544.]), array([ 1187., -1298.,  -270.]), array([-509.,   24.,  133.]))
(1, 12458, 12017, 11280, array([ 7552.,   176., -2480.]), array([ 1240., -1318.,  -266.]), array([-509.,   24.,  133.]))
(1, 13881, 14033, 13825, array([ 7616.,   160., -2512.]), array([ 1209., -1332.,  -240.]), array([-509.,   25.,  130.]))
(1, 14831, 15042, 13825, array([ 7616.,   160., -2544.]), array([ 1206., -1364.,  -229.]), array([-509.,   25.,  130.]))
(1, 16255, 16050, 13825, array([ 7552.,   160., -2448.]), array([ 1185., -1354.,  -215.]), array([-509.,   25.,  130.]))
(1, 17204, 17058, 16370, array([ 7568.,   160., -2496.]), array([ 1233., -1336.,  -203.]), array([-510.,   20.,  137.]))
(1, 18153, 18066, 16370, array([ 7584.,   160., -2464.]), array([ 1159., -1328.,  -204.]), array([-510.,   20.,  137.]))
(1, 22900, 22099, 21461, array([ 7504.,   128., -2336.]), array([ 1105., -1326.,  -192.]), array([-510.,   19.,  143.]))
