(1, 42999, 42794, 41422, array([ 7856.,    64., -1408.]), array([-172.,   -9.,   39.]), array([-492.,  -30.,  113.]))
(1, 44422, 43803, 43969, array([ 7824.,    80., -1408.]), array([-184.,   10.,    6.]), array([-492.,  -25.,  109.]))
(1, 45372, 44811, 43969, array([ 7840.,    32., -1440.]), array([-137.,   40.,   -1.]), array([-492.,  -25.,  109.]))
(1, 46796, 45819, 46515, array([ 7824.,    80., -1472.]), array([-126.,   77.,    2.]), array([-492.,  -27.,  109.]))
(1, 47746, 47835, 46515, array([ 7888.,    96., -1440.]), array([-50.,  27., -44.]), array([-492.,  -27.,  109.]))
(1, 48695, 48844, 46515, array([ 7840.,    48., -1424.]), array([-13.,  67., -61.]), array([-492.,  -27.,  109.]))
(1, 50119, 49852, 49059, array([ 7808.,   -16., -1408.]), array([ 54.,  95., -47.]), array([-490.,  -26.,  109.]))
(1, 51068, 50860, 49059, array([ 7808.,   -64., -1488.]), array([ 68.,  41., -64.]), array([-490.,  -26.,  109.]))
(1, 52018, 51868, 51605, array([ 7760.,   -48., -1472.]), array([ 110.,   86.,  -47.]), array([-494.,  -28.,  115.]))
(1, 53442, 52877, 51605, array([ 7824.,   -64., -1472.]), array([ 73.,  68., -32.]), array([-494.,  -28.,  115.]))
(1, 54392, 53885, 54151, array([ 7792.,   -64., -1440.]), array([ 70.,  61., -24.]), array([-493.,  -26.,  115.]))
(1, 55341, 54893, 54151, array([ 7760.,   -80., -1472.]), array([ 93.,  45., -14.]), array([-493.,  -26.,  115.]))
(1, 56765, 56910, 56697, array([ 7744.,   -96., -1488.]), array([ 115.,   77.,  -18.]), array([-491.,  -28.,  112.]))
(1, 57715, 57918, 56697, array([ 7744.,  -112., -1504.]), array([ 114.,   68.,  -29.]), array([-491.,  -28.,  112.]))
(1, 59138, 58926, 56697, array([ 7776.,   -48., -1440.]), array([ 57.,  89., -37.]), array([-491.,  -28.,  112.]))
(1, 60087, 59934, 59242, array([ 7728.,   -48., -1472.]), array([  51.,  117.,  -40.]), array([-491.,  -30.,  110.]))
(1, 61037, 60943, 59242, array([ 7696.,   -48., -1488.]), array([  12.,  136.,  -46.]), array([-491.,  -30.,  110.]))
(1, 62460, 61951, 61787, array([ 7728.,   -64., -1472.]), array([  35.,  158.,  -50.]), array([-490.,  -31.,  110.]))
(1, 63410, 62959, 61787, array([ 7712.,   -80., -1440.]), array([ -29.,  180.,  -15.]), array([-490.,  -31.,  110.]))
