(1, 61224, 61148, 59459, array([ 7600.,  -656., -2160.]), array([  -13., -1799.,  1243.]), array([-482.,   -3.,  187.]))
(1, 62647, 62156, 62005, array([ 7600.,  -656., -2192.]), array([  -50., -1770.,  1245.]), array([-486.,    2.,  193.]))
(1, 63596, 63164, 62005, array([ 7648.,  -656., -2256.]), array([  -57., -1746.,  1245.]), array([-486.,    2.,  193.]))
(1, 64545, 64173, 64551, array([ 7552.,  -592., -2336.]), array([ -104., -1706.,  1226.]), array([-482.,    1.,  198.]))
(1, 434, 65181, 64551, array([ 7568.,  -592., -2416.]), array([ -102., -1714.,  1256.]), array([-482.,    1.,  198.]))
(1, 1383, 1661, 1558, array([ 7504.,  -560., -2384.]), array([ -115., -1713.,  1220.]), array([-482.,    5.,  198.]))
(1, 2807, 2670, 1558, array([ 7504.,  -528., -2464.]), array([  -35., -1683.,  1168.]), array([-482.,    5.,  198.]))
(1, 3757, 3678, 1558, array([ 7536.,  -432., -2480.]), array([   35., -1651.,  1154.]), array([-482.,    5.,  198.]))
(1, 4706, 4686, 4104, array([ 7424.,  -400., -2432.]), array([  157., -1651.,  1149.]), array([-485.,    8.,  200.]))
(1, 6129, 5694, 4104, array([ 7360.,  -480., -2480.]), array([  267., -1643.,  1137.]), array([-485.,    8.,  200.]))
(1, 7079, 6702, 6650, array([ 7376.,  -512., -2496.]), array([  380., -1663.,  1143.]), array([-481.,    9.,  205.]))
(1, 8028, 7711, 6650, array([ 7392.,  -512., -2432.]), array([  520., -1662.,  1128.]), array([-481.,    9.,  205.]))
(1, 9452, 8719, 9195, array([ 7360.,  -528., -2464.]), array([  592., -1617.,  1125.]), array([-481.,   11.,  205.]))
(1, 10401, 9727, 9195, array([ 7360.,  -624., -2400.]), array([  698., -1610.,  1105.]), array([-481.,   11.,  205.]))
(1, 11824, 11744, 11742, array([ 7344.,  -592., -2432.]), array([  688., -1619.,  1013.]), array([-484.,   13.,  214.]))
(1, 12773, 12752, 11742, array([ 7328.,  -656., -2432.]), array([  669., -1609.,   994.]), array([-484.,   13.,  214.]))
(1, 13722, 13760, 11742, array([ 7328.,  -736., -2432.]), array([  663., -1623.,   963.]), array([-484.,   13.,  214.]))
(1, 15146, 14768, 14288, array([ 7248.,  -736., -2480.]), array([  653., -1581.,   941.]), array([-480.,   13.,  214.]))
(1, 16095, 15777, 14288, array([ 7264.,  -736., -2448.]), array([  603., -1530.,   900.]), array([-480.,   13.,  214.]))
(1, 17045, 16785, 16834, array([ 7248.,  -752., -2464.]), array([  553., -1491.,   886.]), array([-486.,   15.,  217.]))
(1, 18468, 17793, 16834, array([ 7280.,  -816., -2432.]), array([  485., -1454.,   848.]), array([-486.,   15.,  217.]))
(1, 19418, 18801, 19380, array([ 7264.,  -912., -2480.]), array([  385., -1448.,   840.]), array([-479.,   19.,  221.]))
(1, 20367, 20818, 19380, array([ 7248.,  -912., -2432.]), array([  235., -1360.,   820.]), array([-479.,   19.,  221.]))
(1, 21791, 21826, 21925, array([ 7216.,  -880., -2464.]), array([  173., -1303.,   788.]), array([-478.,   17.,  225.]))
(1, 22740, 22834, 21925, array([ 7232.,  -864., -2464.]), array([   85., -1266.,   752.]), array([-478.,   17.,  225.]))
(1, 24163, 23842, 21925, array([ 7200.,  -896., -2464.]), array([  -31., -1215.,   760.]), array([-478.,   17.,  225.]))
(1, 25113, 24851, 24471, array([ 7136.,  -896., -2528.]), array([  -26., -1181.,   771.]), array([-475.,   20.,  227.]))
(1, 26062, 25859, 24471, array([ 7168.,  -848., -2512.]), array([  -85., -1158.,   730.]), array([-475.,   20.,  227.]))
(1, 27487, 26867, 27017, array([ 7168.,  -800., -2528.]), array([  -49., -1144.,   702.]), array([-480.,   21.,  233.]))
(1, 28436, 27875, 27017, array([ 7136.,  -880., -2560.]), array([  -25., -1103.,   696.]), array([-480.,   21.,  233.]))
(1, 29385, 28884, 29563, array([ 7120.,  -816., -2576.]), array([  -33., -1072.,   683.]), array([-480.,   22.,  233.]))
(1, 30809, 30900, 29563, array([ 7104.,  -816., -2496.]), array([   44., -1015.,   661.]), array([-480.,   22.,  233.]))
(1, 31758, 31908, 29563, array([ 7088.,  -800., -2624.]), array([  55., -977.,  630.]), array([-480.,   22.,  233.]))
(1, 33182, 32916, 32109, array([ 7024.,  -864., -2640.]), array([ 105., -980.,  582.]), array([-475.,   23.,  236.]))
(1, 34131, 33925, 32109, array([ 6960.,  -880., -2624.]), array([ 122., -951.,  563.]), array([-475.,   23.,  236.]))
(1, 35081, 34933, 34655, array([ 6944.,  -864., -2672.]), array([ 183., -934.,  563.]), array([-472.,   25.,  244.]))
(1, 36505, 35941, 34655, array([ 6960.,  -912., -2688.]), array([ 161., -893.,  564.]), array([-472.,   25.,  244.]))
(1, 37455, 36949, 37199, array([ 6944., -1008., -2736.]), array([ 141., -839.,  560.]), array([-472.,   24.,  244.]))
(1, 38404, 37958, 37199, array([ 7008.,  -992., -2736.]), array([ 102., -828.,  505.]), array([-472.,   24.,  244.]))
(1, 39828, 38966, 39745, array([ 7024., -1056., -2816.]), array([  43., -788.,  490.]), array([-472.,   27.,  238.]))
(1, 40777, 40982, 39745, array([ 7024., -1024., -2832.]), array([ -13., -757.,  459.]), array([-472.,   27.,  238.]))
(1, 42201, 41991, 39745, array([ 6976., -1072., -2848.]), array([ -31., -741.,  421.]), array([-472.,   27.,  238.]))
(1, 43150, 42999, 42290, array([ 6944., -1056., -2832.]), array([ -68., -728.,  429.]), array([-472.,   26.,  241.]))
(1, 44100, 44007, 42290, array([ 6960., -1072., -2784.]), array([ -97., -672.,  435.]), array([-472.,   26.,  241.]))
(1, 45524, 45015, 44835, array([ 6928., -1056., -2880.]), array([ -90., -644.,  420.]), array([-473.,   27.,  247.]))
(1, 46473, 46023, 44835, array([ 6912., -1072., -2864.]), array([-110., -619.,  437.]), array([-473.,   27.,  247.]))
(1, 47423, 47032, 47381, array([ 6912., -1104., -2976.]), array([-122., -628.,  411.]), array([-473.,   27.,  246.]))
(1, 48848, 48040, 47381, array([ 6928., -1200., -2944.]), array([-132., -609.,  425.]), array([-473.,   27.,  246.]))
(1, 49797, 50056, 49927, array([ 6960., -1216., -3008.]), array([-177., -568.,  405.]), array([-469.,   28.,  244.]))
(1, 50746, 51065, 49927, array([ 6928., -1200., -3024.]), array([-172., -524.,  380.]), array([-469.,   28.,  244.]))
(1, 52170, 52073, 49927, array([ 6896., -1136., -2992.]), array([-180., -500.,  368.]), array([-469.,   28.,  244.]))
(1, 53119, 53081, 52473, array([ 6880., -1072., -2976.]), array([-125., -515.,  397.]), array([-471.,   26.,  249.]))
(1, 54543, 54089, 52473, array([ 6896., -1072., -3024.]), array([-137., -486.,  393.]), array([-471.,   26.,  249.]))
(1, 55492, 55098, 55018, array([ 6912., -1136., -3008.]), array([-112., -477.,  426.]), array([-471.,   27.,  248.]))
(1, 56441, 56106, 55018, array([ 6896., -1136., -2992.]), array([ -48., -428.,  407.]), array([-471.,   27.,  248.]))
(1, 57865, 57114, 57564, array([ 6864., -1200., -2944.]), array([ -49., -403.,  382.]), array([-471.,   29.,  248.]))
(1, 58814, 58122, 57564, array([ 6832., -1216., -2960.]), array([ -36., -379.,  386.]), array([-471.,   29.,  248.]))
(1, 59763, 60139, 60110, array([ 6816., -1184., -2992.]), array([ -30., -369.,  414.]), array([-470.,   28.,  251.]))
